"Mgm Excalibur Hotel And Casino","3850 Las Vegas Blvd South","Las Vegas","NV","89119","40.86","PRO","Yes","Varies","Varies","Varies"
"Mgm Luxor Hotel And Casino","3900 Las Vegas Blvd","Las Vegas","NV","89119","47.77","PRO","Yes","Varies","Varies","Varies"
"Mgm Circus Circus Hotel, Casino & Theme","2880 Las Vegas Blvd South","Las Vegas","NV","89109","51.85","RAC","No","No","Other","1"
"Motel 6 Las Vegas Tropicana","195 E Tropicana Ave","Las Vegas","NV","89109","63.99","RAC","No","No","Other","D"
"Motel 6 Las Vegas - Boulder Hwy","4125 Boulder Hwy","Las Vegas","NV","89121","63.99","RAC","No","No","Other","R"
"Super 8 Las Vegas North Strip","1213 South Las Vegas Blvd","Las Vegas","NV","89104","71.1","AR1","No","No","Queen","3"
"Stratosphere Casi Htl & Tow,bw Prem Coll","2000 S Las Vegas Blvd","Las Vegas","NV","89104","71.99","Z5Z","No","No","Other","1"
"Suncoast Hotel And Casino","9090 Alta Drive","Las Vegas","NV","89145","74","AAA","No","No","Other","1"
"Travelodge Las Vegas Airport N","5075 Koval Lane","Las Vegas","NV","89119","76.3","B04","No","No","Other","1"
"Park Mgm Las Vegas","3770 Las Vegas Blvd South","Las Vegas","NV","89109","77.31","PRO","No","No","Other","1"
"Dtree By Hilton Tropicana Las Vegas","3801 Las Vegas Blvd South","Las Vegas","NV","89109","84.55","AAA","No","No","Other","1"
"Rio All-suite Hotel And Casino","3700 West Flamingo Road","Las Vegas","NV","89103","84.55","ARP","No","No","Queen","1"
"Best Western Plus St Rose Pkwy","3041 Saint Rose Parkway","Henderson","NV","89052","86.4","AAA","No","No","Queen","2"
"Mgm Vdara Hotel And Spa","2600 Harmon Avenue","Las Vegas","NV","89109","87.72","PRO","No","No","Other","1"
"Mgm Mirage Hotel And Casino","3400 Las Vegas Boulevard South","Las Vegas","NV","89109","87.72","PRO","Yes","Varies","Varies","Varies"
"Palace Station Hotel And Casin","2411 W.sahara Ave.","Las Vegas","NV","89102","88.95","AR1","No","No","Other","1"
"Best Western Hoover Dam Hotel","704 Nevada Way","Boulder City","NV","89005","80.99","SRS","No","No","Queen","2"
"Golden Nugget Hotel And Casino","129 E Fremont Street","Las Vegas","NV","89101","90","ARP","No","No","Double","1"
"Mgm Mandalay Bay Resort And Casino","3950 Las Vegas Blvd South","Las Vegas","NV","89119","94.32","PRO","Yes","Varies","Varies","Varies"
"Bw Plus North Las Vegas Inn","4540 Donovan Way","North Las Vegas","NV","89081","97.75","DB6","No","No","Other","1"
