"TOANCATT","Towneplace Stes Ancho Marriott","600 E. 32nd Ave","Anchorage","AK","99503","152.0","RAC","XMI","No","unknown","Other","Unknown","20180906"
"FNANCFIF","Fairfield Inn N Stes Marriott","5060 A Street","Anchorage","AK","99503","152.15","RAC","XMI","No","unknown","Other","Unknown","20180906"
"HXANCGV9","Hampton Inn  Anchorage  Ak","4301 Credit Union Dr","Anchorage","AK","99502","160.55","RAC","D2D","No","Room with bath - Minimum","Double","2","20180906"
"XVANCSHS","Springhill Stes Midto Marriott","3401 A Street","Anchorage","AK","99503","161.0","S9R","XMI","No","unknown","Other","Unknown","20180906"
"CYANCCYC","Courtyard Anchorage Marriott","4901 Speanard Road","Anchorage","AK","99517-3295","161.0","RAC","XMI","No","unknown","Other","Unknown","20180906"
"MTANC101","Microtel Inn & Suites By Wyndh","5205 Northwood Drive","Anchorage","AK","99517","161.99","AAA","SNQ","No","Suite","Queen","Unknown","20180906"
"XVANCUMS","Springhill Stes Unive Marriott","4050 University Lake Dr","Anchorage","AK","99508","178.0","S9R","XMI","No","unknown","Other","Unknown","20180906"
"RLANC441","Guesthouse Inn N Suites Anc","321 East 5th Avenue","Anchorage","AK","99501","195.0","ADV","H2Q","No","Room with shower - Minimum","Queen","2","20180906"
"LQANC998","La Quinta Inn Ste Anchorage Airport","3501 Minnesota Drive","Anchorage","AK","99503","209.0","COR","H1D","No","Room with shower - Minimum","Double","1","20180906"
"WXANCINT","Coast International Inn","3450 Aviation Ave","Anchorage","AK","99502","188.1","SRS","B1K","No","Room with bath - Moderate","King","1","20180906"
"RCANCRIR","Residence Inn Anchora Marriott","1025 35th Ave","Anchorage","AK","99508","212.0","S9R","XMI","No","unknown","Other","Unknown","20180906"
"GIANC256","Hilton Garden Inn Anchorage","4555 Union Square Drive","Anchorage","AK","99503","199.0","RAC","E1K","No","Room with shower - Superior","King","1","20180906"
"MUANC100","The Lakefront Anchorage","4800 Spenard Road","Anchorage","AK","99517 3236","245.65","UD4","F1K","No","Room with shower - Moderate","King","1","20180906"
"SIANC350","Sheraton Anchorage Htl And Spa","401 East 6th Avenue","Anchorage","AK","99501","249.0","DO0","D2D","No","Room with bath - Minimum","Double","2","20180906"
