"MXATLC89","Motel 6 Atlanta Tucker Northeast","2810 Lawrenceville Hwy","Tucker","GA","30084","49.99","RAC","N1K","No","Non-smoking","King","1","20181209"
"DIATL653","Days Inn College Park Best Rd","4505 Best Rd","College Park","GA","30337","61.62","SP1","H1K","No","Room with shower - Minimum","King","1","20181209"
"MXATLG05","Motel 6 Atlanta","311 Courtland Street N.e","Atlanta","GA","30303","69.99","RAC","N1K","No","Non-smoking","King","1","20181209"
"LQATL174","La Quinta Inn Ste Atlanta Ballpark Galle","2415 Paces Ferry Road","Atlanta","GA","30339","89.0","RAC","C2D","No","Room with bath - Standard","Double","2","20181209"
"MTATL600","Microtel Atlanta Buckhead Area","1840 Corporate Blvd Ne","Atlanta","GA","30329","92.65","PRO","NQ1","No","Non-smoking","Other","Unknown","20181209"
"LQATLBNA","La Quinta Inn Ste Atlanta Buckhead","2535 Chantilly Drive Ne","Atlanta","GA","30324","105.0","RAC","B1K","No","Room with bath - Moderate","King","1","20181209"
"WGATL056","Wingate Atlanta Buckhead","3600 Piedmont Road Ne","Atlanta","GA","30305","125.1","AAA","NK1","No","Non-smoking","Other","Unknown","20181209"
"ALATL849","Aloft Atlanta Downtown","300 Spring Street Nw","Atlanta","GA","30308","140.85","A16","B1K","No","Room with bath - Moderate","King","1","20181209"
"BRATLSAB","Renaissance Concourse Airport","1 Hartsfield Centre Parkway","Atlanta","GA","30354","144.0","S9R","XMI","No","unknown","Other","Unknown","20181209"
"HYATLADN","Hyatt House Atlanta Downtown","431 Marietta Street Nw","Atlanta","GA","30313","149.0","***","QNX","No","unknown","Other","Unknown","20181209"
"HYATLHRA","Hyatt Regency Atlanta","265 Peachtree St,  Northeast","Atlanta","GA","30303-1294","149.0","***","RM1","No","unknown","Other","Unknown","20181209"
"WIATLAIR","Westin Atlanta Airport","4736 Best Road","Atlanta","GA","30337","159.0","DO0","D2D","No","Room with bath - Minimum","Double","2","20181209"
"AKATLAKA","Glenn Hotel Autograph Collecti","110 Marietta Street Nw","Atlanta","GA","30303","161.0","RAC","APN","No","Room with bath - Superior","Other","Unknown","20181209"
"TOATLBUT","Towneplace Stes Buckh Marriott","820 Sidney Marcus Blvd","Atlanta","GA","30324","161.0","S9R","XMI","No","unknown","Other","Unknown","20181209"
"SIATLXAX","Sheraton Atlanta Hotel","165 Courtland Street Ne","Atlanta","GA","30303","167.7","DO0","P1Q","No","Executive suite","Queen","1","20181209"
"RCATLBHR","Residence Inn Buckhea Marriott","2960 Piedmont Road Ne","Atlanta","GA","30305","177.65","S9R","XMI","No","unknown","Other","Unknown","20181209"
"HYATLHMA","Hyatt Atlanta Midtown","125 10th Street Ne","Atlanta","GA","30309","179.0","***","KNG","No","Room with bath/shower - Minimum","Other","Unknown","20181209"
"LZATLLAH","Loews Atlanta Hotel","1065 Peachtree Street","Atlanta","GA","30309","179.1","AAA","B1K","No","Room with bath - Moderate","King","1","20181209"
"SCATL186","Regency Suites Hotel","975 Peachtree Street Nw","Atlanta","GA","30309","186.0","AAA","N1K","No","Non-smoking","King","1","20181209"
"WIATLPEA","Westin Peachtree Plaza","210 Peachtree Street","Atlanta","GA","30303","189.76","DO0","D2Q","No","Room with bath - Minimum","Queen","2","20181209"
