"BWBOS057","Bw Plus New Englander","1 Rainin Road","Woburn","MA","01801","89.1","SRS","A2Q","No","Room with bath - Superior","Queen","2","20181101"
"FNBOSDHF","Fairfield Inn Dedham Marriott","235 Elm Street","Dedham","MA","02026","101.0","RAC","XMI","No","unknown","Other","Unknown","20181101"
"YOBBF287","Candlwood Suites Burlington","130 Middlesex Turnpike","Burlington","MA","01803","119.99","76N","*1Q","No","Unspecified","Queen","1","20181101"
"BWMQI041","Best Western Adams Inn Quincy","29 Hancock Street","Quincy","MA","02171","131.12","DB6","B1D","No","Room with bath - Moderate","Double","1","20181101"
"RABOS366","Ramada Boston","800 Morrissey Boulevard","Boston","MA","02122","152.15","A01","C4Q","No","Room with bath - Standard","Queen","4","20181101"
"HYBOSHCM","Hyatt Regency Cambridge","575 Memorial Dr","Cambridge","MA","02139-4896","157.41","***","QEN","No","unknown","Other","Unknown","20181101"
"HIBOSAD2","Holiday Inn Brookline","1200 Beacon Street","Brookline","MA","02146","144.0","482","*RH","No","Unspecified","Other","Unknown","20181101"
"RCBBFXRR","Residence Inn Burling Marriott","400 District Ave","Burlington","MA","01803","178.0","S9R","XMI","No","unknown","Other","Unknown","20181101"
"HYBOSBUR","Hyatt House Boston Burlington","2 Van De Graaff Dr","Burlington","MA","01803","179.0","***","1KN","No","unknown","Other","Unknown","20181101"
"XTBOSSTA","Studio Allston","1234 Soldiers Field Road","Boston","MA","02135","188.1","ADP","S1K","No","Suite","King","1","20181101"
"YXBOS939","Boston Hotel Buckminster","645 Beacon Street","Boston","MA","02215","197.1","COR","P1K","No","Executive suite","King","1","20181101"
"WVBOS164","Winthrop Beach Inn And Suites Boston Log","312 Shirley Street","Winthrop","MA","02152","179.0","RAC","G1Q","No","Room with shower - Standard","Queen","1","20181101"
"SNBBF228","Sonesta Es Suites Burlington","11 Old Concord Road","Burlington","MA","01803","179.0","SEN","H1K","No","Room with shower - Minimum","King","1","20181101"
"MCBOSBUM","Boston Marriott Burlington","1 Burlington Mall Rd","Burlington","MA","01803","183.0","S9R","XMI","No","unknown","Other","Unknown","20181101"
"HXBOS811","Hmptn Stes Boston Crosstwn Ctr","811 Massachusetts Ave","Boston","MA","02118","188.1","PRO","D1K","No","Room with bath - Minimum","King","1","20181101"
"BWBOS046","Bw Plus Boston Hotel","891 Massachusetts Ave","Boston","MA","02218","189.0","GTS","S2Q","No","Suite","Queen","2","20181101"
"SNBOSCAM","Royal Sonesta Boston","40 Edwin H Land Blvd","Cambridge","MA","02142","232.0","AAS","H1K","No","Room with shower - Minimum","King","1","20181101"
"RCBOSDER","Residence Inn Marriott Dedham","259 Elm Street","Dedham","MA","02026","212.0","S9R","XMI","No","unknown","Other","Unknown","20181101"
"LQBOSCZB","La Quinta Inn Ste Boston Somerville","23 Cummings Street","Somerville","MA","02145","219.0","RAC","H1D","No","Room with shower - Minimum","Double","1","20181101"
"HIBOS62E","Holiday Inn Bunker Hill Area","30 Washington Street","Somerville","MA","02143","225.0","482","*2D","No","Unspecified","Double","2","20181101"
