"HYBOSHHS","Hyatt Regency Boston Harbor","101 Harborside Dr","Boston","MA","02128","98.01","***","DBL","No","Room with bath - Minimum","Other","Unknown","20190113"
"WVBOS338","The Inn At St Botolph","99 Saint Botolph Str","Boston","MA","02116","104.0","PR3","T1*","No","Suite","Unspecified","1","20190113"
"OMBOS507","Omni Parker House Hotel","60 School Street","Boston","MA","02108","119.0","AA2","XED","No","unknown","Double","Unknown","20190113"
"MDJHY253","Le Meridien Cambridge-mit","20 Sidney Street","Cambridge","MA","02139","139.0","YP0","B2Q","No","Room with bath - Moderate","Queen","2","20190113"
"LEBOSGPB","Lenox Hotel Back Bay Copley","61 Exeter Street At Boylston","Boston","MA","02116","166.0","AVP","B1D","No","Room with bath - Moderate","Double","1","20190113"
"LWBOS751","Battery Wharf Hotel, Boston","Three Battery Wharf","Boston","MA","02109","170.0","PRO","H1Q","No","Room with shower - Minimum","Queen","1","20190113"
"WIBOSBOS","Westin Copley Place Boston","10 Huntington Avenue","Boston","MA","02116","180.91","A16","B1K","No","Room with bath - Moderate","King","1","20190113"
"TJBOS725","Taj Boston","15 Arlington Street","Boston","MA","02116","197.1","PRO","C2D","No","Room with bath - Standard","Double","2","20190113"
"WIBOS528","Westin Boston Waterfront","425 Summer Street","Boston","MA","02210","197.36","A16","B2D","No","Room with bath - Moderate","Double","2","20190113"
"LZBOSJBH","Loews Boston Hotel","154 Berkeley Street","Boston","MA","02116","199.0","RA1","A1K","No","Room with bath - Superior","King","1","20190113"
"SIBOS430","Sheraton Boston Hotel","39 Dalton Street","Boston","MA","02199","199.2","A16","C1K","No","Room with bath - Standard","King","1","20190113"
"ALBOS142","Aloft Boston Seaport District","401 403 D Street","Boston","MA","02210","395.1","DO0","B1K","No","Room with bath - Moderate","King","1","20190113"
"WHBOS787","W Boston","100 Stuart Street","Boston","MA","02116","463.2","YY1","A1K","No","Room with bath - Superior","King","1","20190113"
