"FNJHYBGF","Fairfield Inn N Stes Marriott","215 Monsignor Obren Highway","Cambridge","MA","02141","144.0","RAC","XMI","No","unknown","Other","Unknown","20190128"
"OMBOS507","Omni Parker House Hotel","60 School Street","Boston","MA","02108","167.0","AR2","XTD","No","unknown","Double","Unknown","20190128"
"LWBOS751","Battery Wharf Hotel, Boston","Three Battery Wharf","Boston","MA","02109","170.0","PRO","H1Q","No","Room with shower - Minimum","Queen","1","20190128"
"WIBOSBOS","Westin Copley Place Boston","10 Huntington Avenue","Boston","MA","02116","174.06","A16","B1K","No","Room with bath - Moderate","King","1","20190128"
"TJBOS725","Taj Boston","15 Arlington Street","Boston","MA","02116","197.1","PRO","C2D","No","Room with bath - Standard","Double","2","20190128"
"WVBOSSEA","Seaport Boston Hotel","1 Seaport Lane","Boston","MA","02210","206.0","P3C","H1K","No","Room with shower - Minimum","King","1","20190128"
"ESBOS207","Embassy Stes Boston Logan Arpt","207 Porter St","Boston","MA","02128","199.0","RAC","C2Q","No","Room with bath - Standard","Queen","2","20190128"
"HXBOS230","Hampton Inn Boston-logan Airport","230 Lee Burbank Hwy","Revere","MA","02151","259.0","RAC","E2D","No","Room with shower - Superior","Double","2","20190128"
"PHBOSHHL","Boston Harbor Hotel","70 Rowes Wharf On Atlantic Avenue","Boston","MA","02110","336.0","PP5","C1K","No","Room with bath - Standard","King","1","20190128"
"ALBOS142","Aloft Boston Seaport District","401 403 D Street","Boston","MA","02210","399.6","DO0","B1K","No","Room with bath - Moderate","King","1","20190128"
"HHBOS551","Hilton Boston Back Bay","40 Dalton Street","Boston","MA","02115","373.5","PRO","B2D","No","Room with bath - Moderate","Double","2","20190128"
