"MXBUFB87","Motel 6 Buffalo - Amherst","4400 Maple Road","Amherst","NY","14226","55.99","RAC","U2D","No","Suite","Double","2","20180924"
"YXBUF078","Scottish Inns Kenmore","1346 Sheridan Drive","Kenmore","NY","14217","55.0","RAC","C1Q","No","Room with bath - Standard","Queen","1","20180924"
"OZBUF147","Super 8 By Wyndham Williamsvil","7200 Transit Road","Williamsville","NY","14221","64.8","AAA","NQ1","No","Non-smoking","Other","Unknown","20180924"
"RDBUF158","Radisson Hotel Niagara Falls Grand Islan","100 Whitehaven Road","Grand Island","NY","14072","63.2","PRO","O1K","No","unknown","King","1","20180924"
"BWBUF115","Best Western Inn At Buffalo","4630 Genesee Street","Buffalo","NY","14225","85.49","SRS","A1K","No","Room with bath - Superior","King","1","20180924"
"BWBUF150","Best Western Plus Galleria Inn","601 Dingens Street","Cheektowaga","NY","14206","76.49","DB6","B1Q","No","Room with bath - Moderate","Queen","1","20180924"
"LQBUF459","La Quinta Inn Buffalo Airport","6619 Transit Road","Williamsville Buffalo Air","NY","14221","89.0","RAC","H1K","No","Room with shower - Minimum","King","1","20180924"
"MUBUF627","Millennium Buffalo","2040 Walden Avenue","Buffalo","NY","14225","92.65","AD1","DKN","No","Room with bath - Minimum","Other","Unknown","20180924"
"HIBUF151","Holiday Inn Exp Stes Airport","131 Buell Avenue","Cheektowaga","NY","14225","93.0","482","*2Q","No","Unspecified","Queen","2","20180924"
"TOBUFTST","Towneplace Stes Marriott-cheektowaga","4265 Genesee Street","Cheektowaga","NY","14225","109.65","RAC","APF","No","Room with bath - Superior","Other","Unknown","20180924"
"FNBUFFSF","Fairfield Inn N Stes Marriott","4271 Genesee Street","Buffalo","NY","14225","110.0","S9R","XMI","No","unknown","Other","Unknown","20180924"
"RCBUFAMR","Residence Inn Amherst Marriott","100 Maple Rd","Buffalo","NY","14221","109.65","S9R","XMI","No","unknown","Other","Unknown","20180924"
"BWBUF035","Best Western  On The Avenue","510 Delaware Avenue","Buffalo","NY","14202","128.48","DB6","C1K","No","Room with bath - Standard","King","1","20180924"
"CYBUFAPC","Courtyard Airport Marriott","4243 Genesee Street","Cheektowaga","NY","14225","118.0","S9R","XMI","No","unknown","Other","Unknown","20180924"
"GIBUF444","Hgi Buffalo Downtown","10 Lafayette Square","Buffalo","NY","14203","125.0","RAC","D2Q","No","Room with bath - Minimum","Queen","2","20180924"
"XVBUFSHS","Springhill Stes Buffalo Marriott","6647 Transit Road","Lancaster","NY","14221","152.0","RAC","XMI","No","unknown","Other","Unknown","20180924"
"HYBUFBUF","Hyatt Place Buffalo","5020 Main Street","Amherst","NY","14226","141.55","***","QEN","No","unknown","Other","Unknown","20180924"
"HGBUFGQ3","Homewood Suites Buffalo Arpt","760 Dick Rd","Buffalo","NY","14225","143.1","AAA","A1S","No","Room with bath - Superior","Single","1","20180924"
"WYBUF998","Wyndham Garden Buffalo William","5195 Main Street","Williamsville","NY","14221","145.35","A01","H2U","No","Room with shower - Minimum","Other","2","20180924"
"GIBUF503","Hilton Garde Inn Buffalo Airpor","4201 Genesee Street","Cheektowaga","NY","14225","149.0","AAA","F1K","No","Room with shower - Moderate","King","1","20180924"
