"MXCLEA83","Motel 6 Cleveland - Middleburg Heights","7219 Engle Rd","Middleburg Heights","OH","44130","55.99","RAC","N2D","No","Non-smoking","Double","2","20180905"
"EACLE236","Extended Stay America Brooklyn","10300 Cascade Crossing","Brooklyn","OH","44144","76.49","PRO","A07","No","Room with bath - Superior","Other","0","20180905"
"TOCLETAT","Towneplace Stes Arpt Marriott","7325 Engle Road","Middleburg Heights","OH","44130","79.0","RAC","XMI","No","unknown","Other","Unknown","20180905"
"BWCLE108","Best Western Airport Inn Stes","16501 Snow Road","Cleveland","OH","44142","76.49","DB6","W1K","No","Room at weekend rate","King","1","20180905"
"RDCLE627","Radisson Cleveland Gateway","651 Huron Street","Cleveland","OH","44115","84.0","PRO","ROH","Yes","Varies","Varies","Varies","20180905"
"LQCLEBNP","La Quinta Inn Ste Cleveland Airport N","4222 West 150th Street","Cleveland","OH","44135","99.0","RAC","B1K","No","Room with bath - Moderate","King","1","20180905"
"ESCLE580","Embassy Stes Cleveland Rockside","5800 Rockside Woods Dr","Independence","OH","44131","116.1","AAA","G2D","No","Room with shower - Standard","Double","2","20180905"
"HXCLE103","Hampton Inn Cleveland Airport","10305 Cascade Crossings","Brooklyn","OH","44144","122.55","RAC","C2D","No","Room with bath - Standard","Double","2","20180905"
"HXCLEGV2","Hampton Ste Cleveland Indepdnt","6020 Jefferson Drive","Independence","OH","44131","132.05","RAC","I1K","No","Room with bath/shower - Superior","King","1","20180905"
"CYCLECIC","Courtyard Independenc Marriott","5051 W Creek Road","Independence","OH","44131","118.0","S9R","XMI","No","unknown","Other","Unknown","20180905"
"XVCLEIPS","Springhill Stes Indep Marriott","6060 Rockside Place","Independence","OH","44131","118.0","S9R","XMI","No","unknown","Other","Unknown","20180905"
"RCCLEINR","Residence Inn Indepen Marriott","5101 W Creek Rd","Independence","OH","44131","118.15","S9R","XMI","No","unknown","Other","Unknown","20180905"
"DTCLE561","Dbltree Cleveland Independence","6200 Quarry Lane","Cleveland","OH","44131","152.64","RAC","C2D","No","Room with bath - Standard","Double","2","20180905"
"DTCLE215","Dbltree By Hltn The Tudor Arms","10660 Carnegie Avenue","Cleveland","OH","44106","137.28","RAC","F2Q","No","Room with shower - Moderate","Queen","2","20180905"
"MCCLEAPM","Cleveland Airport Marriott","4277 West 150th Street","Cleveland","OH","44135","152.0","S9R","XMI","No","unknown","Other","Unknown","20180905"
"CYCLECEC","Courtyard Univ Circle Marriott","2021 Cornell Road","Cleveland","OH","44106","152.0","RAC","APN","No","Room with bath - Superior","Other","Unknown","20180905"
"CPCLE747","Crowne Plaza Cleveland Airport","7230 Engle Road","Middleburg Heights","OH","44130","153.0","482","*1K","No","Unspecified","King","1","20180905"
"BRCLEBRB","Renaissance Cleveland Hotel","24 Public Square","Cleveland","OH","44113","155.0","RAC","APY","No","Room with bath - Superior","Other","Unknown","20180905"
"GICLE133","Hilton Gardn Inn Cleveland Arpt","4900 Emerald Court Sw","Cleveland","OH","44135","189.0","AAA","C1K","No","Room with bath - Standard","King","1","20180905"
"RCCLERIR","Residence Inn Downtwn Marriott","527 Prospect Avenue East","Cleveland","OH","44115","177.65","S9R","XMI","No","unknown","Other","Unknown","20180905"
