"RACVG592","Ramada Plaza Cincinnati","11320 Chester Road","Cincinnati","OH","45246","62.1","AR1","C3K","No","Room with bath - Standard","King","3","20180821"
"EACVG043","Extended Stay America Reed Har","4630 Creek Rd","Blue Ash","OH","45242","62.99","PRO","A0A","No","Room with bath - Superior","Other","0","20180821"
"MXLUKF62","Motel 6 Cincinnati Central - Norwood","5300 Kennedy Ave","Cincinnati","OH","45213","61.67","RAC","N1K","No","Non-smoking","King","1","20180821"
"EACVG190","Extended Stay America Kenwood","11145 Kenwood Road","Blue Ash","OH","45242","71.99","PRO","A06","No","Room with bath - Superior","Other","0","20180821"
"EACVG593","Extended Stay America Reagan","4260 Hunt Road","Blue Ash","OH","45242","85.49","PRO","A05","No","Room with bath - Superior","Other","0","20180821"
"BWCVG163","Best Western Plus Hannaford","5900 E. Galbraith Road","Cincinnati","OH","45236","89.24","DB6","A1Q","No","Room with bath - Superior","Queen","1","20180821"
"CXCVG620","Country Inn Stes Erlanger Ky - Cincinnat","630 Donaldson Road","Erlanger","KY","41018","93.6","AAA","H1K","No","Room with shower - Minimum","King","1","20180821"
"BWCVG135","Best Western Clermont","4004 Williams Drive","Cincinnati","OH","45255","98.96","SRS","A2D","No","Room with bath - Superior","Double","2","20180821"
"LQCVGBNO","La Quinta Inn Ste Cincinnati Ne - Mason","9918 Escort Dr","Mason","OH","45040","99.0","COR","H1K","No","Room with shower - Minimum","King","1","20180821"
"EACVG659","Extended Stay America Covingto","650 West Third Street","Covington","KY","41011","121.49","PRO","B*Q","No","Room with bath - Moderate","Queen","Unspecified","20180821"
"WGCVG860","Wingate By Wyndham Erlanger, K","605 Viox Road","Erlanger","KY","41018","125.1","BAR","NK1","No","Non-smoking","Other","Unknown","20180821"
"LQCVGKJI","La Quinta Inn Ste Sharonville","11029 Dowlin Drive","Cincinnati","OH","45241","109.0","RAC","H1K","No","Room with shower - Minimum","King","1","20180821"
"WGCVG122","Wingate By Wyndham Cincinnati","4320 Glendale-milford Rd","Cincinnati","OH","45242","109.65","SP1","H2K","No","Room with shower - Minimum","King","2","20180821"
"CZCVG008","Comfort Suites Newport","420 Riverboat Row","Newport","OH","KY 41071","129.6","SNR","N2D","No","Non-smoking","Double","2","20180821"
"FNCVGSNF","Fairfield Inn N Stes Marriott","11440 Chester Road","Cincinnati","OH","45246","109.65","RAC","XMI","No","unknown","Other","Unknown","20180821"
"RDCVG757","Radisson Cincinnati Riverfront","668 Fifth Street","Covington","KY","41011","126.65","PRO","O2Q","No","unknown","Queen","2","20180821"
"BWCVG111","Bw Plus Cincinnati Riverfront","200 Crescent Avenue","Covington","KY","41011-1002","134.1","DB6","W1K","No","Room at weekend rate","King","1","20180821"
"HTCVG579","Home2 Suites By Hilton Blue Ash","11237 Cornell Park Drive","Blue Ash","OH","45242","132.05","RAC","D1K","No","Room with bath - Minimum","King","1","20180821"
"HICVG604","Holiday Inn Cincinnati","600 W Third Street","Covington","KY","41011","136.99","482","*RH","No","Unspecified","Other","Unknown","20180821"
"MUCVGCIN","Millennium Cincinnati","150 West 5th Street","Cincinnati","OH","45202 2393","135.15","PK2","C1K","No","Room with bath - Standard","King","1","20180821"
