"EADENHDA","Extended Stay America Aurora N","14095 E Evans Ave","Aurora","CO","80014","71.99","PRO","B1Q","No","Room with bath - Moderate","Queen","1","20181203"
"OZDEN036","Super 8 By Wyndham Henderson N","9051 I-76","Henderson","CO","80640","75.6","AAA","Q11","No","unknown","Other","1","20181203"
"EADENCHR","Extended Stay America Cherry C","4444 Leetsdale Drive","Glendale","CO","80246","80.99","PRO","A0C","No","Room with bath - Superior","Varies","0","20181203"
"LQDEN488","La Quinta Inn Suites Gateway Park","4460 Peoria Street","Denver","CO","80239","89.0","RAC","H1K","No","Room with shower - Minimum","King","1","20181203"
"RDDEN204","Radisson Hotel Denver Central","4849 Bannock Street","Denver","CO","80216","101.15","GOV","G1Q","No","Room with shower - Standard","Queen","1","20181203"
"LQDEN579","La Quinta Inn And Suites Henderson","9041 Brighton Road","Henderson","CO","80640","109.0","COR","H2D","No","Room with shower - Minimum","Double","2","20181203"
"BWDEN161","Bw Plus Gateway Inn Suites","800 South Abilene","Aurora","CO","80012","106.24","DB6","B2Q","No","Room with bath - Moderate","Queen","2","20181203"
"DTDEN155","Doubletree By Hilton Hotel Denver","3203 Quebec Street","Denver","CO","80207","122.88","RAC","E1D","No","Room with shower - Superior","Double","1","20181203"
"ALDEN857","Aloft Denver Downtown","800 15th Street","Denver","CO","80202","143.65","A16","A1K","No","Room with bath - Superior","King","1","20181203"
"HYDEN26H","Hyatt Place Denver Downtown","440 14th Street","Denver","CO","80202-5005","144.69","***","QEN","No","unknown","Other","Unknown","20181203"
"SIDEN062","Sheraton Denver Downtown Hotel","1550 Court Place","Denver","CO","80202","152.1","DO0","B1K","No","Room with bath - Moderate","King","1","20181203"
"BTDENOXG","Oxford Hotel","1600 17th Street","Denver","CO","80202","161.5","AD1","E1K","No","Room with shower - Superior","King","1","20181203"
"WIDENDEN","Westin Denver Downtown","1672 Lawrence Street","Denver","CO","80202","167.68","A16","B1K","No","Room with bath - Moderate","King","1","20181203"
"ESDENEFA","Embassy Suites Denver Stapleton","4444 N Havana","Denver","CO","80239","151.05","AAA","E1K","No","Room with shower - Superior","King","1","20181203"
"RCDENWRR","Residence Inn North Marriott","5010 W. 88th Place","Westminster","CO","80031","161.0","RAC","XMI","No","unknown","Other","Unknown","20181203"
"DRDEN165","Drury Inn And Suites Denver Stapleton","4550 North Central Park Blvd","Denver","CO","80238","159.99","RAC","N2Q","No","Non-smoking","Queen","2","20181203"
"HYDENHDD","Grand Hyatt Denver","1750 Welton St","Denver","CO","80202","199.0","***","KNG","No","Room with bath/shower - Minimum","Other","Unknown","20181203"
"BTDENTEA","Hotel Teatro","1100 14th Street","Denver","CO","80202","239.2","PRO","C1K","No","Room with bath - Standard","King","1","20181203"
"MCDENTCM","Denver Marriott Tech Center","4900 South Syracuse","Denver","CO","80237","245.65","RAC","XMI","No","unknown","Other","Unknown","20181203"
"HYDENDCC","Hyatt Regency Denver At Colorado Conv Ct","650 15th St","Denver","CO","80202","259.0","***","QBL","No","unknown","Other","Unknown","20181203"
