"RLFLL270","Knights Inn Hallandale","26 Diplomat Parkway","Hallandale","FL","33009","98.1","ARP","D2D","No","Room with bath - Minimum","Double","2","20181230"
"SCFLL798","Sawgrass Inn Conference Ctr","1711 N University Drive","Plantation","FL","33322","99.0","BAR","F1K","No","Room with shower - Moderate","King","1","20181230"
"OZFLL564","Super 8 Dania Ft. Lauderdale","333 South Federal Highway","Dania","FL","33004","107.1","AR1","H2Q","No","Room with shower - Minimum","Queen","2","20181230"
"MSFLL046","Plantation Inn Hotel And Lounge","375 N. State Rd. 7","Plantation","FL","33317","98.96","SEN","N2D","No","Non-smoking","Double","2","20181230"
"LQFLL982","La Quinta Inn Ste Plantation","8101 Peters Road","Plantation","FL","33324","99.0","RAC","H2D","No","Room with shower - Minimum","Double","2","20181230"
"MXPPM371","Motel 6 Pompano Beach","1201 Nw 31st Ave","Pompano Beach","FL","33069","115.99","RAC","U1D","No","Suite","Double","1","20181230"
"MXFLL055","Motel 6 Ft Lauderdale","1801 Sr 84","Ft Lauderdale","FL","33315","115.99","RAC","UD1","No","Suite","Other","Unknown","20181230"
"DIFLL154","Days Inn Fort Lauderdale-oakla","1595 W Oakland Park Blvd","Ft Lauderdale","FL","33311","116.99","AR1","H1Q","No","Room with shower - Minimum","Queen","1","20181230"
"RAFLL227","Ramada Fll Arpt Cruise Port","2275 Sr 84 Marina Mile Blvd","Ft Lauderdale","FL","33312","117.0","AR1","N1K","No","Non-smoking","King","1","20181230"
"MXFLL376","Motel 6 Dania Beach","825 E Dania Beach Blvd","Dania Beach","FL","33004","125.99","RAC","N2D","No","Non-smoking","Double","2","20181230"
"OZFLL500","Super 8 Pompano Beach","Us Hwy 1 & 10th Street","Pompano Beach","FL","33062","125.99","AR1","H2Q","No","Room with shower - Minimum","Queen","2","20181230"
"EAPPMHPB","Extended Stay America Pompano","1401 W. Mcnab Rd","Pompano Beach","FL","33069","130.49","PRO","N1Q","No","Non-smoking","Queen","1","20181230"
"OKFLL771","Haven Hotel Fort Lauderdale","3001 Se 6th Avenue","Ft. Lauderdale","FL","33316","129.49","RAC","C1Q","No","Room with bath - Standard","Queen","1","20181230"
"LQFLLLKP","La Quinta Inn Ste Plantation Sw 6th St","7901 Southwest 6th Street","Plantation","FL","33324","129.0","RAC","H1K","No","Room with shower - Minimum","King","1","20181230"
"CYFLLCSC","Courtyard Coral Sprgs Marriott","620 N University Drive","Coral Springs","FL","33071","148.0","S9R","XMI","No","unknown","Other","Unknown","20181230"
"BWFLL272","Bw Fort Lauderdale Airport Cruise Port","Corner Of 12th Ave And State Road 84","Fort Lauderdale","FL","33315","135.15","DB6","A2Q","No","Room with bath - Superior","Queen","2","20181230"
"CZFLLB41","Comfort Suites Fort Lauderdale Airport S","191 Sw 19th Court","Dania Beach","FL","33004","151.2","LHE","N1K","No","Non-smoking","King","1","20181230"
"TOFLLTCT","Towneplace Stes West Marriott","3100 Prospect Road","Ft Lauderdale","FL","33309","152.0","S9R","XMI","No","unknown","Other","Unknown","20181230"
"LQFLL942","La Quinta Inn Ste Cypress Creek","999 West Cypress Creek Road","Ft Lauderdale","FL","33309","149.0","RAC","C2D","No","Room with bath - Standard","Double","2","20181230"
"XTFLL7C8","Sawgrass Grand Hotel","3003 North University Drive","Sunrise","FL","33322","167.3","ADV","TWA","No","Suite","Other","Unknown","20181230"
