"MVLASEXC","Mgm Excalibur Hotel And Casino","3850 Las Vegas Blvd South","Las Vegas","NV","89119","40.86","PRO","ROH","Yes","Varies","Varies","Varies","20181215"
"MVLASLUX","Mgm Luxor Hotel And Casino","3900 Las Vegas Blvd","Las Vegas","NV","89119","47.77","PRO","ROH","Yes","Varies","Varies","Varies","20181215"
"MVLAS131","Mgm Circus Circus Hotel, Casino & Theme","2880 Las Vegas Blvd South","Las Vegas","NV","89109","51.85","RAC","B1K","No","Room with bath - Moderate","King","1","20181215"
"MXLAS067","Motel 6 Las Vegas Tropicana","195 E Tropicana Ave","Las Vegas","NV","89109","63.99","RAC","ND1","No","Non-smoking","Other","Unknown","20181215"
"MXLASC18","Motel 6 Las Vegas - Boulder Hwy","4125 Boulder Hwy","Las Vegas","NV","89121","63.99","RAC","URN","No","Suite","Other","Unknown","20181215"
"OZLASCTS","Super 8 Las Vegas North Strip","1213 South Las Vegas Blvd","Las Vegas","NV","89104","71.1","AR1","C3Q","No","Room with bath - Standard","Queen","3","20181215"
"BWLAS091","Stratosphere Casi Htl & Tow,bw Prem Coll","2000 S Las Vegas Blvd","Las Vegas","NV","89104","71.99","Z5Z","M1A","No","unknown","Other","1","20181215"
"YXLAS338","Suncoast Hotel And Casino","9090 Alta Drive","Las Vegas","NV","89145","74.0","AAA","A1O","No","Room with bath - Superior","Other","1","20181215"
"TLLAS700","Travelodge Las Vegas Airport N","5075 Koval Lane","Las Vegas","NV","89119","76.3","B04","H1K","No","Room with shower - Minimum","King","1","20181215"
"MVLASMON","Park Mgm Las Vegas","3770 Las Vegas Blvd South","Las Vegas","NV","89109","77.31","PRO","H1K","No","Room with shower - Minimum","King","1","20181215"
"HRLAS867","Ballys Las Vegas","3645 Las Vegas Blvd South","Las Vegas","NV","89109","84.55","ARP","C1D","No","Room with bath - Standard","Double","1","20181215"
"HRLAS808","Rio All-suite Hotel And Casino","3700 West Flamingo Road","Las Vegas","NV","89103","84.55","ARP","A1Q","No","Room with bath - Superior","Queen","1","20181215"
"WVLASUSA","Alexis Park All Suite Resort","375 E. Harmon Ave","Las Vegas","NV","89169","84.55","SNR","T1Q","No","Suite","Queen","1","20181215"
"DTLAS702","Dtree By Hilton Tropicana Las Vegas","3801 Las Vegas Blvd South","Las Vegas","NV","89109","84.55","PRO","I1K","No","Room with bath/shower - Superior","King","1","20181215"
"MVLASHOT","Mgm Delano Las Vegas","3970 Las Vegas Blvd South","Las Vegas","NV","89119","87.04","PRO","SQA","No","Suite","Other","Unknown","20181215"
"MVLASMIR","Mgm Mirage Hotel And Casino","3400 Las Vegas Boulevard South","Las Vegas","NV","89109","87.72","PRO","ROH","Yes","Varies","Varies","Varies","20181215"
"MVLASVAD","Mgm Vdara Hotel And Spa","2600 Harmon Avenue","Las Vegas","NV","89109","87.72","PRO","S1K","No","Suite","King","1","20181215"
"BTLASPSC","Palace Station Hotel And Casin","2411 W.sahara Ave.","Las Vegas","NV","89102","88.95","AR1","N1K","No","Non-smoking","King","1","20181215"
"MVLASMAN","Mgm Mandalay Bay Resort And Casino","3950 Las Vegas Blvd South","Las Vegas","NV","89119","94.32","PRO","ROH","Yes","Varies","Varies","Varies","20181215"
"BWLAS086","Bw Plus North Las Vegas Inn","4540 Donovan Way","North Las Vegas","NV","89081","97.75","DB6","W1K","No","Room at weekend rate","King","1","20181215"
