"YXMEM344","Americas Best Value Inn","2411 East Service Road","West Memphis","TN","72301","38.24","SP6","N1Q","No","Non-smoking","Queen","1","20180719"
"DIMEM950","Days Inn And Suites Memphis E","3685 American Way","Memphis","TN","38118","40.49","AAA","C1K","No","Room with bath - Standard","King","1","20180719"
"OZMEM496","Super 8 Memp Dwntn Gracelnd Ar","340 W Illinois Street","Memphis","TN","38106","51.0","SP1","C4Q","No","Room with bath - Standard","Queen","4","20180719"
"YXMEMABU","Americas Best Value Inn","4060 Lamar Avenue","Memphis","TN","38118","55.21","SP5","H1K","No","Room with shower - Minimum","King","1","20180719"
"RFMEM308","Red Roof Memphis Airport","3265 Elvis Presley Blvd","Memphis","TN","38116","46.74","AAA","N2D","No","Non-smoking","Double","2","20180719"
"MSMEMAJE","Magnuson Grand Memphis Airport","1471 East Brooks Rd","Memphis","TN","38116","46.75","ADV","N2Q","No","Non-smoking","Queen","2","20180719"
"MXMEMG71","Motel 6 Memphis Tn","2889 Old Austin Paey Hwy","Memphis","TN","38128","53.5","RAC","N2D","No","Non-smoking","Double","2","20180719"
"MXMEMC80","Motel 6 Memphis Downtown","210 S Pauline St","Memphis","TN","38104","53.99","RAC","U2D","No","Suite","Double","2","20180719"
"OZMEM126","Super 8 West Memphis Ar","901 Martin Luther King Jr Dr","West Memphis","AR","72301-3710","61.19","SP1","C4Q","No","Room with bath - Standard","Queen","4","20180719"
"YXMEM140","Inland Suites Lamar","3913 Lamar Avenue","Memphis","TN","38118","60.0","BAR","B1D","No","Room with bath - Moderate","Double","1","20180719"
"RYMEM270","Rodeway Inn West Memphis","3401 Service Loop Road","West Memphis","TN","72301","66.49","AAA","N1K","No","Non-smoking","King","1","20180719"
"EAMEMHVM","Extended Stay America Airport","2541 Corporate Avenue East","Memphis","TN","38132","69.99","RAC","B*Q","No","Room with bath - Moderate","Queen","Unspecified","20180719"
"DIMEM383","Days Inn Memphis At Graceland","3839 Elvis Presley Blvd","Memphis","TN","38116","76.5","SP1","H1K","No","Room with shower - Minimum","King","1","20180719"
"FNMEMPLF","Fairfield Inn N Stes Marriott","4760 Showcase Blvd","Memphis","TN","38115","78.0","S9R","XMI","No","unknown","Other","Unknown","20180719"
"CIMEM512","Comfort Inn Airport","3005 Millbranch Road","Memphis","TN","38116","80.1","SNR","N1K","No","Non-smoking","King","1","20180719"
"QIMEM757","Quality Inn Memphis","3105 Millbranch","Memphis","TN","38116","80.1","SNR","N1K","No","Non-smoking","King","1","20180719"
"CPMEM79A","Crowne Plaza Memphis Downtown","300 North Second Street","Memphis","TN","38105","112.0","482","*2B","No","Unspecified","Other","2","20180719"
"LQMEM377","La Quinta Inn Ste Mem Ap Graceland","2979 Millbranch Rd","Memphis","TN","38116","95.0","RAC","H1K","No","Room with shower - Minimum","King","1","20180719"
"HXMEM73E","Hampton Inn Memphis Poplar","5320 Poplar Ave","Memphis","TN","38117","105.4","AAA","D1Q","No","Room with bath - Minimum","Queen","1","20180719"
"BWMEM175","Best Western Plus Gen X Inn","1177 Madison Avenue","Memphis","TN","38104","107.99","SRS","A1K","No","Room with bath - Superior","King","1","20180719"
