"RFMIA255","Red Roof Plus Miami Airport","3401 Nw Le Jeune Road","Miami","FL","33142","67.15","SEN","A2D","No","Room with bath - Superior","Double","2","20180923"
"DIMIA267","Days Inn Miami Airport North","4767 N.w. 36th Street","Miami","FL","33166","71.1","AR1","C1Q","No","Room with bath - Standard","Queen","1","20180923"
"WVMIAAIR","Regency Hotel Miami","1000 Nw Le Jeune Road","Miami","FL","33126","73.8","PRE","F1K","No","Room with shower - Moderate","King","1","20180923"
"WVMIA756","Alden Hotel","2925 Indian Creek","Miami Beach","FL","33140","77.25","P1V","J1Q","No","Room with bath/shower - Moderate","Queen","1","20180923"
"MXMIAI27","Motel 6 Miami, Fl","7330 Nw 36th Street","Miami","FL","33166","69.0","RAC","N2Q","No","Non-smoking","Queen","2","20180923"
"FNMIAPTF","Fairfield Inn N Stes Marriott","4101 Nw 11th Street","Miami","FL","33126","79.2","RAC","QDV","No","unknown","Other","Unknown","20180923"
"WVMIA899","Doral Inn And Suites Miami Airport West","1212 Nw 82nd Ave","Doral","FL","33126","80.0","PRO","S1K","No","Suite","King","1","20180923"
"LEMIA320","Washington Park Hotel","1050 Washington Avenue","Miami","FL","33139","83.3","TAN","C1K","No","Room with bath - Standard","King","1","20180923"
"LQMIAFZK","La Quinta Inn Ste Miami Airport East","3501 Nw 42nd Ave","Miami","FL","33142","84.0","RAC","E1K","No","Room with shower - Superior","King","1","20180923"
"MCMIAAPM","Miami Airport Marriott","1201 Nw Le Jeune Road","Miami","FL","33126","84.0","S9R","XMI","No","unknown","Other","Unknown","20180923"
"LQMIA980","La Quinta Inn Ste Miami Airport West","8730 Nw 27th Street","Miami","FL","33172","75.0","RAC","C2D","No","Room with bath - Standard","Double","2","20180923"
"PWMIA587","El Paseo Hotel","405 Espanola Way","Miami Beach","FL","33139","87.0","AAA","F1K","No","Room with shower - Moderate","King","1","20180923"
"HIMIAD88","Holiday Inn - Intl Airport N","1111 South Poinciana Boulevard","Miami Springs","FL","33166","88.0","482","*RH","No","Unspecified","Other","Unknown","20180923"
"EAMIABLU","Extended Stay America Blue Lag","6605 Nw 7th Street","Miami","FL","33126","89.99","PRO","A0B","No","Room with bath - Superior","Other","0","20180923"
"CPMIA71C","Crowne Plaza Airport","950 Nw Lejeune Road","Miami","FL","33126","90.0","482","*RH","No","Unspecified","Other","Unknown","20180923"
"ELMIA450","Element Miami International Airport","3525 Nw 25th Street","Miami","FL","33142","92.65","YR1","C1K","No","Room with bath - Standard","King","1","20180923"
"WVMIA100","Seagull Hotel Miami Beach","100-21st Street Collins Ave","Miami Beach","FL","33139","93.5","AAA","C2D","No","Room with bath - Standard","Double","2","20180923"
"EAMIAMAP","Extended Stay America Mia Dora","8720 Nw 33rd Street","Miami","FL","33172","94.99","PRO","D*P","No","Room with bath - Minimum","Pull-out","Unspecified","20180923"
"SIMIA208","Four Points Miami Airport","3570 Nw 74th Ave","Miami","FL","33122","98.31","A16","A1K","No","Room with bath - Superior","King","1","20180923"
"BWMIA388","Best Western Plus Miami Airpor","131 Fairway Dr","Miami","FL","33166","89.99","SRS","B1K","No","Room with bath - Moderate","King","1","20180923"
