"OZMKC482","Super 8 Kansas City Barry Road","6900 Nw 83rd Terrace","Kansas City","MO","64152","52.49","PK6","C1K","No","Room with bath - Standard","King","1","20180902"
"OZMCI453","Super 8 Riverside-kansas City","800 Nw Argosy Parkway","Riverside","MO","64150","59.39","AAA","H2D","No","Room with shower - Minimum","Double","2","20180902"
"WVMKC973","American Motel","7949 Splitlog Ave","Kansas City","KS","66112","53.96","SN7","N2D","No","Non-smoking","Double","2","20180902"
"LQMKCBMS","La Quinta Inn Kansas City North","2214 Taney Road","Kansas City","MO","64116","65.0","RAC","H1D","No","Room with shower - Minimum","Double","1","20180902"
"BWMCI134","Best Western Country Inn North","2633 N.e. 43rd Street","Kansas City","MO","64117","67.99","GOV","A1K","No","Room with bath - Superior","King","1","20180902"
"EAMCIMER","Extended Stay America Shawnee","6451 East Frontage Rd","Merriam","KS","66202","62.99","PRO","A0B","No","Room with bath - Superior","Other","0","20180902"
"EAMCIKCL","Extended Stay America 87th St","8015 Lenexa Drive","Lenexa","KS","66215","62.99","PRO","N1Q","No","Non-smoking","Queen","1","20180902"
"BWMCI158","Best Western Plus Seville","4309 Main Street","Kansas City","MO","64111","96.04","DB6","C1K","No","Room with bath - Standard","King","1","20180902"
"HIMKC0CF","Holiday Inn Exp Stes Sports Co","8551 East Blue Parkway","Kansas City","MO","64133","103.99","482","*RH","No","Unspecified","Other","Unknown","20180902"
"YOMKCC71","Candlewood Stes Ne Kansas City","4450 North Randolph Road","Kansas City","MO","64117","110.99","76N","*1Q","No","Unspecified","Queen","1","20180902"
"EAMCICCP","Extended Stay America Kansas C","4535 Main Street","Kansas City","MO","64111","116.99","PRO","A0H","No","Room with bath - Superior","Other","0","20180902"
"HIMCI771","Holiday Inn Exp Stes Liberty","8230 North Church Road","Kansas City","MO","64158","121.99","482","*1K","No","Unspecified","King","1","20180902"
"HIMKC6DE","Holiday Inn Exp Stes North Kc","1995 Macon Street","North Kansas City","MO","64116","132.0","482","*2D","No","Unspecified","Double","2","20180902"
"WIMCICRO","Westin Kansas City","One East Pershing Road","Kansas City","MO","64108","152.1","DO0","C1K","No","Room with bath - Standard","King","1","20180902"
"CYMCINOC","Courtyard Briarcliff Marriott","4000 North Mulberry Road","Kansas City","MO","64116","144.0","S9R","XMI","No","unknown","Other","Unknown","20180902"
"CYMCICPC","Courtyard Plaza Marriott","4600 Jc Nichols Parkway","Kansas City","MO","64112","160.65","S9R","XMI","No","unknown","Other","Unknown","20180902"
"MCMCIPLM","Kc Marriott Country Club Plaza","4445 Main Street","Kansas City","MO","64111","161.0","RAC","BUY","No","Room with bath - Moderate","Other","Unknown","20180902"
"SIMCI709","Sheraton Kansas City Hotel","2345 Mcgee Street","Kansas City","MO","64108","202.1","A16","A1K","No","Room with bath - Superior","King","1","20180902"
"YXMKCMMK","21c Museum Hotel Kansas City","219 West 9th Street","Kansas City","MO","64105","174.0","PRO","C2Q","No","Room with bath - Standard","Queen","2","20180902"
"MCMCIDTM","Marriott Kc Downtown","200 W 12th St","Kansas City","MO","641051638","178.0","S9R","XMI","No","unknown","Other","Unknown","20180902"
