"MTMSP200","Microtel Inn & Suites By Wyndh","801 East 78th St","Bloomington","MN","55420","66.6","AAA","NQ1","No","Non-smoking","Other","Unknown","20181020"
"MXMSPA78","Motel 6 Minneapolis Airport - Mall Of Am","7640 Cedar Ave S","Richfield","MN","55423","69.99","RAC","U2D","No","Suite","Double","2","20181020"
"LQMSPJCW","La Quinta Inn Ste Minneapolis Nw","7011 Northland Circle","Brooklyn Park","MN","55428-1543","72.0","RAC","H1D","No","Room with shower - Minimum","Double","1","20181020"
"MXMSP759","Motel 6 Minneapolis N Roseville","2300 Cleveland Ave N","Roseville","MN","55113","73.99","RAC","U1Q","No","Suite","Queen","1","20181020"
"MXMSPC73","Motel 6 Minneapolis - Brooklyn Center","2741 Freeway Blvd","Brooklyn Center","MN","55430","75.99","RAC","UQ1","No","Suite","Other","Unknown","20181020"
"MTMSP100","Microtel Inn & Suites By Wyndh","3000 Denmark Avenue","Eagan","MN","55121","84.99","PRO","PNQ","No","Executive suite","Queen","Unknown","20181020"
"RLMSP551","Guesthouse Bloomington","4460 W 78th Street Circle","Bloomington","MN","55435","93.0","GOV","I1K","No","Room with bath/shower - Superior","King","1","20181020"
"BWMSP140","Best Western Plus Minneapolis","2050 Freeway Blvd","Brooklyn Center","MN","55430-1752","103.99","DB6","C1K","No","Room with bath - Standard","King","1","20181020"
"LQMSP751","La Quinta Inn Ste Minneapolis Minnetonka","10420 Wayzata Blvd","Minnetonka","MN","55305","99.0","COR","C1K","No","Room with bath - Standard","King","1","20181020"
"CXMSP713","Country Inn Stes Brooklyn Ctr","2550 Freeway Boulevard","Brooklyn Center","MN","55430","107.95","PRO","O2Q","No","unknown","Queen","2","20181020"
"MCMSPMNM","Minneapolis Airport Marriott","2020 American Blvd East","Bloomington","MN","55425","110.46","S9R","XMI","No","unknown","Other","Unknown","20181020"
"OZMSP634","Super 8 Bloomington-airport","7800 2nd Ave South","Bloomington","MN","55402","116.1","AAA","NQQ","No","Non-smoking","Queen","Unknown","20181020"
"BWMSP126","Best Western Eden Prairie Inn","11500 West 78th Street","Eden Prairie","MN","55344","118.99","DB6","A1Q","No","Room with bath - Superior","Queen","1","20181020"
"BWMSP143","Best Western Plus St. Paul","1000 Gramsie Rd","Shoreview","MN","55216-2949","126.65","DB6","W1K","No","Room at weekend rate","King","1","20181020"
"RCMSPPLR","Residence Inn Plymout Marriott","2750 Annapolis Circle","Plymouth","MN","55441","118.0","S9R","XMI","No","unknown","Other","Unknown","20181020"
"RCMSPLLR","Residence Inn Blmgton Marriott","7850 Bloomington Avenue South","Bloomington","MN","55425","127.0","RAC","XMI","No","unknown","Other","Unknown","20181020"
"CXMSP308","Country Inn Suite Roseville","2740 N Snelling Ave","Roseville","MN","55113","149.0","GOV","G1K","No","Room with shower - Standard","King","1","20181020"
"RCMSPROR","Residence Inn Rosevil Marriott","2985 Centre Pointe Drive","Roseville","MN","55113","152.0","S9R","XMI","No","unknown","Other","Unknown","20181020"
"RDMSP165","Radisson Red Minneapolis Downtown","609 3rd Street South","Minneapolis","MN","55415","201.6","PRO","O1K","No","unknown","King","1","20181020"
"ALMSP074","Aloft Minneapolis","900 Washington Ave South","Minneapolis","MN","55415","201.83","A16","A1K","No","Room with bath - Superior","King","1","20181020"
