"NZNYC569","Gowanus Inn And Yard, An Ascend Hotel Co","645-651 Union St.","Brooklyn","NY","11215","89.1","SNR","N1Q","No","Non-smoking","Queen","1","20180624"
"RYEWR320","Rodeway Inn Jersey City","459 Tonnelle Avenue","Jersey City","NJ","07307","89.1","SNR","N1Q","No","Non-smoking","Queen","1","20180624"
"XTNYCMIL","Row Hotel","700 8th Avenue","New York","NY","10036","92.65","AAP","R1F","No","unknown","Other","1","20180624"
"DTLGA100","Doubletree By Hilton Nyc Chelsea","128 West 29th Street","New York","NY","10001","85.46","RAC","E1Q","No","Room with shower - Superior","Queen","1","20180624"
"EOEWR072","Econo Lodge Jersey City","750 762 Tonnelle Ave","Jersey City","NJ","07307","94.49","SNR","N1K","No","Non-smoking","King","1","20180624"
"OKNYCP51","Pod 51 Hotel","230 East 51st Street","New York","NY","10022","85.0","RAC","J1T","No","Room with bath/shower - Moderate","Twin","1","20180624"
"TLJEC197","Travelodge Jersey City","881 Tonnele Ave","Jersey City","NJ","07307-3938","98.99","B02","C1K","No","Room with bath - Standard","King","1","20180624"
"YZNYC930","Staybridge Stes Time Square Ma","340 West 40th Street","New York","NY","10018","114.0","N5G","*1Q","No","Unspecified","Queen","1","20180624"
"FNNYCFIF","Fairfield Inn N Stes Marriott","330 West 40th Street","New York","NY","10018","101.0","RAC","XMI","No","unknown","Other","Unknown","20180624"
"SINYC102","Four Points Midtown West","444 10th Avenue","New York","NY","10001","102.0","A16","A1K","No","Room with bath - Superior","King","1","20180624"
"TXNYC502","The Maxwell","541 Lexington Avenue","New York","NY","10022","104.3","A16","P1Q","No","Executive suite","Queen","1","20180624"
"WVNYC276","Hotel 373","373 Fifth Ave","New York","NY","10016","107.1","AAA","G1Q","No","Room with shower - Standard","Queen","1","20180624"
"ALNYC647","Aloft Manhattan Downtown Financial Dist","49 53 Ann Street","New York","NY","10038","107.1","A16","B1K","No","Room with bath - Moderate","King","1","20180624"
"OKNYCP39","Pod 39 Hotel","145 East 39th Street","New York","NY","10016","99.0","BAR","C1T","No","Room with bath - Standard","Twin","1","20180624"
"YXNYCSLE","Americana Inn","69 West 38th Street","New York","NY","10018","109.0","RAC","J1S","No","Room with bath/shower - Moderate","Single","1","20180624"
"WVNYC062","Manhattan Broadway Hotel","273 West 38th Street","New York","NY","10018","109.0","RAC","F1Q","No","Room with shower - Moderate","Queen","1","20180624"
"FNNYCTMF","Fairfield Inn Marriott 5th Ave","21 West 37th Street","New York","NY","10018","110.0","RAC","XMI","No","unknown","Other","Unknown","20180624"
"CYNYCETC","Courtyard T-sq West Marriott","307 W 37th Street","Manhattan","NY","10018","111.0","RAC","XMI","No","unknown","Other","Unknown","20180624"
"OKNYC400","Pod Times Square","400 West 42nd Street","New York City","NY","10036","105.0","RAC","C2T","No","Room with bath - Standard","Twin","2","20180624"
"WYNYC542","The New Yorker A Wyndham Hotel","481 8th Avenue","New York","NY","10001","134.0","PK1","A1Q","No","Room with bath - Superior","Queen","1","20180624"
