"MXPDXF01","Motel 6 Vancouver Wa","221 Ne Chkalov Drive","Vancouver","WA","98684","59.99","RAC","N1Q","No","Non-smoking","Queen","1","20181104"
"MXPDX070","Motel 6 Portland Central","3104-06 Se Powell Blvd","Portland","OR","97202","69.99","RAC","U1Q","No","Suite","Queen","1","20181104"
"BWPDX142","Best Western Plus Northwind","16105 Sw Pacific Highway","Tigard","OR","97224","107.99","SRS","S1K","No","Suite","King","1","20181104"
"CXPDX605","Country Inn & Suites","9930 North Whitaker Rd.","Portland","OR","97217","109.65","PRO","O2D","No","unknown","Double","2","20181104"
"LQPDX265","La Quinta Inn Ste Portland Airport","11207 Ne Holman St","Portland","OR","97220","99.0","RAC","C1D","No","Room with bath - Standard","Double","1","20181104"
"OZPDX888","Super 8 Portland Airport","11011 Ne Holman","Portland","OR","97220-1208","105.0","RAC","PNQ","No","Executive suite","Queen","Unknown","20181104"
"LQPDX465","La Quinta Inn Ste Portland Nw","4319 Nw Yeon","Portland","OR","97210","109.0","RAC","H1K","No","Room with shower - Minimum","King","1","20181104"
"WXPDXBEN","The Benson. A Coast Hotel","309 S.w.broadway","Portland","OR","97205","134.0","AAA","B1Q","No","Room with bath - Moderate","Queen","1","20181104"
"ARPDXARA","Ac By Marriott Portland Dwtn","888 Sw Third Ave","Portland","OR","97204","135.15","RAC","APN","No","Room with bath - Superior","Other","Unknown","20181104"
"SCPDX723","The Grand Hotel At Bridgeport","7265 Sw Hazelfern Rd","Tigard","OR","97224","122.55","ARP","F1K","No","Room with shower - Moderate","King","1","20181104"
"SIPDX881","Sheraton Pdx Airport","8235 Northeast Airport Way","Portland","OR","97220","139.0","DO0","A1K","No","Room with bath - Superior","King","1","20181104"
"RCPDXAPR","Residence Inn Airport Marriott","9301 Ne Cascades Parkway","Portland","OR","97220","139.0","RAC","XMI","No","unknown","Other","Unknown","20181104"
"BTPDX512","Hotel Rose","50 Sw Morrison","Portland","OR","97204 3390","143.0","PRO","A1Q","No","Room with bath - Superior","Queen","1","20181104"
"BWPDX169","Best Western Plus Portland Airport","11938 Ne Airport Way","Portland","OR","97220","126.65","DB6","W1K","No","Room at weekend rate","King","1","20181104"
"CXPDX962","Country Inn Suites Portland","7025 Ne Alderwood Rd","Portland","OR","97218","148.0","GOV","G2Q","No","Room with shower - Standard","Queen","2","20181104"
"HYPDXAPT","Hyatt Place Pdx Arpt Cascade Station","9750 Northeast Cascades Pkwy","Portland","OR","97220","151.05","***","QQN","No","unknown","Other","Unknown","20181104"
"YXPDXAHP","Ace Hotel - Portland","1022 Sw Stark St","Portland","OR","97205","155.99","RAC","C1Q","No","Room with bath - Standard","Queen","1","20181104"
"YXPDXHHP","The Heathman Hotel Portland","1001 Sw Broadway","Portland","OR","97205","160.99","P10","G1Q","No","Room with shower - Standard","Queen","1","20181104"
"FNPDXPFF","Fairfield Inn N Stes Marriott","1200 North Anchor Way","Portland","OR","97217","161.0","S9R","XMI","No","unknown","Other","Unknown","20181104"
"CYPDXCAC","Courtyard Airport Marriott","11550 Ne Airport Way","Portland","OR","97220","144.0","RAC","XMI","No","unknown","Other","Unknown","20181104"
