"MTPHL200","Microtel Inn & Suites By Wyndh","8840 Tinicum Blvd","Philadelphia","PA","19153","112.49","AAA","Q11","No","unknown","Other","1","20181027"
"WVPHL002","The Conwell Inn","1331 Polett Walk","Philadelphia","PA","19122","134.96","PR3","C1Q","No","Room with bath - Standard","Queen","1","20181027"
"CYPHLPTC","Courtyard By Marriott Deptford","1251 Hurffville Road","Deptford Township","NJ","08096","135.0","S9R","XMI","No","unknown","Other","Unknown","20181027"
"BWPHL135","Best Western Plus Philadelphia","1225 Vine St","Philadelphia","PA","19107 1116","119.0","GOV","W1K","No","Room at weekend rate","King","1","20181027"
"BHPHLPAR","Hawthorn Suites By Wyndham Phi","4630 Island Avenue","Philadelphia","PA","19153","143.1","AR1","S3Q","No","Suite","Queen","3","20181027"
"SIPHLXEZ","Sheraton Suites Phl Airport","4101b Island Avenue","Philadelphia","PA","19153","143.65","DO0","A1K","No","Room with bath - Superior","King","1","20181027"
"ALPHL181","Aloft Philadelphia Airport","4301 Island Avenue","Philadelphia","PA","19153","144.07","A16","A1K","No","Room with bath - Superior","King","1","20181027"
"FNPHLFAF","Fairfield Inn Airport Marriott","8800 Bartram Ave","Philadelphia","PA","19153","152.0","S9R","XMI","No","unknown","Other","Unknown","20181027"
"XVPHLSRS","Springhill Stes Arpt Marriott","201 Industrial Highway","Ridley Park","PA","19078","152.15","S9R","XMI","No","unknown","Other","Unknown","20181027"
"MTPHL469","Microtel Inn & Suites By Wyndh","155 S Stewart Avenue","Ridley Park","PA","19078-1001","143.65","PRO","PNQ","No","Executive suite","Queen","Unknown","20181027"
"CYPHLATC","Courtyard Airport Marriott","8900 Bartram Ave","Philadelphia","PA","19153","165.0","S9R","XMI","No","unknown","Other","Unknown","20181027"
"BRPHLBRB","Renaissance Phil Airport Hotel","500 Stevens Drive","Philadelphia","PA","19113","169.0","RAC","REG","No","unknown","Other","Unknown","20181027"
"SIPHL992","Sheraton Philly Univ Cty","3549 Chestnut Street","Philadelphia","PA","19104","179.25","A16","C1K","No","Room with bath - Standard","King","1","20181027"
"SIPHL166","Sheraton Society Hill Hotel","1 Dock Street","Philadelphia","PA","19106","188.7","A16","C1K","No","Room with bath - Standard","King","1","20181027"
"HXPHLHC0","Hampton Inn Philadelphia Arpt","8660 Bartram Ave","Philadelphia","PA","19153","169.0","RAC","C1Q","No","Room with bath - Standard","Queen","1","20181027"
"WWPHL766","Warwick Rittenhouse Square","220 South 17th Street","Philadelphia","PA","19103-6179","319.2","SRS","H1K","No","Room with shower - Minimum","King","1","20181027"
"SNPHLAC4","Sonesta Philadelphia Downtown","1800 Market Street","Philadelphia","PA","19103","332.0","AAA","D1Q","No","Room with bath - Minimum","Queen","1","20181027"
"SIPHL980","Four Points City Ctr Philly","1201 Race Street","Philadelphia","PA","19107","339.1","DO0","A1K","No","Room with bath - Superior","King","1","20181027"
"WYPHL21C","Wyndham Philadelphia Historic","400 Arch Street","Philadelphia","PA","19106","339.15","AA1","C2D","No","Room with bath - Standard","Double","2","20181027"
"GIPHL174","Hilton Garden Inn Philadelphia","1100 Arch Street","Philadelphia","PA","19107","399.0","RAC","F2D","No","Room with shower - Moderate","Double","2","20181027"
