"RCPITROR","Residence Inn Upmc Marriott","3896 Bigelow Blvd","Pittsburgh","PA","15213","79.0","RAC","REG","No","unknown","Other","Unknown","20180910"
"FNPITWFF","Fairfield Inn N Stes Marriott","1004 Sutherland Dr","Pittsburgh","PA","15205","93.0","S9R","XMI","No","unknown","Other","Unknown","20180910"
"CYPITSRC","Courtyard Settlers Rg Marriott","5100 Campbells Run Road","Pittsburgh","PA","15205","93.0","S9R","XMI","No","unknown","Other","Unknown","20180910"
"HIPIT372","Holiday Inn Exp Stes Airport","5311 Campbells Run Road","Pittsburgh","PA","15205","97.0","482","*RH","No","Unspecified","Other","Unknown","20180910"
"FNPITNVF","Fairfield Inn N Stes Marriott","5850 Grand Avenue","Pittsburgh","PA","15225","114.0","S9R","XMI","No","unknown","Other","Unknown","20180910"
"TOPITTWT","Towneplace Stes Arpt Marriott","1006 Sutherland Dr.","Robinson Township","PA","15205","119.0","S9R","XMI","No","unknown","Other","Unknown","20180910"
"HXPITGG0","Hmptn Inn Pittsburgh Mcknight","4575 Mcknight Rd","Pittsburgh","PA","15237","107.1","AAA","D1K","No","Room with bath - Minimum","King","1","20180910"
"TOPITNET","Towneplace Stes Harma Marriott","2785 Freeport Rd","Pittsburgh","PA","15238","127.0","RAC","APN","No","Room with bath - Superior","Other","Unknown","20180910"
"FNPITFMF","Fairfield Inn And Suites Pitts","901 Providence Blvd","Pittsburgh","PA","15237","139.0","RAC","REG","No","unknown","Other","Unknown","20180910"
"HTPIT863","Home2 Suites By Hilton Pittsburgh-mccand","8630 Duncan Avenue","Mccandless","PA","15237","122.55","RAC","L1K","No","unknown","King","1","20180910"
"HIPIT0C4","Holiday Inn Exp Ste South Side","20 South Tenth Street","Pittsburgh","PA","15203","123.0","482","*2D","No","Unspecified","Double","2","20180910"
"WYPITCFA","Wyndham Pittsburg University Center","100 Lytton Avenue","Pittsburgh","PA","15213","143.1","AR1","A1Q","No","Room with bath - Superior","Queen","1","20180910"
"RCPITRDR","Residence Inn Oakland Marriott","3341 Forbes Ave","Pittsburgh","PA","15213","127.0","S9R","XMI","No","unknown","Other","Unknown","20180910"
"HXPIT22D","Hampton Pittsburgh University Medical Ce","3315 Hamlet Street","Pittsburgh","PA","15213","151.05","RAC","B1Q","No","Room with bath - Moderate","Queen","1","20180910"
"HYPITLV4","Hyatt House Pittsburgh South Side","2795 South Water Street","Pittsburgh","PA","15203","151.55","***","SKV","No","Suite","Other","Unknown","20180910"
"RCPITRNR","Residence Inn N Shore Marriott","574 West Gen Robinson St","Pittsburgh","PA","15212","152.0","S9R","XMI","No","unknown","Other","Unknown","20180910"
"OMPITPEN","Omni William Penn Hotel","530 William Penn Place","Pittsburgh","PA","15219","139.0","LT1","DDR","No","Room with bath - Minimum","Other","Unknown","20180910"
"DTPIT690","Dbltree Pittsburgh Greentree","101 Radisson Drive","Pittsburgh","PA","15205","139.2","RAC","D1K","No","Room with bath - Minimum","King","1","20180910"
"EZPIT637","Cambria Hotel Pittsburgh","1320 Centre Avenue","Pittsburgh","PA","15219","140.25","LCO","N1K","No","Non-smoking","King","1","20180910"
"HXPIT470","Hampton Ste Pittsburgh Harmarville Pa","2805 Freeport Road","Pittsburgh","PA","15238","151.05","RAC","C2Q","No","Room with bath - Standard","Queen","2","20180910"
