"BTSEAUNI","University Inn","4140 Rooselvelt Way, N.e.","Seattle","WA","98105","85.0","ARP","C2Q","No","Room with bath - Standard","Queen","2","20190101"
"BTSEA559","Watertown Hotel","4242 Roosevelt Way Ne","Seattle","WA","98105","92.0","PRO","T1K","No","Suite","King","1","20190101"
"RLSEA119","Red Lion Hotel Bellevue","11211 Main Street","Bellevue","WA","98004","92.05","GOV","N2D","No","Non-smoking","Double","2","20190101"
"BTSEA248","Hotel Five","2200 Fifth Avenue","Seattle","WA","98121","98.0","SSR","G1Q","No","Room with shower - Standard","Queen","1","20190101"
"BUSEAGVO","Baymont Seattle Kirkland","12223 Ne 116th Street","Kirkland","WA","98034","98.1","SNR","N2Q","No","Non-smoking","Queen","2","20190101"
"SISEA638","Four Points Dtown Seattle Ctr","601 Roy St","Seattle","WA","98109","99.0","DO0","B2D","No","Room with bath - Moderate","Double","2","20190101"
"WKSEAWAR","Warwick Seattle","401 Lenora Street","Seattle","WA","98121","123.0","SNR","ROH","Yes","Varies","Varies","Varies","20190101"
"YXSEA123","Executive Hotel Pacific","400 Spring Street","Seattle","WA","98104","125.0","AAA","C1Q","No","Room with bath - Standard","Queen","1","20190101"
"SISEA506","Sheraton Bellevue Hotel","100 112th Avenue Ne","Bellevue","WA","98004","125.26","DO0","S1K","No","Suite","King","1","20190101"
"CYSEACDC","Courtyard Lake Union Marriott","925 Westlake Ave N","Seattle","WA","98109","127.0","S9R","XMI","No","unknown","Other","Unknown","20190101"
"SISEA460","Sheraton Seattle Hotel","1400 Sixth Avenue","Seattle","WA","98101","133.95","A16","C1K","No","Room with bath - Standard","King","1","20190101"
"YXSEA062","The Loyal Inn","2301 8th Avenue","Seattle","WA","98121","134.1","ARP","C1Q","No","Room with bath - Standard","Queen","1","20190101"
"BWSEA128","Best Western Plus Pioneer Sqr","77 Yesler Way","Seattle","WA","98104","134.99","SRS","C1K","No","Room with bath - Standard","King","1","20190101"
"WXSEABEL","Hotel 116 A Coast Hotel","625 116th Avenue N E","Bellevue","WA","98004","136.0","SRS","N1K","No","Non-smoking","King","1","20190101"
"YXSEA013","Silver Cloud Hotel - Broadway","1100 Broadway","Seattle","WA","98122","139.0","PRO","A1K","No","Room with bath - Superior","King","1","20190101"
"LQSEA676","La Quinta Inn Ste Bellevue Kirkland","10530 Ne Northrup Way","Kirkland","WA","98033","135.0","RAC","H1D","No","Room with shower - Minimum","Double","1","20190101"
"HYSEAOLV","Hyatt At Olive 8","1635 8th Ave","Seattle","WA","98101","159.0","***","KNG","No","Room with bath/shower - Minimum","Other","Unknown","20190101"
"HYSEAEGH","Grand Hyatt Seattle","721 Pine St","Seattle","WA","98101","169.0","***","KNG","No","Room with bath/shower - Minimum","Other","Unknown","20190101"
"YXSEA016","Silver Cloud Hotel - Stadium","1046 1st Ave S","Seattle","WA","98134","169.0","SEN","A1K","No","Room with bath - Superior","King","1","20190101"
"WVSEAMFP","Mayflower Park Hotel","405 Olive Way","Seattle","WA","98101","179.1","SNR","C1Q","No","Room with bath - Standard","Queen","1","20190101"
