"OKSFO507","The Urban Hotel","507 Bush Street","San Francisco","CA","94108","79.0","RAC","I1D","No","Room with bath/shower - Superior","Double","1","20190103"
"WVSFOTMH","The Hotel Majestic","1500 Sutter Street","San Francisco","CA","94109","113.6","PR5","C1Q","No","Room with bath - Standard","Queen","1","20190103"
"RASFO717","Ramada Limited San Francisco A","721 Airport Blvd","San Francisco","CA","94080","116.99","AA1","C5K","No","Room with bath - Standard","King","5","20190103"
"LQOAK238","La Quinta Inn Berkeley","920 University Avenue","Berkeley","CA","94710","119.0","RAC","H1D","No","Room with shower - Minimum","Double","1","20190103"
"YXSFOAIS","Alpine Inn   Suites","560 Carter Street","Daly City","CA","94014","119.99","RAC","C1Q","No","Room with bath - Standard","Queen","1","20190103"
"JVSFO400","Hotel Carlton","1075 Sutter Street","San Francisco","CA","94109","125.1","AAR","C1K","No","Room with bath - Standard","King","1","20190103"
"DTOAK284","Doubletree By Hilton Berkeley","200 Marina Boulevard","Berkeley","CA","94710","127.68","RAC","B1D","No","Room with bath - Moderate","Double","1","20190103"
"LQSFO659","La Quinta Inn Ste Airport North","20 Airport Blvd South","San Francisco","CA","94080","129.0","RAC","A2D","No","Room with bath - Superior","Double","2","20190103"
"ARSFOYAA","Ac By Marriott Sfo Airport","1333 Veterans Boulevard","South San Francisco","CA","94080","129.0","RAC","REG","No","unknown","Other","Unknown","20190103"
"XTSFOSCH","Stanford Court Fmr Renaissance","905 California St","San Francisco","CA","94108","133.0","RAC","S1Q","No","Suite","Queen","1","20190103"
"OZSFO628","Super 8 San Francisco-union","415 Ofarrell St","San Francisco","CA","94102","133.2","AR1","H2D","No","Room with shower - Minimum","Double","2","20190103"
"VGSFOHPO","Hotel Zelos San Francisco","12 Fourth Street","San Francisco","CA","94103","134.25","PR3","H1K","No","Room with shower - Minimum","King","1","20190103"
"MCOAKDTM","Oakland Marriott City Center","1001 Broadway","Oakland","CA","94607","135.0","S9R","XMI","No","unknown","Other","Unknown","20190103"
"BTSFOAHT","Axiom Hotel","28 Cyril Magnin Street","San Francisco","CA","94102","135.15","RA8","A1Q","No","Room with bath - Superior","Queen","1","20190103"
"YXSFOSHO","Hotel Spero Union Square","405 Taylor Street","San Francisco","CA","94102","138.99","SNR","B1D","No","Room with bath - Moderate","Double","1","20190103"
"BTSFO644","The Pickwick Hotel","85 Fifth Street","San Francisco","CA","94103","139.0","SPL","A3D","No","Room with bath - Superior","Double","3","20190103"
"YXSFO212","Sleep Over Sauce","135 Gough Street","San Francisco","CA","94102","140.0","RAC","N1Q","No","Non-smoking","Queen","1","20190103"
"KCSFO249","Kimpton Buchanan Hotel","1800 Sutter Street","San Francisco","CA","94115","140.25","482","*RH","No","Unspecified","Other","Unknown","20190103"
"SISFO156","Four Points Sfo Htl And Suites","264 South Airport Blvd","South San Francisco","CA","94080","141.02","A16","A2Q","No","Room with bath - Superior","Queen","2","20190103"
"XTSFOHDI","Hotel Diva","440 Geary Boulevard","San Francisco","CA","94102","143.0","AAA","SQA","No","Suite","Other","Unknown","20190103"
