"RASLC104","Ramada Salt Lake City N Temple","1659 W North Temple","Salt Lake City","UT","84116-3127","80.1","AR1","C4Q","No","Room with bath - Standard","Queen","4","20180831"
"EASLC362","Extended Stay America West Vll","2310 W. City Center Court","Salt Lake City","UT","84119","85.49","PRO","A07","No","Room with bath - Superior","Other","0","20180831"
"BWSLC086","Best Western Plus Airport Inn","5433 W Wiley Post Way","Salt Lake City","UT","84116","92.65","DB6","A2Q","No","Room with bath - Superior","Queen","2","20180831"
"LQSLC958","La Quinta Inn Ste Salt Lake City Airport","4905 West Wiley Post Way","Salt Lake City","UT","84116","95.0","RAC","B1K","No","Room with bath - Moderate","King","1","20180831"
"RLSLC816","Hotel Rl By Red Lion Salt Lake City","161 West 600 South","Salt Lake City","UT","84101","95.2","ARP","H1Q","No","Room with shower - Minimum","Queen","1","20180831"
"OZSLC515","Super 8 Salt Lake City Airport","223 North Jimmy Doolittle Rd","Salt Lake City","UT","84116","98.54","AAA","NQ1","No","Non-smoking","Other","Unknown","20180831"
"RDSLC190","Radisson Salt Lake City Airprt","2177 West North Temple","Salt Lake City","UT","84116","99.0","GOV","G1K","No","Room with shower - Standard","King","1","20180831"
"MTSLC100","Microtel Inn & Suites By Wyndh","61 N. Tommy Tompson Road","Salt Lake City","UT","84116","98.1","AAA","SNK","No","Suite","King","Unknown","20180831"
"RDSLC894","Radisson Salt Lake City Dwntwn","215 West South Temple","Salt Lake City","UT","84101","98.1","AAA","I2Q","No","Room with bath/shower - Superior","Queen","2","20180831"
"EASLCSUG","Extended Stay America Sugar Ho","1220 East 2100 South","Salt Lake City","UT","84106","112.49","PRO","T2Q","No","Suite","Queen","2","20180831"
"WVSLCLAM","Little America - Salt Lake City","500 S Main Street","Salt Lake City","UT","84101","117.0","SEN","C1*","No","Room with bath - Standard","Unspecified","1","20180831"
"XVSLCSHS","Springhill Stes Dwtn Marriott","625 South 300th West","Salt Lake City","UT","84101","126.65","RAC","XMI","No","unknown","Other","Unknown","20180831"
"TOSLCSWT","Towneplace Stes W Val Marriott","5473 West High Market Dr.","West Valley City","UT","84120","127.0","S9R","XMI","No","unknown","Other","Unknown","20180831"
"XVSLCSAS","Springhill Stes Arpt Marriott","4955 Wiley Post Way","Salt Lake City","UT","84116","127.46","S9R","XMI","No","unknown","Other","Unknown","20180831"
"CXSLC724","Country Inn Suites West Valley","3422 South Decker Lake Drive","West Valley City","UT","84119","119.2","PRO","O1K","No","unknown","King","1","20180831"
"FNSLCFDF","Fairfield Inn N Stes Marriott","130 W 400 South","Salt Lake City","UT","84101","126.65","RAC","XMI","No","unknown","Other","Unknown","20180831"
"HYSLCCOT","Hyatt Place Salt Lake City-cottonwood","3090 East 6200 South","Holladay","UT","84121","143.1","***","KNG","No","Room with bath/shower - Minimum","Other","Unknown","20180831"
"BWSLC061","Bw Plus Cottontree Inn","1030 N 400 East","North Salt Lake City","UT","84054","127.46","DB6","A2Q","No","Room with bath - Superior","Queen","2","20180831"
"ARSLCADX","Ac By Marriott Slc Downtown","225 W 200 S","Salt Lake City","UT","84101","134.0","RAC","APN","No","Room with bath - Superior","Other","Unknown","20180831"
"HYSLCUTH","Hyatt Place Slc Downtown Gateway","55 North 400 West","Salt Lake City","UT","84101","152.1","***","KNG","No","Room with bath/shower - Minimum","Other","Unknown","20180831"
