"MXSLCB36","Motel 6 Salt Lake City North - Woods Cro","2433 S 800 W","Woods Cross","UT","84087","59.99","RAC","U1D","No","Suite","Double","1","20180924"
"BUSLC5BF","Baymont Suites Murray","4465 Century Dr.","Murray","UT","84123-2512","67.5","SNR","C1Q","No","Room with bath - Standard","Queen","1","20180924"
"RASLC104","Ramada Salt Lake City N Temple","1659 W North Temple","Salt Lake City","UT","84116-3127","79.9","A01","C4Q","No","Room with bath - Standard","Queen","4","20180924"
"RASLC951","Ramada Salt Lake City","2455 S. State Street","Salt Lake City","UT","84115-3135","84.46","A01","C8Q","No","Room with bath - Standard","Queen","8","20180924"
"MTSLC100","Microtel Inn & Suites By Wyndh","61 N. Tommy Tompson Road","Salt Lake City","UT","84116","89.1","AAA","SNK","No","Suite","King","Unknown","20180924"
"OZSLC515","Super 8 Salt Lake City Airport","223 North Jimmy Doolittle Rd","Salt Lake City","UT","84116","89.54","AAA","NQ1","No","Non-smoking","Other","Unknown","20180924"
"EASLCSUG","Extended Stay America Sugar Ho","1220 East 2100 South","Salt Lake City","UT","84106","103.49","PRO","T2Q","No","Suite","Queen","2","20180924"
"RASLC575","Ramada Salt Lake City Airport","5575 W Amelia Earhart Drive","Salt Lake City","UT","84116","107.1","B02","C6K","No","Room with bath - Standard","King","6","20180924"
"CXSLC724","Country Inn Suites West Valley","3422 South Decker Lake Drive","West Valley City","UT","84119","95.2","PRO","O2Q","No","unknown","Queen","2","20180924"
"RDSLC190","Radisson Salt Lake City Airprt","2177 West North Temple","Salt Lake City","UT","84116","99.0","GOV","G1K","No","Room with shower - Standard","King","1","20180924"
"BWSLC086","Best Western Plus Airport Inn","5433 W Wiley Post Way","Salt Lake City","UT","84116","101.15","DB6","A2Q","No","Room with bath - Superior","Queen","2","20180924"
"FNSLCFAF","Fairfield Inn N Stes Marriott","230 Admiral Byrd Rd","Salt Lake City","UT","84116","123.0","S9R","XMI","No","unknown","Other","Unknown","20180924"
"WVSLCLAM","Little America - Salt Lake City","500 S Main Street","Salt Lake City","UT","84101","117.0","SEN","C1*","No","Room with bath - Standard","Unspecified","1","20180924"
"HTSLC400","Home2 Suites Salt Lake City Murray","4927 S. State Street","Murray","UT","84107","134.1","RAC","Y2Q","No","unknown","Queen","2","20180924"
"FNSLCFDF","Fairfield Inn N Stes Marriott","130 W 400 South","Salt Lake City","UT","84101","135.15","RAC","XMI","No","unknown","Other","Unknown","20180924"
"HTSLC408","Home2 Suites Salt Lake City East","2350 S Foothill Dr.","Salt Lake City","UT","84109","122.55","RAC","C1K","No","Room with bath - Standard","King","1","20180924"
"LQSLC443","La Quinta Inn Salt Lake City West","3540 South 2200 West","West Valley City","UT","84119","138.0","RAC","C1K","No","Room with bath - Standard","King","1","20180924"
"WVSLC088","Crystal Inn Hotel And Suites Salt Lake","230 West 500 S","Salt Lake City","UT","84101","141.0","SNR","TK1","No","Suite","Other","Unknown","20180924"
"HYSLCAPT","Hyatt Place Salt Lake City Airport","52 N. Tommy Thompson Rd.","Salt Lake City","UT","84116","143.1","***","QQN","No","unknown","Other","Unknown","20180924"
"HXSLC307","Hampton Inn Stes Slc Airport","307 N Admiral Byrd Rd","Salt Lake City","UT","84116","129.0","RAC","G1K","No","Room with shower - Standard","King","1","20180924"
