"CXSLC724","Country Inn Suites West Valley","3422 South Decker Lake Drive","West Valley City","UT","84119","83.2","PRO","O1K","No","unknown","King","1","20181110"
"FNSLCFAF","Fairfield Inn N Stes Marriott","230 Admiral Byrd Rd","Salt Lake City","UT","84116","85.0","S9R","XMI","No","unknown","Other","Unknown","20181110"
"RLSLC816","Hotel Rl By Red Lion Salt Lake City","161 West 600 South","Salt Lake City","UT","84101","100.5","ADV","H1K","No","Room with shower - Minimum","King","1","20181110"
"WVSLCLAM","Little America - Salt Lake City","500 S Main Street","Salt Lake City","UT","84101","107.0","SEN","C1*","No","Room with bath - Standard","Unspecified","1","20181110"
"RDSLC894","Radisson Salt Lake City Dwntwn","215 West South Temple","Salt Lake City","UT","84101","109.8","PRO","ROH","Yes","Varies","Varies","Varies","20181110"
"CYSLCCDC","Courtyard Downtown Marriott","345 West 100 South","Salt Lake City","UT","84101","118.0","S9R","XMI","No","unknown","Other","Unknown","20181110"
"CYSLCAPC","Courtyard Marriott Slc Airport","4843 W.douglas Corrigan Way","Salt Lake City","UT","84116","126.65","S9R","XMI","No","unknown","Other","Unknown","20181110"
"RCSLCRAR","Residence Inn Airport Marriott","4883 W Douglas Corrigan Way","Salt Lake City","UT","84116","126.65","S9R","XMI","No","unknown","Other","Unknown","20181110"
"XVSLCSAS","Springhill Stes Arpt Marriott","4955 Wiley Post Way","Salt Lake City","UT","84116","127.46","S9R","XMI","No","unknown","Other","Unknown","20181110"
"SISLC327","Sheraton Salt Lake City Hotel","150 West 500 South","Salt Lake City","UT","84101","136.0","DO0","B1K","No","Room with bath - Moderate","King","1","20181110"
"MCSLCUPM","Marriott Slc University Park","480 Wakara Way","Salt Lake City","UT","84108","144.0","S9R","XMI","No","unknown","Other","Unknown","20181110"
"TOSLCSWT","Towneplace Stes W Val Marriott","5473 West High Market Dr.","West Valley City","UT","84120","161.0","S9R","XMI","No","unknown","Other","Unknown","20181110"
"RASLC104","Ramada Salt Lake City N Temple","1659 W North Temple","Salt Lake City","UT","84116-3127","179.1","AR1","C4Q","No","Room with bath - Standard","Queen","4","20181110"
"WVSLC766","Grand America Hotel","555 South Main Street","Salt Lake City","UT","84111","251.0","P2P","G1K","No","Room with shower - Standard","King","1","20181110"
"MCSLCUTM","Marriott Downtown City Creek","75 S. West Temple","Salt Lake City","UT","84101","254.0","S9R","XMI","No","unknown","Other","Unknown","20181110"
"MCSLCCCM","Marriott City Center","220 South State Street","Salt Lake City","UT","84111","364.65","S9R","XMI","No","unknown","Other","Unknown","20181110"
