c_code,date,h_code,h_name,street,city,state,zip,price,rate,room_code,roh,room_type,bed_type,n_beds
AUS,20180821,APAUSMTL,Austin Motel,1220 South Congress Ave,Austin,TX,78704,99.0,PRO,N1D,No,Non-smoking,Double,1
AUS,20180825,BWAUS664,Best Western Plus Austin Airpo,1805 Airport Commerce Drive,Austin,TX,78744,93.49,DB6,A2Q,No,Room with bath - Superior,Queen,2
AUS,20180827,BWAUS664,Best Western Plus Austin Airpo,1805 Airport Commerce Drive,Austin,TX,78744,86.69,DB6,A2Q,No,Room with bath - Superior,Queen,2
AUS,20180829,BWAUS664,Best Western Plus Austin Airpo,1805 Airport Commerce Drive,Austin,TX,78744,91.79,DB6,A2Q,No,Room with bath - Superior,Queen,2
AUS,20180914,BWAUS664,Best Western Plus Austin Airpo,1805 Airport Commerce Drive,Austin,TX,78744,118.99,DB6,A2Q,No,Room with bath - Superior,Queen,2
AUS,20180915,BWAUS664,Best Western Plus Austin Airpo,1805 Airport Commerce Drive,Austin,TX,78744,118.99,DB6,A2Q,No,Room with bath - Superior,Queen,2
AUS,20180928,BWAUS664,Best Western Plus Austin Airpo,1805 Airport Commerce Drive,Austin,TX,78744,118.99,DB6,A2Q,No,Room with bath - Superior,Queen,2
AUS,20180929,BWAUS664,Best Western Plus Austin Airpo,1805 Airport Commerce Drive,Austin,TX,78744,118.99,DB6,A2Q,No,Room with bath - Superior,Queen,2
AUS,20181019,BWAUS664,Best Western Plus Austin Airpo,1805 Airport Commerce Drive,Austin,TX,78744,141.0,MIL,S1K,No,Suite,King,1
AUS,20181201,BWAUS664,Best Western Plus Austin Airpo,1805 Airport Commerce Drive,Austin,TX,78744,118.99,DB6,A2Q,No,Room with bath - Superior,Queen,2
AUS,20180928,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20180929,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20181001,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20181002,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20181003,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20181022,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,121.5,SRS,A1Q,No,Room with bath - Superior,Queen,1
AUS,20181024,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20181025,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20181026,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,121.5,SRS,A1Q,No,Room with bath - Superior,Queen,1
AUS,20181027,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20181028,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,121.5,SRS,A1Q,No,Room with bath - Superior,Queen,1
AUS,20181201,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20181208,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20181209,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20181210,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20190101,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20190102,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20190103,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20190104,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20190105,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20190106,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20190107,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20190108,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20190109,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20190110,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20190111,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20190112,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20190113,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,120.7,DB6,B2D,No,Room with bath - Moderate,Double,2
AUS,20190114,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20190115,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20190116,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20190117,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20190118,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20190119,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20190120,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20190121,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20190122,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20190123,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20190124,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20190125,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20190126,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20190127,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20190128,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20190129,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20190130,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20190131,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20190201,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20190202,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20190203,BWAUS679,Best Western Plus Austin City,2200 South Interstate 35,Austin,TX,78704,114.75,DB6,A1Q,No,Room with bath - Superior,Queen,1
AUS,20181007,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,127.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181008,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,127.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181015,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,118.99,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181024,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,144.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181106,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,127.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181112,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,127.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181113,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,127.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181114,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,127.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181115,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,127.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181116,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,144.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181117,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,144.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181118,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,127.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181119,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,127.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181120,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,127.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181121,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,127.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181126,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,127.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181127,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,127.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181128,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,127.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181129,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,127.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181130,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,144.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181201,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,144.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181204,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,135.99,DB6,B1K,No,Room with bath - Moderate,King,1
AUS,20181205,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,144.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181206,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,135.99,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181207,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,144.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181208,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,144.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181209,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,135.99,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181210,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,144.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181211,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,144.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181212,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,144.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181214,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,144.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181215,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,144.49,DB6,W2D,No,Room at weekend rate,Double,2
AUS,20181216,BWAUS735,Best Western Plus Austin Centr,919 East Koenig Lane,Austin,TX,78751,135.99,DB6,W2D,No,Room at weekend rate,Double,2
