c_code,date,h_code,h_name,street,city,state,zip,price,rate,room_code,roh,room_type,bed_type,n_beds
PHL,20180810,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,131.75,A16,A1K,No,Room with bath - Superior,King,1
PHL,20180901,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,140.25,A16,A1K,No,Room with bath - Superior,King,1
PHL,20180904,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,126.65,A16,A1K,No,Room with bath - Superior,King,1
PHL,20180905,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,133.03,A16,A1K,No,Room with bath - Superior,King,1
PHL,20180906,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,152.15,A16,A1K,No,Room with bath - Superior,King,1
PHL,20180907,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,135.15,A16,A1K,No,Room with bath - Superior,King,1
PHL,20180915,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,135.15,A16,A1K,No,Room with bath - Superior,King,1
PHL,20180917,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,152.15,A16,A1K,No,Room with bath - Superior,King,1
PHL,20180920,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,152.15,A16,A1K,No,Room with bath - Superior,King,1
PHL,20180922,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,140.82,A16,A1K,No,Room with bath - Superior,King,1
PHL,20180923,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,140.82,A16,A1K,No,Room with bath - Superior,King,1
PHL,20180925,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,152.15,A16,A1K,No,Room with bath - Superior,King,1
PHL,20180926,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,152.15,A16,A1K,No,Room with bath - Superior,King,1
PHL,20180927,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,143.65,A16,A1K,No,Room with bath - Superior,King,1
PHL,20180928,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,143.65,A16,A1K,No,Room with bath - Superior,King,1
PHL,20180929,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,135.15,A16,A1K,No,Room with bath - Superior,King,1
PHL,20181002,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,152.15,A16,A1K,No,Room with bath - Superior,King,1
PHL,20181003,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,152.15,A16,A1K,No,Room with bath - Superior,King,1
PHL,20181005,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,140.82,A16,A1K,No,Room with bath - Superior,King,1
PHL,20181006,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,140.82,A16,A1K,No,Room with bath - Superior,King,1
PHL,20181007,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,140.82,A16,A1K,No,Room with bath - Superior,King,1
PHL,20181008,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,152.15,A16,A1K,No,Room with bath - Superior,King,1
PHL,20181009,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,152.15,A16,A1K,No,Room with bath - Superior,King,1
PHL,20181011,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,143.65,A16,A1K,No,Room with bath - Superior,King,1
PHL,20181012,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,143.65,A16,A1K,No,Room with bath - Superior,King,1
PHL,20181013,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,135.15,A16,A1K,No,Room with bath - Superior,King,1
PHL,20181014,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,152.15,A16,A1K,No,Room with bath - Superior,King,1
PHL,20181015,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,152.15,A16,A1K,No,Room with bath - Superior,King,1
PHL,20181016,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,147.3,A16,A1K,No,Room with bath - Superior,King,1
PHL,20181018,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,147.3,A16,A1K,No,Room with bath - Superior,King,1
PHL,20181019,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,135.15,A16,A1K,No,Room with bath - Superior,King,1
PHL,20181020,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,135.15,A16,A1K,No,Room with bath - Superior,King,1
PHL,20181022,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,146.48,A16,A1K,No,Room with bath - Superior,King,1
PHL,20181023,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,152.15,A16,A1K,No,Room with bath - Superior,King,1
PHL,20181024,ALPHL181,Aloft Philadelphia Airport,4301 Island Avenue,Philadelphia,PA,19153,152.15,A16,A1K,No,Room with bath - Superior,King,1
