"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180704","210000","306.68","306.68","308.091","847.56","12","-1.41","Clouds","few clouds","20","1.81","0"
"20180705","0","306.21","306.21","307.263","846.93","11","-1.06","Clouds","broken clouds","56","3.31","0"
"20180705","30000","302.68","302.68","303.383","848.64","16","-0.7","Clouds","overcast clouds","92","3.73","0"
"20180705","60000","300.66","300.66","301.014","850.89","22","-0.35","Clouds","broken clouds","64","5.51","0"
"20180705","90000","297.121","297.121","297.121","851.86","35","0","Clouds","scattered clouds","36","5.12","0"
"20180705","120000","293.908","293.908","293.908","852.71","49","0","Clouds","broken clouds","68","2.66","0"
"20180705","150000","297.906","297.906","297.906","854.07","40","0","Clouds","broken clouds","56","1.9","0"
"20180705","180000","303.616","303.616","303.616","853.84","26","0","Rain","light rain","20","2.51","0.025"
"20180705","210000","304.864","304.864","304.864","852.78","23","0","Rain","light rain","36","3.23","0.455"
"20180706","0","301.62","301.62","301.62","852.23","30","0","Rain","light rain","92","3.96","0.6"
"20180706","30000","300.005","300.005","300.005","853.3","31","0","Rain","light rain","80","3.66","0.66"
"20180706","60000","297.42","297.42","297.42","854.56","39","0","Rain","light rain","56","3.22","0.43"
"20180706","90000","294.452","294.452","294.452","855.16","44","0","Rain","light rain","0","3.11","0.04"
"20180706","120000","290.992","290.992","290.992","855.77","65","0","Clear","clear sky","0","1.81","0"
"20180706","150000","297.151","297.151","297.151","856.46","50","0","Clear","clear sky","0","1.78","0"
"20180706","180000","302.138","302.138","302.138","855.43","35","0","Clear","clear sky","0","3.62","0"
"20180706","210000","305.382","305.382","305.382","852.74","22","0","Clear","clear sky","0","4.76","0"
"20180707","0","305.377","305.377","305.377","851.01","16","0","Clear","clear sky","0","4.83","0"
"20180707","30000","300.277","300.277","300.277","851.37","22","0","Clouds","few clouds","12","3.81","0"
"20180707","60000","296.354","296.354","296.354","852.78","39","0","Clear","clear sky","8","4.28","0"
"20180707","90000","292.847","292.847","292.847","852.82","52","0","Clear","clear sky","0","2.94","0"
"20180707","120000","289.512","289.512","289.512","853.34","71","0","Clear","clear sky","0","1.41","0"
"20180707","150000","297.094","297.094","297.094","853.95","49","0","Clear","clear sky","0","1.85","0"
"20180707","180000","302.525","302.525","302.525","852.52","33","0","Clear","clear sky","0","2","0"
"20180707","210000","305.033","305.033","305.033","849.5","26","0","Rain","light rain","20","2.41","0.6"
"20180708","0","304.942","304.942","304.942","847.88","21","0","Clouds","scattered clouds","32","2.46","0"
"20180708","30000","298.881","298.881","298.881","848.18","37","0","Rain","light rain","44","1.61","0.93"
"20180708","60000","293.623","293.623","293.623","849.12","57","0","Rain","light rain","92","1.81","1.04"
"20180708","90000","292.479","292.479","292.479","849.11","56","0","Rain","light rain","56","2.61","0.18"
"20180708","120000","290.537","290.537","290.537","849.51","74","0","Clouds","scattered clouds","32","2","0"
"20180708","150000","295.329","295.329","295.329","849.81","57","0","Rain","light rain","48","1.05","0.04"
"20180708","180000","301.95","301.95","301.95","849.03","33","0","Rain","light rain","56","3","0.54"
"20180708","210000","306.09","306.09","306.09","845.86","25","0","Rain","light rain","8","2.06","0.21"
"20180709","0","301.866","301.866","301.866","845.47","30","0","Rain","light rain","80","2.27","0.52"
"20180709","30000","295.204","295.204","295.204","847.85","53","0","Rain","light rain","80","3.12","1.28"
"20180709","60000","292.177","292.177","292.177","849.12","69","0","Rain","light rain","48","4.22","0.57"
"20180709","90000","290.785","290.785","290.785","849.7","78","0","Rain","light rain","56","3.61","0.23"
"20180709","120000","289.762","289.762","289.762","850.47","86","0","Rain","light rain","80","2.51","0.030000000000001"
"20180709","150000","291.56","291.56","291.56","851.42","80","0","Rain","light rain","92","2.11","0.3"
"20180709","180000","293.095","293.095","293.095","851.6","73","0","Rain","light rain","68","2.26","1.18"
