"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180711","180000","299.34","298.313","299.34","1004.74","52","1.03","Clear","clear sky","0","2.76","0"
"20180711","210000","298.56","297.786","298.56","1005.05","44","0.77","Clear","clear sky","0","2.62","0"
"20180712","0","294.38","293.864","294.38","1006.04","48","0.51","Clear","clear sky","0","2.21","0"
"20180712","30000","290.08","289.822","290.08","1008.13","50","0.26","Clear","clear sky","0","2.01","0"
"20180712","60000","286.789","286.789","286.789","1008.93","68","0","Clear","clear sky","0","1.22","0"
"20180712","90000","285.196","285.196","285.196","1009.53","80","0","Clear","clear sky","0","1.07","0"
"20180712","120000","291.571","291.571","291.571","1010.92","61","0","Clear","clear sky","0","1.17","0"
"20180712","150000","297.359","297.359","297.359","1011.49","52","0","Clear","clear sky","0","1.46","0"
"20180712","180000","299.318","299.318","299.318","1010.55","46","0","Clear","clear sky","8","1.43","0"
"20180712","210000","298.48","298.48","298.48","1010.13","48","0","Clouds","broken clouds","76","1.83","0"
"20180713","0","296.053","296.053","296.053","1010.39","69","0","Clouds","scattered clouds","32","0.72","0"
"20180713","30000","292.103","292.103","292.103","1011.62","80","0","Clouds","scattered clouds","44","0.96","0"
"20180713","60000","289.588","289.588","289.588","1011.9","86","0","Clear","clear sky","0","0.81","0"
"20180713","90000","287.418","287.418","287.418","1012.4","92","0","Clear","clear sky","0","0.95","0"
"20180713","120000","292.375","292.375","292.375","1012.88","76","0","Clear","clear sky","0","1.46","0"
"20180713","150000","298.396","298.396","298.396","1012.72","60","0","Clear","clear sky","0","1.46","0"
"20180713","180000","300.458","300.458","300.458","1011.77","48","0","Clouds","few clouds","20","1.46","0"
"20180713","210000","300.27","300.27","300.27","1010.6","47","0","Clouds","few clouds","12","1.41","0"
"20180714","0","296.939","296.939","296.939","1009.96","64","0","Clear","clear sky","8","1.32","0"
"20180714","30000","293.883","293.883","293.883","1010.44","61","0","Clouds","broken clouds","56","2.27","0"
"20180714","60000","293.392","293.392","293.392","1010.11","63","0","Clear","clear sky","8","2.26","0"
"20180714","90000","291.271","291.271","291.271","1009.6","69","0","Clear","clear sky","8","2.11","0"
"20180714","120000","292.531","292.531","292.531","1009.49","70","0","Clouds","broken clouds","56","1.97","0"
"20180714","150000","295.286","295.286","295.286","1009.35","64","0","Clouds","overcast clouds","92","1.16","0"
"20180714","180000","297.244","297.244","297.244","1007.88","61","0","Clouds","broken clouds","68","1.41","0"
"20180714","210000","298.224","298.224","298.224","1006.64","59","0","Clouds","broken clouds","56","1.36","0"
"20180715","0","296.494","296.494","296.494","1006.03","70","0","Clouds","broken clouds","64","1.06","0"
"20180715","30000","292.81","292.81","292.81","1006.53","87","0","Clouds","few clouds","20","0.82","0"
"20180715","60000","291.135","291.135","291.135","1006.14","89","0","Clouds","few clouds","20","0.71","0"
"20180715","90000","289.669","289.669","289.669","1006.46","91","0","Clouds","few clouds","24","0.71","0"
"20180715","120000","294.351","294.351","294.351","1007.12","78","0","Clouds","few clouds","24","1.21","0"
"20180715","150000","298.612","298.612","298.612","1007.28","66","0","Clouds","few clouds","12","1.51","0"
"20180715","180000","300.548","300.548","300.548","1006.57","57","0","Rain","light rain","64","1.52","0.0075"
"20180715","210000","299.851","299.851","299.851","1006.2","59","0","Clouds","broken clouds","80","1.38","0"
"20180716","0","297.763","297.763","297.763","1006.48","72","0","Clouds","scattered clouds","32","0.96","0"
"20180716","30000","293.536","293.536","293.536","1006.92","89","0","Clear","clear sky","0","0.96","0"
"20180716","60000","291.272","291.272","291.272","1006.66","92","0","Clear","clear sky","0","0.95","0"
"20180716","90000","290.024","290.024","290.024","1006.46","91","0","Clear","clear sky","0","1.06","0"
"20180716","120000","295.575","295.575","295.575","1006.92","74","0","Clear","clear sky","0","1.42","0"
"20180716","150000","300.987","300.987","300.987","1006.23","60","0","Clear","clear sky","0","1.46","0"
