"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180729","210000","293.65","291.493","293.65","1017.3","76","2.16","Clear","clear sky","0","0.92","0"
"20180730","0","294.45","292.831","294.45","1017.01","70","1.62","Clouds","few clouds","20","1.12","0"
"20180730","30000","293.84","292.757","293.84","1016.95","71","1.08","Clouds","scattered clouds","44","1.37","0"
"20180730","60000","291.78","291.241","291.78","1017.35","78","0.54","Clouds","few clouds","24","1.86","0"
"20180730","90000","288.681","288.681","288.681","1018.82","94","0","Rain","light rain","80","2.23","0.1"
"20180730","120000","287.666","287.666","287.666","1019.35","100","0","Rain","light rain","92","1.57","0.46"
"20180730","150000","287.214","287.214","287.214","1019.67","100","0","Rain","light rain","92","0.76","0.62"
"20180730","180000","287.807","287.807","287.807","1019.97","100","0","Rain","light rain","92","0.71","0.79"
"20180730","210000","289.314","289.314","289.314","1019.64","90","0","Rain","light rain","48","0.67","0.19"
"20180731","0","291.537","291.537","291.537","1018.68","79","0","Clouds","few clouds","20","0.41","0"
"20180731","30000","292.127","292.127","292.127","1018.13","76","0","Clouds","scattered clouds","32","1.82","0"
"20180731","60000","290.395","290.395","290.395","1018.35","83","0","Clouds","scattered clouds","44","2.26","0"
"20180731","90000","288.285","288.285","288.285","1018.2","96","0","Clouds","scattered clouds","48","1.16","0"
"20180731","120000","287.114","287.114","287.114","1018.02","100","0","Clouds","scattered clouds","44","0.95","0"
"20180731","150000","287.12","287.12","287.12","1017.44","100","0","Clouds","scattered clouds","48","1.06","0"
"20180731","180000","288.669","288.669","288.669","1016.99","95","0","Clouds","broken clouds","68","1.02","0"
"20180731","210000","290.363","290.363","290.363","1016.42","86","0","Clouds","broken clouds","76","1.55","0"
"20180801","0","290.51","290.51","290.51","1015.72","85","0","Clouds","overcast clouds","88","0.76","0"
"20180801","30000","291.637","291.637","291.637","1013.86","79","0","Clouds","broken clouds","68","1.22","0"
"20180801","60000","290.964","290.964","290.964","1012.72","82","0","Clear","clear sky","0","1.65","0"
"20180801","90000","287.909","287.909","287.909","1012.7","100","0","Clouds","few clouds","24","2","0"
"20180801","120000","286.917","286.917","286.917","1012.04","100","0","Rain","light rain","64","1.36","0.090000000000001"
"20180801","150000","287.023","287.023","287.023","1011.14","100","0","Rain","light rain","92","1.37","0.82"
"20180801","180000","287.211","287.211","287.211","1010.33","100","0","Rain","light rain","92","1.5","0.97"
"20180801","210000","287.297","287.297","287.297","1010.05","100","0","Rain","light rain","92","1.61","0.95"
