"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180722","210000","298.76","298.76","298.997","997.44","66","-0.24","Clouds","broken clouds","68","3.72","0"
"20180723","0","298.08","298.08","298.241","997.81","66","-0.16","Clouds","broken clouds","80","3.11","0"
"20180723","30000","296.61","296.61","296.687","998.53","73","-0.08","Rain","light rain","68","2.17","0.025"
"20180723","60000","296.105","296.105","296.105","998.08","76","0","Clouds","broken clouds","56","2.42","0"
"20180723","90000","294.33","294.33","294.33","997.98","93","0","Rain","light rain","92","2.32","1.07"
"20180723","120000","293.552","293.552","293.552","998.73","97","0","Rain","moderate rain","92","2.91","3.13"
"20180723","150000","295.49","295.49","295.49","999.86","91","0","Rain","light rain","80","2.86","0.08"
"20180723","180000","298.234","298.234","298.234","1000","79","0","Clouds","scattered clouds","44","3.11","0"
"20180723","210000","298.834","298.834","298.834","999.39","73","0","Clouds","scattered clouds","48","3.12","0"
"20180724","0","298.105","298.105","298.105","1000.3","68","0","Clouds","scattered clouds","44","2.82","0"
"20180724","30000","295.934","295.934","295.934","1001.39","69","0","Clouds","few clouds","24","2.55","0"
"20180724","60000","294.375","294.375","294.375","1001.49","76","0","Clouds","scattered clouds","36","2.42","0"
"20180724","90000","293.321","293.321","293.321","1001.59","80","0","Clouds","few clouds","20","2.36","0"
"20180724","120000","293.427","293.427","293.427","1002.22","82","0","Clouds","few clouds","12","2.4","0"
"20180724","150000","298.059","298.059","298.059","1002.9","75","0","Clouds","few clouds","12","2.26","0"
"20180724","180000","300.125","300.125","300.125","1002.45","66","0","Clouds","scattered clouds","48","2.96","0"
"20180724","210000","300.752","300.752","300.752","1001.61","63","0","Clouds","scattered clouds","48","2.41","0"
"20180725","0","300.027","300.027","300.027","1001.58","66","0","Clouds","scattered clouds","48","1.71","0"
"20180725","30000","297.974","297.974","297.974","1002.4","68","0","Rain","light rain","88","1.69","0.16"
"20180725","60000","297.163","297.163","297.163","1001.96","75","0","Rain","light rain","56","1.76","0.050000000000001"
"20180725","90000","294.773","294.773","294.773","1001.75","88","0","Clear","clear sky","0","1.31","0"
"20180725","120000","295.305","295.305","295.305","1002.5","88","0","Clear","clear sky","8","2.01","0"
"20180725","150000","300.081","300.081","300.081","1002.79","75","0","Clear","clear sky","8","1.96","0"
"20180725","180000","301.973","301.973","301.973","1002.23","63","0","Clouds","broken clouds","64","2.67","0"
"20180725","210000","302.997","302.997","302.997","1001","53","0","Rain","light rain","24","3.3","0.09"
"20180726","0","300.272","300.272","300.272","1001.58","62","0","Rain","light rain","32","3.1","0.39"
"20180726","30000","297.026","297.026","297.026","1002.4","73","0","Clear","clear sky","0","2.11","0"
"20180726","60000","294.342","294.342","294.342","1002.42","91","0","Clear","clear sky","0","1.16","0"
"20180726","90000","292.948","292.948","292.948","1002.84","92","0","Clear","clear sky","0","1.15","0"
"20180726","120000","294.344","294.344","294.344","1003.6","89","0","Clear","clear sky","0","1.36","0"
"20180726","150000","300.37","300.37","300.37","1004.16","72","0","Clear","clear sky","0","2.15","0"
"20180726","180000","302.585","302.585","302.585","1003.93","62","0","Clouds","few clouds","12","2.86","0"
"20180726","210000","303.096","303.096","303.096","1002.82","56","0","Clouds","scattered clouds","48","2.61","0"
"20180727","0","301.601","301.601","301.601","1003.03","59","0","Clouds","scattered clouds","32","2.32","0"
"20180727","30000","297.931","297.931","297.931","1004.18","66","0","Clear","clear sky","8","2.16","0"
"20180727","60000","295.135","295.135","295.135","1004.02","85","0","Clear","clear sky","0","1.06","0"
"20180727","90000","293.632","293.632","293.632","1004.26","89","0","Clear","clear sky","0","1.06","0"
"20180727","120000","294.618","294.618","294.618","1005.19","86","0","Clear","clear sky","0","1.07","0"
"20180727","150000","301.773","301.773","301.773","1006.18","67","0","Clear","clear sky","0","1.61","0"
"20180727","180000","303.946","303.946","303.946","1005.8","53","0","Clear","clear sky","8","2.01","0"
