"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180716","180000","307.76","305.407","307.76","916.03","26","2.35","Clear","clear sky","8","2.05","0"
"20180716","210000","309.13","307.361","309.13","915.59","23","1.76","Clouds","scattered clouds","32","1.55","0"
"20180717","0","308.91","307.733","308.91","914.44","20","1.18","Clouds","scattered clouds","44","1.36","0"
"20180717","30000","303.05","302.465","303.05","914.51","29","0.59","Clouds","few clouds","20","1.12","0"
"20180717","60000","293.359","293.359","293.359","915.47","58","0","Clouds","few clouds","12","0.91","0"
"20180717","90000","290.404","290.404","290.404","915.49","72","0","Clouds","scattered clouds","44","1.41","0"
"20180717","120000","289.777","289.777","289.777","916.1","71","0","Clouds","scattered clouds","48","1.15","0"
"20180717","150000","298.304","298.304","298.304","917.33","35","0","Clear","clear sky","8","1.51","0"
"20180717","180000","304.588","304.588","304.588","917.53","27","0","Clouds","few clouds","20","1.77","0"
"20180717","210000","306.899","306.899","306.899","916.52","22","0","Clear","clear sky","0","1.76","0"
"20180718","0","307.621","307.621","307.621","915.2","17","0","Clear","clear sky","0","2.26","0"
"20180718","30000","302.336","302.336","302.336","914.72","28","0","Clear","clear sky","0","1.35","0"
"20180718","60000","293.798","293.798","293.798","914.72","52","0","Clear","clear sky","0","1.26","0"
"20180718","90000","290.818","290.818","290.818","914.49","55","0","Clear","clear sky","0","1.31","0"
"20180718","120000","288.517","288.517","288.517","915.18","59","0","Clear","clear sky","0","0.63","0"
"20180718","150000","298.75","298.75","298.75","916.51","27","0","Clear","clear sky","0","1.37","0"
"20180718","180000","304.633","304.633","304.633","916.88","21","0","Clear","clear sky","0","1.97","0"
"20180718","210000","307.336","307.336","307.336","916.02","17","0","Clear","clear sky","0","2.64","0"
"20180719","0","307.102","307.102","307.102","915","14","0","Clear","clear sky","0","3.37","0"
"20180719","30000","301.453","301.453","301.453","914.68","17","0","Clear","clear sky","0","2.13","0"
"20180719","60000","292.418","292.418","292.418","915.27","29","0","Clear","clear sky","0","2.21","0"
"20180719","90000","289.174","289.174","289.174","915.5","41","0","Clear","clear sky","0","2.06","0"
"20180719","120000","286.951","286.951","286.951","916.23","55","0","Clear","clear sky","0","1.42","0"
"20180719","150000","297.765","297.765","297.765","917.09","28","0","Clear","clear sky","0","1.77","0"
"20180719","180000","304.368","304.368","304.368","917.6","20","0","Clear","clear sky","0","2.02","0"
"20180719","210000","306.757","306.757","306.757","916.87","17","0","Clear","clear sky","0","2.31","0"
"20180720","0","306.782","306.782","306.782","915.68","14","0","Clear","clear sky","0","2.71","0"
"20180720","30000","301.177","301.177","301.177","915.05","20","0","Clear","clear sky","0","1.75","0"
"20180720","60000","292.172","292.172","292.172","915.17","48","0","Clear","clear sky","0","1.33","0"
"20180720","90000","288.847","288.847","288.847","915.08","55","0","Clear","clear sky","0","0.76","0"
"20180720","120000","286.889","286.889","286.889","915.38","56","0","Clouds","scattered clouds","44","0.97","0"
"20180720","150000","296.71","296.71","296.71","915.91","21","0","Clouds","scattered clouds","32","2.72","0"
"20180720","180000","305.759","305.759","305.759","916.17","17","0","Clouds","few clouds","12","1.66","0"
"20180720","210000","309.116","309.116","309.116","915.05","15","0","Clouds","broken clouds","68","1.12","0"
"20180721","0","308.484","308.484","308.484","913.98","13","0","Clouds","broken clouds","64","1.57","0"
"20180721","30000","303.514","303.514","303.514","913.66","18","0","Clouds","broken clouds","76","2.11","0"
"20180721","60000","296.661","296.661","296.661","913.88","44","0","Clouds","scattered clouds","48","1.31","0"
"20180721","90000","293.07","293.07","293.07","913.5","52","0","Clouds","few clouds","20","0.96","0"
"20180721","120000","290.503","290.503","290.503","914.09","48","0","Clear","clear sky","0","1.26","0"
"20180721","150000","300.594","300.594","300.594","915.12","33","0","Clouds","broken clouds","76","0.61","0"
