"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180622","210000","295.22","291.249","295.22","1029.88","75","3.97","Clouds","broken clouds","56","2.91","0"
"20180623","0","293.07","290.09","293.07","1029.68","80","2.98","Clouds","broken clouds","80","2.91","0"
"20180623","30000","290.88","288.898","290.88","1030.17","83","1.98","Clouds","scattered clouds","44","3.22","0"
"20180623","60000","289.06","288.069","289.06","1029.63","90","0.99","Clouds","overcast clouds","88","2.45","0"
"20180623","90000","288.24","288.24","288.24","1028.99","90","0","Clouds","overcast clouds","88","1.4","0"
"20180623","120000","289.111","289.111","289.111","1027.88","86","0","Rain","light rain","92","2.56","0.0525"
"20180623","150000","289.715","289.715","289.715","1026.83","83","0","Rain","light rain","92","3.86","0.015"
"20180623","180000","287.587","287.587","287.587","1025.03","100","0","Rain","moderate rain","100","4.11","8.935"
"20180623","210000","287.74","287.74","287.74","1021.78","100","0","Rain","light rain","92","6.31","2.545"
"20180624","0","287.99","287.99","287.99","1019.12","98","0","Rain","light rain","92","6.06","2.15"
"20180624","30000","288.312","288.312","288.312","1016.88","97","0","Rain","moderate rain","100","2.96","10.3"
"20180624","60000","286.634","286.634","286.634","1017.77","100","0","Rain","light rain","48","5.31","0.42"
"20180624","90000","285.995","285.995","285.995","1018.86","100","0","Rain","light rain","0","2.82","0.004999999999999"
"20180624","120000","288.066","288.066","288.066","1019.91","98","0","Clouds","few clouds","20","2.22","0"
"20180624","150000","291.451","291.451","291.451","1020.18","89","0","Clouds","scattered clouds","36","1.76","0"
"20180624","180000","292.251","292.251","292.251","1019.86","86","0","Clouds","broken clouds","68","1.31","0"
"20180624","210000","291.744","291.744","291.744","1019.79","90","0","Rain","light rain","80","1.91","0.53"
"20180625","0","290.522","290.522","290.522","1020.47","93","0","Rain","moderate rain","92","1.55","8.58"
"20180625","30000","289.958","289.958","289.958","1021.59","94","0","Rain","heavy intensity rain","100","2.75","14.245"
"20180625","60000","289.285","289.285","289.285","1021.33","94","0","Rain","light rain","68","1.33","0.58000000000001"
"20180625","90000","289.43","289.43","289.43","1022","93","0","Rain","light rain","64","2.42","0.265"
"20180625","120000","289.507","289.507","289.507","1024.63","95","0","Rain","light rain","88","4.27","0.625"
"20180625","150000","288.861","288.861","288.861","1027.33","96","0","Rain","light rain","48","5.16","0.86"
"20180625","180000","291.361","291.361","291.361","1028.07","82","0","Clear","clear sky","8","3.55","0"
"20180625","210000","289.592","289.592","289.592","1030.91","92","0","Rain","light rain","56","3.31","0.2"
"20180626","0","289.256","289.256","289.256","1033.05","90","0","Clouds","few clouds","20","2.66","0"
"20180626","30000","287.444","287.444","287.444","1035","96","0","Clear","clear sky","8","2.22","0"
"20180626","60000","286.519","286.519","286.519","1035.55","97","0","Clear","clear sky","0","1.76","0"
"20180626","90000","285.9","285.9","285.9","1036.16","98","0","Clear","clear sky","0","1.67","0"
"20180626","120000","289.224","289.224","289.224","1037.31","89","0","Clear","clear sky","0","2.07","0"
"20180626","150000","291.769","291.769","291.769","1037.79","81","0","Clear","clear sky","0","1.7","0"
"20180626","180000","293.327","293.327","293.327","1036.71","70","0","Clear","clear sky","0","2.27","0"
"20180626","210000","293.965","293.965","293.965","1034.84","66","0","Clear","clear sky","0","3.09","0"
"20180627","0","292.452","292.452","292.452","1033.84","71","0","Clear","clear sky","0","3.02","0"
"20180627","30000","290.909","290.909","290.909","1034.43","74","0","Clear","clear sky","0","4.21","0"
"20180627","60000","289.194","289.194","289.194","1034.45","81","0","Clear","clear sky","0","4.91","0"
"20180627","90000","288.968","288.968","288.968","1034.55","84","0","Clear","clear sky","0","5.56","0"
"20180627","120000","290.84","290.84","290.84","1034.69","79","0","Clear","clear sky","0","4.92","0"
"20180627","150000","294.308","294.308","294.308","1033.71","68","0","Clear","clear sky","0","4.05","0"
"20180627","180000","295.953","295.953","295.953","1031.58","62","0","Clear","clear sky","8","4.37","0"
