"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180706","180000","295.09","293.649","295.09","1004.14","69","1.45","Clouds","scattered clouds","48","4.74","0"
"20180706","210000","293.08","291.994","293.08","1006.26","62","1.08","Clouds","scattered clouds","48","5.15","0"
"20180707","0","290.84","290.113","290.84","1007.98","60","0.72","Clouds","few clouds","24","4.76","0"
"20180707","30000","288.64","288.277","288.64","1010.4","58","0.36","Clear","clear sky","0","3.81","0"
"20180707","60000","287","287","287","1011.64","60","0","Clear","clear sky","0","2.42","0"
"20180707","90000","285.77","285.77","285.77","1012.49","65","0","Clear","clear sky","0","1.91","0"
"20180707","120000","289.275","289.275","289.275","1014.03","63","0","Clear","clear sky","0","1.52","0"
"20180707","150000","292.64","292.64","292.64","1014.54","54","0","Clear","clear sky","0","1.42","0"
"20180707","180000","294.688","294.688","294.688","1013.88","51","0","Clear","clear sky","0","1.51","0"
"20180707","210000","295.551","295.551","295.551","1013.08","49","0","Clear","clear sky","0","1.41","0"
"20180708","0","293.483","293.483","293.483","1013.04","74","0","Clear","clear sky","0","0.96","0"
"20180708","30000","289.429","289.429","289.429","1013.88","81","0","Rain","light rain","0","0.82","0.0025000000000013"
"20180708","60000","287.893","287.893","287.893","1014.01","80","0","Clear","clear sky","0","1.52","0"
"20180708","90000","286.832","286.832","286.832","1014","81","0","Clear","clear sky","0","1.46","0"
"20180708","120000","291.563","291.563","291.563","1015.15","72","0","Clear","clear sky","8","1.32","0"
"20180708","150000","296.354","296.354","296.354","1015.17","63","0","Clear","clear sky","0","1.51","0"
"20180708","180000","298.379","298.379","298.379","1013.67","49","0","Clear","clear sky","8","2.18","0"
"20180708","210000","298.685","298.685","298.685","1011.99","49","0","Clear","clear sky","8","2.46","0"
"20180709","0","296.259","296.259","296.259","1011.17","58","0","Clear","clear sky","8","2.31","0"
"20180709","30000","292.63","292.63","292.63","1011.1","65","0","Clear","clear sky","0","1.96","0"
"20180709","60000","290.391","290.391","290.391","1010.36","69","0","Clear","clear sky","8","2.01","0"
"20180709","90000","289.327","289.327","289.327","1009.51","76","0","Clear","clear sky","0","1.67","0"
"20180709","120000","294.988","294.988","294.988","1008.73","74","0","Clear","clear sky","8","1.82","0"
"20180709","150000","298.67","298.67","298.67","1007.51","54","0","Clear","clear sky","0","2.31","0"
"20180709","180000","301.03","301.03","301.03","1005.1","47","0","Clear","clear sky","0","2.66","0"
"20180709","210000","301.533","301.533","301.533","1003.41","44","0","Clear","clear sky","0","2.89","0"
"20180710","0","298.235","298.235","298.235","1002.42","57","0","Clear","clear sky","8","2.22","0"
"20180710","30000","295.768","295.768","295.768","1003.22","68","0","Clouds","scattered clouds","36","1.68","0"
"20180710","60000","293.288","293.288","293.288","1002.76","86","0","Clouds","scattered clouds","48","1.13","0"
"20180710","90000","292.645","292.645","292.645","1003.1","84","0","Clear","clear sky","0","1.82","0"
"20180710","120000","293.86","293.86","293.86","1004.15","85","0","Clouds","few clouds","12","1.76","0"
"20180710","150000","296.791","296.791","296.791","1004.77","68","0","Clear","clear sky","0","2.47","0"
"20180710","180000","298.278","298.278","298.278","1004.39","52","0","Clear","clear sky","0","2.51","0"
"20180710","210000","298.09","298.09","298.09","1003.89","52","0","Clear","clear sky","0","2.32","0"
"20180711","0","295.505","295.505","295.505","1005.06","58","0","Clear","clear sky","0","2.32","0"
"20180711","30000","292.184","292.184","292.184","1006.51","69","0","Clear","clear sky","0","1.52","0"
"20180711","60000","290.069","290.069","290.069","1006.82","81","0","Clear","clear sky","0","1.06","0"
"20180711","90000","288.977","288.977","288.977","1007.6","83","0","Clear","clear sky","0","0.97","0"
"20180711","120000","293.184","293.184","293.184","1009.19","71","0","Clear","clear sky","0","0.96","0"
"20180711","150000","296.742","296.742","296.742","1009.71","60","0","Clear","clear sky","0","1.31","0"
