"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180704","210000","298.9","298.9","299.241","989.66","92","-0.34","Rain","moderate rain","24","1.31","8.415"
"20180705","0","300.01","300.01","300.263","989.43","85","-0.26","Rain","light rain","12","1.11","0.08"
"20180705","30000","297.71","297.71","297.883","989.68","90","-0.17","Clear","clear sky","0","2.08","0"
"20180705","60000","296.78","296.78","296.864","989.26","93","-0.09","Clear","clear sky","8","2.21","0"
"20180705","90000","296.421","296.421","296.421","989.25","94","0","Clouds","few clouds","12","2.12","0"
"20180705","120000","298.158","298.158","298.158","989.13","89","0","Clear","clear sky","0","2.21","0"
"20180705","150000","301.156","301.156","301.156","988.3","79","0","Clouds","few clouds","12","2.4","0"
"20180705","180000","301.516","301.516","301.516","986.69","72","0","Clouds","broken clouds","68","2.66","0"
"20180705","210000","301.214","301.214","301.214","985.31","72","0","Rain","light rain","56","2.08","0.41"
"20180706","0","296.77","296.77","296.77","985","90","0","Rain","moderate rain","68","2.66","6.915"
"20180706","30000","296.555","296.555","296.555","983.97","89","0","Rain","light rain","56","2.61","2.43"
"20180706","60000","295.87","295.87","295.87","982.96","95","0","Rain","light rain","88","2.62","1.33"
"20180706","90000","294.602","294.602","294.602","982.18","97","0","Rain","moderate rain","88","2.21","5.74"
"20180706","120000","293.692","293.692","293.692","983.36","96","0","Rain","light rain","76","2.16","0.89"
"20180706","150000","295.651","295.651","295.651","984.29","78","0","Rain","light rain","76","2.56","0.050000000000001"
"20180706","180000","294.638","294.638","294.638","985.13","76","0","Rain","light rain","64","3.62","0.059999999999999"
"20180706","210000","295.832","295.832","295.832","985.03","54","0","Clear","clear sky","0","3.91","0"
"20180707","0","292.577","292.577","292.577","985.73","54","0","Clear","clear sky","0","3.23","0"
"20180707","30000","289.827","289.827","289.827","987.39","56","0","Clear","clear sky","0","2.91","0"
"20180707","60000","288.154","288.154","288.154","988.31","63","0","Clear","clear sky","0","2.95","0"
"20180707","90000","286.847","286.847","286.847","989.24","67","0","Clear","clear sky","0","2.51","0"
"20180707","120000","288.312","288.312","288.312","990.73","70","0","Clear","clear sky","0","1.96","0"
"20180707","150000","292.194","292.194","292.194","991.34","53","0","Clear","clear sky","0","2.25","0"
"20180707","180000","294.975","294.975","294.975","990.81","43","0","Clear","clear sky","0","2.4","0"
"20180707","210000","295.633","295.633","295.633","989.73","41","0","Clear","clear sky","0","2.16","0"
"20180708","0","292.892","292.892","292.892","989.9","51","0","Clear","clear sky","0","1.94","0"
"20180708","30000","288.431","288.431","288.431","990.44","57","0","Clear","clear sky","0","1.86","0"
"20180708","60000","286.073","286.073","286.073","990.49","67","0","Clear","clear sky","0","1.71","0"
"20180708","90000","285.229","285.229","285.229","990.72","66","0","Clear","clear sky","0","1.96","0"
"20180708","120000","288.737","288.737","288.737","992.26","68","0","Clear","clear sky","0","1.55","0"
"20180708","150000","294.629","294.629","294.629","992.31","52","0","Clear","clear sky","0","1.8","0"
"20180708","180000","297.75","297.75","297.75","991.12","42","0","Clear","clear sky","0","1.65","0"
"20180708","210000","298.79","298.79","298.79","989.74","41","0","Clear","clear sky","0","1.66","0"
"20180709","0","295.816","295.816","295.816","989.36","59","0","Clear","clear sky","0","1.52","0"
"20180709","30000","291.104","291.104","291.104","989.3","65","0","Clear","clear sky","0","2.12","0"
"20180709","60000","290.927","290.927","290.927","988.46","62","0","Clear","clear sky","0","2.87","0"
"20180709","90000","290.785","290.785","290.785","987.91","64","0","Clear","clear sky","0","3.01","0"
"20180709","120000","292.912","292.912","292.912","988.11","67","0","Clear","clear sky","0","3.21","0"
"20180709","150000","298.11","298.11","298.11","987.44","63","0","Clear","clear sky","0","3.86","0"
"20180709","180000","299.795","299.795","299.795","986.24","50","0","Clouds","few clouds","12","4.31","0"
