"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180706","180000","297.63","296.649","297.63","999.2","76","0.98","Clear","clear sky","0","6.24","0"
"20180706","210000","297.48","296.744","297.48","998.64","65","0.74","Clear","clear sky","0","6.73","0"
"20180707","0","294.65","294.163","294.65","998.58","57","0.49","Clear","clear sky","0","5.81","0"
"20180707","30000","290.52","290.277","290.52","999.87","59","0.25","Clear","clear sky","0","4.18","0"
"20180707","60000","287.75","287.75","287.75","1000.37","69","0","Clear","clear sky","0","3.5","0"
"20180707","90000","285.62","285.62","285.62","1000.9","79","0","Clear","clear sky","0","2.81","0"
"20180707","120000","288.875","288.875","288.875","1002.11","77","0","Clear","clear sky","0","2.07","0"
"20180707","150000","294.04","294.04","294.04","1002.38","70","0","Clear","clear sky","0","4.52","0"
"20180707","180000","296.538","296.538","296.538","1001.39","63","0","Clear","clear sky","0","4.46","0"
"20180707","210000","297.701","297.701","297.701","1000.03","56","0","Clear","clear sky","0","4.21","0"
"20180708","0","295.333","295.333","295.333","999.74","57","0","Clear","clear sky","0","3.36","0"
"20180708","30000","289.629","289.629","289.629","1000.5","65","0","Clear","clear sky","0","3.22","0"
"20180708","60000","286.693","286.693","286.693","1000.4","75","0","Clear","clear sky","0","2.87","0"
"20180708","90000","284.832","284.832","284.832","1000.46","81","0","Clear","clear sky","0","2.56","0"
"20180708","120000","290.063","290.063","290.063","1001.46","81","0","Clear","clear sky","0","2.52","0"
"20180708","150000","296.204","296.204","296.204","1001.79","68","0","Clear","clear sky","0","3.86","0"
"20180708","180000","298.879","298.879","298.879","1001.02","68","0","Clear","clear sky","0","2.78","0"
"20180708","210000","300.035","300.035","300.035","999.83","62","0","Clear","clear sky","0","2.11","0"
"20180709","0","297.709","297.709","297.709","999.09","67","0","Clear","clear sky","0","1.91","0"
"20180709","30000","290.43","290.43","290.43","999.43","72","0","Clear","clear sky","0","2.56","0"
"20180709","60000","286.791","286.791","286.791","999.18","82","0","Clear","clear sky","0","1.21","0"
"20180709","90000","285.177","285.177","285.177","998.48","80","0","Clear","clear sky","0","1.42","0"
"20180709","120000","291.438","291.438","291.438","998.92","79","0","Clear","clear sky","0","1.27","0"
"20180709","150000","299.17","299.17","299.17","998.76","74","0","Clear","clear sky","0","2.11","0"
"20180709","180000","301.58","301.58","301.58","997.07","73","0","Clear","clear sky","0","2.46","0"
"20180709","210000","302.833","302.833","302.833","995.14","63","0","Clear","clear sky","0","3.14","0"
"20180710","0","300.785","300.785","300.785","994.07","63","0","Clear","clear sky","0","2.32","0"
"20180710","30000","294.818","294.818","294.818","994.39","67","0","Clouds","few clouds","12","3.43","0"
"20180710","60000","293.288","293.288","293.288","993.84","78","0","Clear","clear sky","0","3.88","0"
"20180710","90000","291.895","291.895","291.895","993.46","88","0","Clear","clear sky","0","3.67","0"
"20180710","120000","294.41","294.41","294.41","993.37","82","0","Clear","clear sky","0","3.91","0"
"20180710","150000","300.691","300.691","300.691","993.26","70","0","Clear","clear sky","8","3.37","0"
"20180710","180000","302.978","302.978","302.978","992.31","62","0","Clear","clear sky","0","2.96","0"
"20180710","210000","303.24","303.24","303.24","990.84","60","0","Clouds","few clouds","12","2.52","0"
"20180711","0","300.555","300.555","300.555","991.2","56","0","Clear","clear sky","8","3.17","0"
"20180711","30000","295.634","295.634","295.634","992.33","59","0","Clear","clear sky","0","3.42","0"
"20180711","60000","291.419","291.419","291.419","992.23","78","0","Clear","clear sky","0","1.41","0"
"20180711","90000","289.477","289.477","289.477","992.68","85","0","Clear","clear sky","0","1.77","0"
"20180711","120000","294.684","294.684","294.684","993.46","83","0","Clear","clear sky","0","1.96","0"
"20180711","150000","299.941","299.941","299.941","993.66","78","0","Clear","clear sky","0","2.01","0"
