"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180801","0","296.83","296.531","296.83","1005.95","84","0.3","Clouds","broken clouds","64","2.23","0"
"20180801","30000","295.2","294.976","295.2","1006.1","93","0.23","Clouds","broken clouds","68","2.06","0"
"20180801","60000","294.32","294.165","294.32","1005.73","99","0.15","Clouds","broken clouds","64","0.26","0"
"20180801","90000","293.3","293.224","293.3","1005.29","100","0.08","Clouds","few clouds","20","1.56","0"
"20180801","120000","293.375","293.375","293.375","1005.61","100","0","Clouds","scattered clouds","32","2.07","0"
"20180801","150000","296.667","296.667","296.667","1005.8","86","0","Clouds","scattered clouds","32","1.86","0"
"20180801","180000","297.913","297.913","297.913","1005.34","82","0","Rain","light rain","0","1.86","0.175"
"20180801","210000","298.392","298.392","298.392","1004.03","79","0","Rain","light rain","32","2.12","0.46"
"20180802","0","297.39","297.39","297.39","1003.95","83","0","Rain","light rain","36","1.2","0.065"
"20180802","30000","295.062","295.062","295.062","1004.71","96","0","Rain","light rain","8","1.15","1.15"
"20180802","60000","294.635","294.635","294.635","1004.81","98","0","Clouds","few clouds","24","2.57","0"
"20180802","90000","293.959","293.959","293.959","1005.3","100","0","Clouds","few clouds","12","2.43","0"
"20180802","120000","293.596","293.596","293.596","1006.42","100","0","Clouds","few clouds","24","3.97","0"
"20180802","150000","294.205","294.205","294.205","1007.47","100","0","Rain","light rain","68","4.06","0.055"
"20180802","180000","295.038","295.038","295.038","1007.77","97","0","Rain","light rain","56","3.91","0.0049999999999999"
"20180802","210000","294.913","294.913","294.913","1007.74","99","0","Rain","light rain","36","4.32","0.255"
"20180803","0","294.679","294.679","294.679","1008.14","98","0","Clear","clear sky","8","4.12","0"
"20180803","30000","293.682","293.682","293.682","1009.13","100","0","Clear","clear sky","0","3.65","0"
"20180803","60000","293.111","293.111","293.111","1009.09","100","0","Clear","clear sky","0","3.21","0"
"20180803","90000","292.624","292.624","292.624","1009.66","100","0","Clear","clear sky","0","2.86","0"
"20180803","120000","293.146","293.146","293.146","1010.47","100","0","Clear","clear sky","0","3.26","0"
"20180803","150000","295.522","295.522","295.522","1011.15","94","0","Clear","clear sky","0","3.11","0"
"20180803","180000","296.247","296.247","296.247","1011.43","90","0","Clear","clear sky","0","2.66","0"
"20180803","210000","296.782","296.782","296.782","1010.55","85","0","Clear","clear sky","0","2.51","0"
"20180804","0","296.278","296.278","296.278","1009.7","86","0","Clear","clear sky","0","2.96","0"
"20180804","30000","294.646","294.646","294.646","1009.78","93","0","Rain","light rain","0","2.96","0.0049999999999999"
"20180804","60000","294.085","294.085","294.085","1009.81","98","0","Clear","clear sky","0","2.51","0"
"20180804","90000","293.84","293.84","293.84","1009.67","100","0","Clear","clear sky","0","2.05","0"
"20180804","120000","294.452","294.452","294.452","1010.01","98","0","Clear","clear sky","0","3.16","0"
"20180804","150000","298.196","298.196","298.196","1010.39","80","0","Clear","clear sky","0","2.77","0"
"20180804","180000","300.264","300.264","300.264","1009.35","70","0","Clear","clear sky","0","3.4","0"
"20180804","210000","301.341","301.341","301.341","1007.92","65","0","Clouds","scattered clouds","44","4.01","0"
"20180805","0","301.019","301.019","301.019","1007.67","66","0","Clouds","overcast clouds","92","4.76","0"
"20180805","30000","299.583","299.583","299.583","1009.29","72","0","Clear","clear sky","0","5.41","0"
"20180805","60000","297.913","297.913","297.913","1009.45","81","0","Clouds","few clouds","20","3.86","0"
"20180805","90000","296.589","296.589","296.589","1009.57","88","0","Clear","clear sky","0","3.95","0"
"20180805","120000","296.168","296.168","296.168","1009.88","91","0","Clear","clear sky","0","4.47","0"
"20180805","150000","298.735","298.735","298.735","1010.15","77","0","Clear","clear sky","0","4.06","0"
"20180805","180000","300.849","300.849","300.849","1009.33","68","0","Clouds","few clouds","12","4","0"
"20180805","210000","301.171","301.171","301.171","1008.33","66","0","Rain","light rain","64","4.56","0.01"
