"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180706","180000","306.51","303.149","306.51","1004.87","83","3.36","Rain","light rain","48","1.51","1.17"
"20180706","210000","304.56","302.044","304.56","1002.94","85","2.52","Rain","light rain","12","3.73","0.4"
"20180707","0","301.34","299.663","301.34","1002.63","82","1.68","Rain","light rain","48","2.16","1.515"
"20180707","30000","298.07","297.227","298.07","1003.51","91","0.84","Clouds","scattered clouds","44","1.28","0"
"20180707","60000","294.4","294.4","294.4","1004.18","100","0","Rain","moderate rain","92","3.37","10.58"
"20180707","90000","294.17","294.17","294.17","1004.79","95","0","Rain","moderate rain","88","5.34","6.14"
"20180707","120000","293.475","293.475","293.475","1006.57","87","0","Rain","light rain","88","6.02","1.04"
"20180707","150000","294.19","294.19","294.19","1008.21","82","0","Clouds","overcast clouds","92","6.77","0"
"20180707","180000","297.138","297.138","297.138","1007.72","79","0","Clouds","scattered clouds","36","5.76","0"
"20180707","210000","298.25","298.25","298.25","1006.59","74","0","Clouds","scattered clouds","44","5.66","0"
"20180708","0","296.433","296.433","296.433","1007.2","74","0","Clouds","overcast clouds","100","4.71","0"
"20180708","30000","295.229","295.229","295.229","1008.69","78","0","Rain","light rain","36","4.02","0.0024999999999977"
"20180708","60000","292.743","292.743","292.743","1008.83","82","0","Clouds","few clouds","20","4.12","0"
"20180708","90000","290.932","290.932","290.932","1009.46","85","0","Clouds","few clouds","20","3.71","0"
"20180708","120000","291.113","291.113","291.113","1010.94","86","0","Clear","clear sky","0","4.22","0"
"20180708","150000","295.254","295.254","295.254","1011.52","75","0","Clear","clear sky","0","4.76","0"
"20180708","180000","298.029","298.029","298.029","1010.75","64","0","Clear","clear sky","0","4.53","0"
"20180708","210000","299.485","299.485","299.485","1009.55","57","0","Clear","clear sky","0","3.86","0"
"20180709","0","297.609","297.609","297.609","1009.39","58","0","Clear","clear sky","0","2.86","0"
"20180709","30000","292.48","292.48","292.48","1010.62","70","0","Clear","clear sky","0","2.56","0"
"20180709","60000","289.741","289.741","289.741","1010.45","85","0","Clear","clear sky","0","1.31","0"
"20180709","90000","289.127","289.127","289.127","1010.16","84","0","Clear","clear sky","0","2.12","0"
"20180709","120000","292.638","292.638","292.638","1010.59","75","0","Clear","clear sky","0","3.47","0"
"20180709","150000","298.27","298.27","298.27","1010.67","76","0","Clear","clear sky","0","1.86","0"
"20180709","180000","301.53","301.53","301.53","1008.75","69","0","Clear","clear sky","0","1.91","0"
"20180709","210000","303.033","303.033","303.033","1006.57","58","0","Clear","clear sky","0","1.79","0"
"20180710","0","300.835","300.835","300.835","1005.58","64","0","Clear","clear sky","0","1.22","0"
"20180710","30000","295.268","295.268","295.268","1005.9","62","0","Clear","clear sky","0","2.23","0"
"20180710","60000","292.838","292.838","292.838","1005.35","73","0","Clouds","few clouds","12","1.58","0"
"20180710","90000","291.445","291.445","291.445","1004.88","79","0","Clear","clear sky","0","1.32","0"
"20180710","120000","295.61","295.61","295.61","1005.29","80","0","Clear","clear sky","0","1.16","0"
"20180710","150000","302.691","302.691","302.691","1005.26","67","0","Clear","clear sky","0","1.87","0"
"20180710","180000","304.478","304.478","304.478","1003.98","61","0","Clear","clear sky","0","1.86","0"
"20180710","210000","305.34","305.34","305.34","1001.87","54","0","Clear","clear sky","0","1.37","0"
"20180711","0","303.105","303.105","303.105","1001.25","60","0","Clear","clear sky","0","0.32","0"
"20180711","30000","297.784","297.784","297.784","1002.14","66","0","Clouds","scattered clouds","32","1.97","0"
"20180711","60000","297.369","297.369","297.369","1001.72","61","0","Clouds","broken clouds","76","2.11","0"
"20180711","90000","296.227","296.227","296.227","1001.52","71","0","Clouds","broken clouds","68","0.97","0"
"20180711","120000","297.434","297.434","297.434","1002.7","68","0","Clouds","scattered clouds","44","1.71","0"
"20180711","150000","302.842","302.842","302.842","1003.39","65","0","Clouds","few clouds","24","1.36","0"
