"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180716","180000","298.97","295.557","298.97","775.63","60","3.41","Clear","clear sky","0","1.2","0"
"20180716","210000","299.22","296.661","299.22","774.87","51","2.56","Rain","light rain","20","1.4","0.035"
"20180717","0","297.14","295.433","297.14","774.45","50","1.7","Rain","light rain","56","1.31","0.345"
"20180717","30000","291.12","290.265","291.12","774.92","67","0.85","Rain","light rain","48","1.42","0.1725"
"20180717","60000","285.759","285.759","285.759","775.31","80","0","Clear","clear sky","0","1.61","0"
"20180717","90000","283.504","283.504","283.504","774.69","83","0","Clear","clear sky","8","1.41","0"
"20180717","120000","282.127","282.127","282.127","774.57","83","0","Clear","clear sky","0","0.95","0"
"20180717","150000","293.904","293.904","293.904","775.23","59","0","Clear","clear sky","0","1.61","0"
"20180717","180000","298.938","298.938","298.938","774.78","44","0","Clear","clear sky","8","1.52","0"
"20180717","210000","292.749","292.749","292.749","774.09","90","0","Rain","light rain","32","1.31","2.57"
"20180718","0","292.071","292.071","292.071","773.75","76","0","Rain","moderate rain","36","1.31","3.06"
"20180718","30000","288.786","288.786","288.786","773.51","84","0","Rain","light rain","24","0.7","0.21"
"20180718","60000","284.348","284.348","284.348","774.08","86","0","Clouds","few clouds","20","0.66","0"
"20180718","90000","282.468","282.468","282.468","773.52","85","0","Clear","clear sky","8","1.11","0"
"20180718","120000","281.467","281.467","281.467","773.32","81","0","Clear","clear sky","0","1.13","0"
"20180718","150000","294.45","294.45","294.45","774.25","56","0","Clear","clear sky","0","1.67","0"
"20180718","180000","299.233","299.233","299.233","773.89","38","0","Rain","light rain","0","2.12","0.015000000000001"
"20180718","210000","297.286","297.286","297.286","773.35","42","0","Rain","light rain","48","0.14","0.435"
"20180719","0","296.852","296.852","296.852","773.39","35","0","Rain","light rain","88","1.14","0.045"
"20180719","30000","291.103","291.103","291.103","773.47","54","0","Clouds","few clouds","20","1.23","0"
"20180719","60000","286.118","286.118","286.118","773.65","74","0","Clear","clear sky","8","1.51","0"
"20180719","90000","282.724","282.724","282.724","772.83","79","0","Clear","clear sky","0","1.16","0"
"20180719","120000","281.301","281.301","281.301","772.83","77","0","Clear","clear sky","0","1.97","0"
"20180719","150000","296.415","296.415","296.415","773.45","41","0","Clear","clear sky","0","1.67","0"
"20180719","180000","301.668","301.668","301.668","773.47","23","0","Clear","clear sky","0","1.57","0"
"20180719","210000","301.907","301.907","301.907","772.58","19","0","Clouds","broken clouds","64","1.56","0"
"20180720","0","301.782","301.782","301.782","772.04","16","0","Clouds","overcast clouds","88","1.51","0"
"20180720","30000","295.477","295.477","295.477","772.96","35","0","Clouds","overcast clouds","92","1.3","0"
"20180720","60000","289.772","289.772","289.772","773.48","39","0","Clouds","few clouds","20","1.23","0"
"20180720","90000","284.247","284.247","284.247","773.39","42","0","Clear","clear sky","0","1.61","0"
"20180720","120000","282.289","282.289","282.289","774.18","51","0","Clear","clear sky","0","1.57","0"
"20180720","150000","295.61","295.61","295.61","775.59","20","0","Clear","clear sky","0","2.42","0"
"20180720","180000","299.859","299.859","299.859","776.18","20","0","Clear","clear sky","0","2.06","0"
"20180720","210000","301.916","301.916","301.916","775.47","20","0","Clear","clear sky","0","2.67","0"
"20180721","0","300.734","300.734","300.734","775.2","22","0","Clouds","scattered clouds","44","3.02","0"
"20180721","30000","296.564","296.564","296.564","775.94","28","0","Clouds","few clouds","24","2.86","0"
"20180721","60000","291.911","291.911","291.911","776.57","35","0","Clear","clear sky","0","2.96","0"
"20180721","90000","288.07","288.07","288.07","776.19","59","0","Clear","clear sky","0","2.66","0"
"20180721","120000","284.803","284.803","284.803","775.64","78","0","Clear","clear sky","0","1.61","0"
"20180721","150000","296.444","296.444","296.444","775.7","38","0","Clear","clear sky","0","1.71","0"
