"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180706","180000","298.66","297.949","298.66","1011.84","65","0.71","Clouds","scattered clouds","48","3.24","0"
"20180706","210000","298.98","298.444","298.98","1010.07","61","0.53","Clouds","few clouds","20","3.53","0"
"20180707","0","295.87","295.513","295.87","1010","61","0.35","Clear","clear sky","0","3.61","0"
"20180707","30000","292.95","292.777","292.95","1010.89","62","0.18","Clear","clear sky","0","3.36","0"
"20180707","60000","290.9","290.9","290.9","1011.15","64","0","Clouds","few clouds","20","3.37","0"
"20180707","90000","289.47","289.47","289.47","1011.52","68","0","Clear","clear sky","8","2.96","0"
"20180707","120000","289.725","289.725","289.725","1012.08","72","0","Clouds","few clouds","12","2.77","0"
"20180707","150000","293.79","293.79","293.79","1012.27","69","0","Clouds","few clouds","20","2.82","0"
"20180707","180000","296.688","296.688","296.688","1011.28","63","0","Clear","clear sky","0","2.86","0"
"20180707","210000","297.85","297.85","297.85","1009.92","60","0","Clear","clear sky","0","2.86","0"
"20180708","0","295.883","295.883","295.883","1009.39","63","0","Clear","clear sky","0","2.66","0"
"20180708","30000","292.629","292.629","292.629","1010.31","64","0","Clear","clear sky","0","2.57","0"
"20180708","60000","290.043","290.043","290.043","1010.2","71","0","Clear","clear sky","0","2.02","0"
"20180708","90000","288.182","288.182","288.182","1010.19","78","0","Clear","clear sky","0","2.01","0"
"20180708","120000","289.763","289.763","289.763","1011.1","79","0","Clear","clear sky","0","1.57","0"
"20180708","150000","296.654","296.654","296.654","1011.68","73","0","Clear","clear sky","0","1.46","0"
"20180708","180000","300.829","300.829","300.829","1010.91","67","0","Clear","clear sky","0","1.53","0"
"20180708","210000","301.735","301.735","301.735","1009.8","62","0","Clear","clear sky","0","1.51","0"
"20180709","0","299.959","299.959","299.959","1009.47","74","0","Clear","clear sky","0","1.01","0"
"20180709","30000","294.23","294.23","294.23","1010.13","80","0","Clear","clear sky","0","1.61","0"
"20180709","60000","291.291","291.291","291.291","1010.2","85","0","Clear","clear sky","0","1.01","0"
"20180709","90000","289.977","289.977","289.977","1010.16","86","0","Clouds","few clouds","12","0.97","0"
"20180709","120000","293.638","293.638","293.638","1010.59","81","0","Clouds","few clouds","24","1.02","0"
"20180709","150000","300.07","300.07","300.07","1011.08","72","0","Clouds","scattered clouds","36","1.31","0"
"20180709","180000","300.68","300.68","300.68","1010.29","70","0","Clouds","scattered clouds","36","1.51","0"
"20180709","210000","302.333","302.333","302.333","1008.03","65","0","Clear","clear sky","0","1.34","0"
"20180710","0","300.685","300.685","300.685","1007.12","74","0","Clouds","few clouds","20","0.87","0"
"20180710","30000","295.568","295.568","295.568","1007.11","85","0","Clouds","few clouds","24","0.63","0"
"20180710","60000","295.588","295.588","295.588","1006.81","84","0","Clouds","overcast clouds","100","0.93","0"
"20180710","90000","295.045","295.045","295.045","1006.59","87","0","Rain","light rain","20","1.12","0.0125"
"20180710","120000","296.51","296.51","296.51","1006.74","86","0","Clouds","few clouds","12","1.11","0"
"20180710","150000","300.391","300.391","300.391","1006.8","72","0","Clouds","few clouds","12","1.42","0"
"20180710","180000","302.678","302.678","302.678","1005.36","64","0","Clear","clear sky","0","1.51","0"
"20180710","210000","303.14","303.14","303.14","1003.65","60","0","Clouds","few clouds","20","1.42","0"
"20180711","0","301.405","301.405","301.405","1003.11","70","0","Clouds","few clouds","12","0.97","0"
"20180711","30000","296.534","296.534","296.534","1003.76","80","0","Clouds","scattered clouds","32","0.62","0"
"20180711","60000","293.819","293.819","293.819","1003.74","90","0","Rain","light rain","24","0.96","1.9125"
"20180711","90000","292.727","292.727","292.727","1004.11","93","0","Rain","light rain","36","1.42","2.1375"
"20180711","120000","293.784","293.784","293.784","1004.73","93","0","Rain","light rain","76","1.76","0.825"
"20180711","150000","296.691","296.691","296.691","1005.01","87","0","Rain","light rain","68","1.41","0.1125"
