"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180716","180000","302.08","300.507","302.08","993.6","83","1.57","Clouds","broken clouds","76","3.85","0"
"20180716","210000","297.94","296.761","297.94","992.43","95","1.18","Rain","light rain","100","4.1","2.1775"
"20180717","0","298.12","297.333","298.12","991.93","91","0.78","Rain","light rain","76","2.96","0.4325"
"20180717","30000","296.31","295.915","296.31","992.65","94","0.39","Clouds","scattered clouds","36","2.07","0"
"20180717","60000","295.359","295.359","295.359","992.72","94","0","Clear","clear sky","0","3.36","0"
"20180717","90000","294.504","294.504","294.504","993.31","90","0","Clear","clear sky","0","3.91","0"
"20180717","120000","293.427","293.427","293.427","994.73","80","0","Clear","clear sky","0","4.45","0"
"20180717","150000","298.154","298.154","298.154","995.88","79","0","Clear","clear sky","0","4.06","0"
"20180717","180000","300.138","300.138","300.138","995.67","67","0","Clear","clear sky","0","6.42","0"
"20180717","210000","300.299","300.299","300.299","994.82","62","0","Clear","clear sky","0","6.71","0"
"20180718","0","298.171","298.171","298.171","994.64","61","0","Clear","clear sky","0","4.76","0"
"20180718","30000","293.336","293.336","293.336","995.94","63","0","Clear","clear sky","0","3.8","0"
"20180718","60000","291.398","291.398","291.398","996.1","63","0","Clear","clear sky","8","4.51","0"
"20180718","90000","290.218","290.218","290.218","996.6","64","0","Clouds","scattered clouds","32","3.66","0"
"20180718","120000","290.667","290.667","290.667","997.13","73","0","Clouds","broken clouds","76","3.58","0"
"20180718","150000","294.75","294.75","294.75","997.81","79","0","Clouds","few clouds","24","2.12","0"
"20180718","180000","299.433","299.433","299.433","997.29","77","0","Clear","clear sky","0","2.17","0"
"20180718","210000","299.686","299.686","299.686","996.51","67","0","Clear","clear sky","0","2.69","0"
"20180719","0","297.652","297.652","297.652","996.39","67","0","Clear","clear sky","0","2.24","0"
"20180719","30000","291.353","291.353","291.353","997.12","73","0","Clear","clear sky","0","1.93","0"
"20180719","60000","288.618","288.618","288.618","997.14","79","0","Clear","clear sky","0","1.96","0"
"20180719","90000","286.774","286.774","286.774","997.05","82","0","Clear","clear sky","8","1.41","0"
"20180719","120000","290.801","290.801","290.801","997.77","79","0","Clouds","scattered clouds","32","2.17","0"
"20180719","150000","296.965","296.965","296.965","998.15","79","0","Clouds","broken clouds","76","3.77","0"
"20180719","180000","298.768","298.768","298.768","997.36","71","0","Clouds","broken clouds","76","3.12","0"
"20180719","210000","299.157","299.157","299.157","995.99","65","0","Clouds","broken clouds","80","3.36","0"
"20180720","0","297.032","297.032","297.032","995.04","64","0","Clouds","overcast clouds","92","3.56","0"
"20180720","30000","293.927","293.927","293.927","995.47","66","0","Clouds","overcast clouds","92","3.45","0"
"20180720","60000","292.672","292.672","292.672","994.77","70","0","Clouds","few clouds","24","3.78","0"
"20180720","90000","292.497","292.497","292.497","993.63","69","0","Clouds","scattered clouds","32","4.06","0"
"20180720","120000","293.939","293.939","293.939","994.17","84","0","Rain","light rain","92","3.82","0.7"
"20180720","150000","297.21","297.21","297.21","994.21","85","0","Rain","light rain","48","5.62","0.29"
"20180720","180000","296.609","296.609","296.609","994.8","99","0","Rain","light rain","92","4.06","1.44"
"20180720","210000","298.066","298.066","298.066","993.6","82","0","Rain","light rain","92","6.27","0.0099999999999998"
"20180721","0","296.234","296.234","296.234","992.93","85","0","Rain","light rain","88","5.87","0.07"
"20180721","30000","295.614","295.614","295.614","993.35","89","0","Rain","light rain","92","5.66","0.08"
"20180721","60000","295.311","295.311","295.311","991.7","90","0","Rain","light rain","92","5.86","0.08"
"20180721","90000","295.37","295.37","295.37","990.1","87","0","Rain","light rain","92","6.71","0.029999999999999"
"20180721","120000","293.603","293.603","293.603","990.37","98","0","Rain","moderate rain","92","5.81","4.99"
"20180721","150000","295.244","295.244","295.244","989.86","98","0","Rain","light rain","80","5.71","0.46"
