"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180704","210000","300.19","300.19","300.741","823.49","25","-0.55","Rain","light rain","92","1.76","0.12"
"20180705","0","298.85","298.85","299.263","824.64","29","-0.41","Rain","light rain","36","3.36","0.175"
"20180705","30000","293.81","293.81","294.083","826.75","45","-0.28","Rain","light rain","8","2.15","0.115"
"20180705","60000","289.18","289.18","289.314","828.2","70","-0.14","Clouds","broken clouds","80","0.21","0"
"20180705","90000","288.271","288.271","288.271","828.67","72","0","Clouds","few clouds","24","1.47","0"
"20180705","120000","285.458","285.458","285.458","829.04","84","0","Clear","clear sky","0","1.21","0"
"20180705","150000","295.906","295.906","295.906","829.75","46","0","Clouds","few clouds","12","1.7","0"
"20180705","180000","300.716","300.716","300.716","829.28","36","0","Clouds","scattered clouds","48","4.21","0"
"20180705","210000","300.764","300.764","300.764","828.46","35","0","Rain","light rain","88","4.38","0.255"
"20180706","0","296.97","296.97","296.97","829.21","58","0","Rain","light rain","76","1.71","1.62"
"20180706","30000","291.855","291.855","291.855","830.84","68","0","Rain","light rain","64","1.66","2.68"
"20180706","60000","288.52","288.52","288.52","830.97","83","0","Rain","light rain","12","0.87","0.29"
"20180706","90000","286.002","286.002","286.002","829.87","88","0","Clear","clear sky","0","1.51","0"
"20180706","120000","284.992","284.992","284.992","828.69","85","0","Clear","clear sky","0","1.66","0"
"20180706","150000","296.201","296.201","296.201","828.5","54","0","Clear","clear sky","0","1.68","0"
"20180706","180000","301.988","301.988","301.988","827.79","40","0","Clouds","few clouds","12","1.79","0"
"20180706","210000","303.082","303.082","303.082","826.23","31","0","Rain","light rain","8","3.03","0.16"
"20180707","0","301.227","301.227","301.227","825.32","35","0","Rain","light rain","32","1.58","1.03"
"20180707","30000","295.127","295.127","295.127","825.1","46","0","Rain","light rain","8","1.81","0.29"
"20180707","60000","290.604","290.604","290.604","825.54","62","0","Clear","clear sky","0","3.3","0"
"20180707","90000","288.297","288.297","288.297","824.12","71","0","Clear","clear sky","0","2.49","0"
"20180707","120000","286.362","286.362","286.362","823.43","76","0","Clear","clear sky","0","1.71","0"
"20180707","150000","299.294","299.294","299.294","823.71","40","0","Clear","clear sky","0","1.67","0"
"20180707","180000","301.025","301.025","301.025","823.66","41","0","Rain","light rain","12","0.7","0.29"
"20180707","210000","305.783","305.783","305.783","821.62","25","0","Clouds","few clouds","12","2.11","0"
"20180708","0","296.792","296.792","296.792","821.78","56","0","Rain","light rain","36","1.96","0.9"
"20180708","30000","292.081","292.081","292.081","821.59","66","0","Rain","light rain","48","1.86","0.74"
"20180708","60000","289.523","289.523","289.523","821.64","75","0","Clear","clear sky","8","2.16","0"
"20180708","90000","288.479","288.479","288.479","821.07","69","0","Clouds","few clouds","12","2.16","0"
"20180708","120000","287.387","287.387","287.387","820.9","72","0","Clear","clear sky","0","2.1","0"
"20180708","150000","299.729","299.729","299.729","821.52","37","0","Clear","clear sky","0","1.8","0"
"20180708","180000","302.65","302.65","302.65","821.63","36","0","Rain","light rain","0","1.55","0.3"
"20180708","210000","298.99","298.99","298.99","821.55","51","0","Rain","light rain","24","1.41","1.16"
"20180709","0","296.566","296.566","296.566","821.64","52","0","Rain","light rain","12","1.67","0.9"
"20180709","30000","291.604","291.604","291.604","822.24","62","0","Rain","light rain","8","2.57","0.73"
"20180709","60000","290.427","290.427","290.427","823.02","58","0","Clear","clear sky","0","4.22","0"
"20180709","90000","288.735","288.735","288.735","822.95","69","0","Clear","clear sky","0","3.11","0"
"20180709","120000","286.712","286.712","286.712","823.07","81","0","Clear","clear sky","0","2.76","0"
"20180709","150000","296.11","296.11","296.11","823.62","51","0","Clear","clear sky","0","3.06","0"
"20180709","180000","301.095","301.095","301.095","822.58","34","0","Clear","clear sky","0","5.81","0"
