"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180711","180000","305.24","304.713","305.24","998.1","75","0.53","Clear","clear sky","0","4.26","0"
"20180711","210000","306.43","306.036","306.43","997.11","70","0.4","Clear","clear sky","0","3.87","0"
"20180712","0","305.18","304.914","305.18","996.39","66","0.27","Clear","clear sky","0","3.46","0"
"20180712","30000","301.1","300.971","301.1","996.95","59","0.13","Clear","clear sky","0","5.31","0"
"20180712","60000","298.639","298.639","298.639","997.83","59","0","Clear","clear sky","0","5.27","0"
"20180712","90000","297.146","297.146","297.146","998.02","60","0","Clear","clear sky","0","5.17","0"
"20180712","120000","296.871","296.871","296.871","998.76","68","0","Clear","clear sky","0","5.12","0"
"20180712","150000","301.659","301.659","301.659","999.09","71","0","Clear","clear sky","0","5.11","0"
"20180712","180000","305.818","305.818","305.818","998.71","67","0","Clear","clear sky","0","4.61","0"
"20180712","210000","307.58","307.58","307.58","997.65","61","0","Clear","clear sky","0","4.15","0"
"20180713","0","306.353","306.353","306.353","996.45","60","0","Clear","clear sky","0","3.65","0"
"20180713","30000","301.903","301.903","301.903","997.28","55","0","Clear","clear sky","0","4.26","0"
"20180713","60000","299.638","299.638","299.638","998.12","55","0","Clear","clear sky","0","4.76","0"
"20180713","90000","298.168","298.168","298.168","997.97","57","0","Clouds","few clouds","12","4.5","0"
"20180713","120000","297.175","297.175","297.175","998.21","66","0","Clouds","few clouds","20","4.36","0"
"20180713","150000","301.646","301.646","301.646","998.13","69","0","Clouds","few clouds","24","3.86","0"
"20180713","180000","305.658","305.658","305.658","997.99","71","0","Clouds","few clouds","24","2.11","0"
"20180713","210000","307.22","307.22","307.22","996.58","62","0","Clouds","few clouds","24","2.86","0"
"20180714","0","305.639","305.639","305.639","995.77","59","0","Clouds","few clouds","24","3.32","0"
"20180714","30000","301.833","301.833","301.833","996.17","55","0","Clouds","few clouds","24","4.62","0"
"20180714","60000","299.742","299.742","299.742","996.33","53","0","Clouds","few clouds","12","4.91","0"
"20180714","90000","298.271","298.271","298.271","995.82","54","0","Clear","clear sky","8","4.66","0"
"20180714","120000","297.731","297.731","297.731","996.11","62","0","Clear","clear sky","0","4.32","0"
"20180714","150000","302.986","302.986","302.986","995.9","65","0","Clouds","few clouds","12","4.11","0"
"20180714","180000","306.944","306.944","306.944","994.83","60","0","Clouds","broken clouds","56","4.01","0"
"20180714","210000","305.624","305.624","305.624","993.27","63","0","Rain","light rain","56","3.91","0.78"
"20180715","0","301.344","301.344","301.344","993.14","71","0","Rain","light rain","68","4.61","1.59"
"20180715","30000","299.71","299.71","299.71","992.27","73","0","Clouds","few clouds","20","4.77","0"
"20180715","60000","299.885","299.885","299.885","991.71","72","0","Clouds","broken clouds","64","5.66","0"
"20180715","90000","299.869","299.869","299.869","990.9","68","0","Clouds","scattered clouds","44","5.16","0"
"20180715","120000","299.701","299.701","299.701","990.9","74","0","Rain","light rain","48","4.86","0.12"
"20180715","150000","301.162","301.162","301.162","991.31","81","0","Rain","light rain","92","4.56","0.58"
"20180715","180000","305.898","305.898","305.898","991.01","68","0","Rain","light rain","48","4.07","0.15"
"20180715","210000","304.651","304.651","304.651","990.88","64","0","Rain","light rain","56","4.36","0.14"
"20180716","0","303.513","303.513","303.513","990.83","75","0","Rain","light rain","32","3.51","1"
"20180716","30000","300.536","300.536","300.536","991.43","73","0","Rain","light rain","56","2.01","1.01"
"20180716","60000","298.322","298.322","298.322","992.47","79","0","Clouds","few clouds","12","1.52","0"
"20180716","90000","296.624","296.624","296.624","993.41","86","0","Rain","light rain","24","1.71","0.0049999999999999"
"20180716","120000","297.225","297.225","297.225","994.85","94","0","Clouds","scattered clouds","32","4.77","0"
"20180716","150000","299.037","299.037","299.037","996.42","84","0","Rain","light rain","76","6.01","0.025"
