"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180711","180000","300.8","299.863","300.8","1009.93","49","0.94","Clear","clear sky","0","2.41","0"
"20180711","210000","300.69","299.986","300.69","1009.51","46","0.7","Clear","clear sky","0","3.57","0"
"20180712","0","298.08","297.614","298.08","1010.34","50","0.47","Clear","clear sky","0","4.21","0"
"20180712","30000","293.01","292.771","293.01","1011.7","66","0.23","Clear","clear sky","0","3.06","0"
"20180712","60000","288.589","288.589","288.589","1011.85","92","0","Clear","clear sky","0","1.87","0"
"20180712","90000","286.396","286.396","286.396","1012.2","100","0","Clear","clear sky","0","1.22","0"
"20180712","120000","290.971","290.971","290.971","1013.68","81","0","Clear","clear sky","0","1.27","0"
"20180712","150000","297.509","297.509","297.509","1013.76","55","0","Clear","clear sky","0","1.41","0"
"20180712","180000","300.018","300.018","300.018","1013.22","47","0","Clear","clear sky","0","2.68","0"
"20180712","210000","300.53","300.53","300.53","1012.16","44","0","Clear","clear sky","0","2.9","0"
"20180713","0","299.053","299.053","299.053","1011.85","45","0","Clear","clear sky","0","2.37","0"
"20180713","30000","294.653","294.653","294.653","1012.6","59","0","Clouds","few clouds","24","3.16","0"
"20180713","60000","292.738","292.738","292.738","1012.47","77","0","Clouds","scattered clouds","32","2.96","0"
"20180713","90000","292.218","292.218","292.218","1012.16","85","0","Clouds","scattered clouds","48","2.2","0"
"20180713","120000","294.675","294.675","294.675","1012.15","73","0","Clouds","few clouds","20","2.66","0"
"20180713","150000","299.546","299.546","299.546","1012.07","51","0","Clouds","broken clouds","68","2.11","0"
"20180713","180000","301.658","301.658","301.658","1010.72","45","0","Clouds","scattered clouds","32","2.06","0"
"20180713","210000","302.42","302.42","302.42","1009.3","43","0","Clouds","overcast clouds","88","2.46","0"
"20180714","0","302.139","302.139","302.139","1008.34","42","0","Clouds","scattered clouds","48","2.42","0"
"20180714","30000","298.583","298.583","298.583","1008.41","49","0","Clouds","scattered clouds","36","3.22","0"
"20180714","60000","296.242","296.242","296.242","1008.57","59","0","Clouds","broken clouds","56","1.86","0"
"20180714","90000","295.321","295.321","295.321","1008.95","73","0","Rain","light rain","92","2.71","0.18"
"20180714","120000","294.031","294.031","294.031","1010.06","91","0","Rain","light rain","80","2.02","1.79"
"20180714","150000","296.736","296.736","296.736","1010.32","76","0","Rain","light rain","80","1.81","0.64"
"20180714","180000","299.694","299.694","299.694","1009.83","63","0","Rain","light rain","32","1.51","0.08"
"20180714","210000","301.224","301.224","301.224","1008.34","54","0","Clouds","scattered clouds","44","1.61","0"
"20180715","0","300.294","300.294","300.294","1007.65","53","0","Clouds","scattered clouds","48","2.11","0"
"20180715","30000","296.56","296.56","296.56","1008.32","64","0","Clouds","scattered clouds","32","2.72","0"
"20180715","60000","293.585","293.585","293.585","1008.33","78","0","Clouds","scattered clouds","32","1.41","0"
"20180715","90000","291.369","291.369","291.369","1008.08","90","0","Clear","clear sky","0","1.36","0"
"20180715","120000","293.801","293.801","293.801","1008.41","77","0","Clear","clear sky","0","1.31","0"
"20180715","150000","299.712","299.712","299.712","1008.58","56","0","Clear","clear sky","0","1.61","0"
"20180715","180000","302.848","302.848","302.848","1007.46","46","0","Clear","clear sky","0","2.87","0"
"20180715","210000","303.701","303.701","303.701","1005.88","42","0","Clear","clear sky","8","3.23","0"
"20180716","0","302.163","302.163","302.163","1005.75","44","0","Clouds","few clouds","24","3.41","0"
"20180716","30000","298.587","298.587","298.587","1005.86","52","0","Clouds","broken clouds","64","3.36","0"
"20180716","60000","297.072","297.072","297.072","1005.12","58","0","Clouds","scattered clouds","44","3.25","0"
"20180716","90000","295.324","295.324","295.324","1004.43","72","0","Clear","clear sky","8","1.91","0"
"20180716","120000","297.075","297.075","297.075","1003.84","69","0","Clouds","few clouds","12","1.97","0"
"20180716","150000","303.137","303.137","303.137","1003.63","52","0","Clouds","scattered clouds","44","2.76","0"
