"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180711","180000","302.21","302.113","302.21","887.29","44","0.1","Clouds","broken clouds","68","2.96","0"
"20180711","210000","305.46","305.386","305.46","884.76","36","0.07","Clear","clear sky","8","2.57","0"
"20180712","0","304.46","304.414","304.46","883.56","35","0.05","Rain","light rain","36","2.66","0.87"
"20180712","30000","300.5","300.471","300.5","884.68","41","0.02","Rain","light rain","64","3.21","0.045"
"20180712","60000","297.139","297.139","297.139","885.97","54","0","Rain","light rain","88","1.67","0.08"
"20180712","90000","294.446","294.446","294.446","886.07","64","0","Clouds","broken clouds","76","1.22","0"
"20180712","120000","292.771","292.771","292.771","886.49","72","0","Clouds","broken clouds","64","1.32","0"
"20180712","150000","297.509","297.509","297.509","887.87","56","0","Clouds","few clouds","24","2.01","0"
"20180712","180000","304.068","304.068","304.068","887.58","40","0","Clouds","scattered clouds","32","1.96","0"
"20180712","210000","306.38","306.38","306.38","885.71","30","0","Clouds","scattered clouds","48","2.4","0"
"20180713","0","300.803","300.803","300.803","885.64","52","0","Rain","light rain","68","1.75","2.17"
"20180713","30000","298.403","298.403","298.403","886.06","49","0","Clouds","scattered clouds","36","1.46","0"
"20180713","60000","296.338","296.338","296.338","887.39","55","0","Rain","light rain","68","2.56","0.155"
"20180713","90000","293.468","293.468","293.468","887.89","72","0","Rain","light rain","48","2.05","0.9"
"20180713","120000","292.325","292.325","292.325","887.56","76","0","Rain","light rain","68","1.41","0.19"
"20180713","150000","297.296","297.296","297.296","887.97","62","0","Clouds","scattered clouds","36","1.96","0"
"20180713","180000","303.158","303.158","303.158","887.75","52","0","Clouds","few clouds","12","1.81","0"
"20180713","210000","303.62","303.62","303.62","886.25","42","0","Rain","light rain","8","1.76","0.6"
"20180714","0","304.489","304.489","304.489","884.8","40","0","Rain","light rain","0","3.12","0.85"
"20180714","30000","300.533","300.533","300.533","885.44","42","0","Clear","clear sky","8","2.57","0"
"20180714","60000","296.442","296.442","296.442","886.33","50","0","Clouds","few clouds","20","2.31","0"
"20180714","90000","293.021","293.021","293.021","886.39","70","0","Rain","light rain","56","2.11","0.39"
"20180714","120000","291.831","291.831","291.831","886.52","81","0","Rain","light rain","64","1.77","0.23"
"20180714","150000","296.686","296.686","296.686","887.36","64","0","Clear","clear sky","0","2.01","0"
"20180714","180000","303.794","303.794","303.794","887.1","43","0","Clouds","few clouds","12","2.91","0"
"20180714","210000","306.974","306.974","306.974","884.97","30","0","Clouds","scattered clouds","32","3.86","0"
"20180715","0","306.644","306.644","306.644","883.46","24","0","Rain","light rain","56","2.31","0.02"
"20180715","30000","300.66","300.66","300.66","883.81","31","0","Rain","light rain","36","1.02","0.07"
"20180715","60000","295.335","295.335","295.335","885.12","59","0","Rain","light rain","32","2.51","0.0099999999999998"
"20180715","90000","292.869","292.869","292.869","884.47","68","0","Clouds","scattered clouds","36","1.16","0"
"20180715","120000","291.951","291.951","291.951","884.96","70","0","Clouds","few clouds","12","1.26","0"
"20180715","150000","298.912","298.912","298.912","885.85","49","0","Clear","clear sky","0","1.91","0"
"20180715","180000","306.499","306.499","306.499","885.63","32","0","Clouds","scattered clouds","32","2.42","0"
"20180715","210000","308.451","308.451","308.451","883.72","24","0","Clouds","few clouds","24","2.73","0"
"20180716","0","301.813","301.813","301.813","883.26","38","0","Rain","light rain","56","2.41","1.39"
"20180716","30000","294.436","294.436","294.436","884.84","67","0","Rain","light rain","64","2.11","2.08"
"20180716","60000","291.972","291.972","291.972","886.12","91","0","Rain","light rain","48","0.82","2.5"
"20180716","90000","292.774","292.774","292.774","885.36","87","0","Rain","light rain","64","1.31","0.035"
"20180716","120000","291.575","291.575","291.575","885.41","87","0","Clear","clear sky","0","1.27","0"
"20180716","150000","297.137","297.137","297.137","886.42","85","0","Clear","clear sky","0","1.96","0"
