"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180706","180000","304.64","301.549","304.64","1032.92","90","3.09","Rain","moderate rain","76","2.96","3.275"
"20180706","210000","304.15","302.094","304.15","1031.07","82","2.06","Rain","light rain","36","2.48","1.66"
"20180707","0","298.34","297.313","298.34","1031.41","94","1.03","Rain","moderate rain","56","1.71","5.125"
"20180707","30000","296.527","296.527","296.527","1031.64","94","0","Clouds","scattered clouds","48","1.81","0"
"20180707","60000","296.4","296.4","296.4","1030.93","94","0","Clouds","broken clouds","80","1.5","0"
"20180707","90000","296.37","296.37","296.37","1030.65","95","0","Clouds","overcast clouds","92","1.59","0"
"20180707","120000","297.125","297.125","297.125","1031.62","94","0","Clouds","overcast clouds","88","1.87","0"
"20180707","150000","301.69","301.69","301.69","1032.61","90","0","Clouds","overcast clouds","88","2.07","0"
"20180707","180000","304.488","304.488","304.488","1031.55","79","0","Clouds","broken clouds","68","2.36","0"
"20180707","210000","299.951","299.951","299.951","1030.51","100","0","Rain","moderate rain","36","0.81","8.24"
"20180708","0","300.233","300.233","300.233","1031.03","87","0","Rain","light rain","44","0.71","0.71"
"20180708","30000","297.079","297.079","297.079","1032.12","92","0","Rain","light rain","12","0.17","0.69"
"20180708","60000","296.393","296.393","296.393","1031.6","93","0","Clouds","few clouds","12","0.92","0"
"20180708","90000","295.882","295.882","295.882","1031.59","93","0","Clear","clear sky","8","0.81","0"
"20180708","120000","298.263","298.263","298.263","1032.83","88","0","Clear","clear sky","0","1.87","0"
"20180708","150000","304.004","304.004","304.004","1033.57","84","0","Clear","clear sky","0","2.41","0"
"20180708","180000","303.529","303.529","303.529","1033.28","83","0","Rain","moderate rain","24","3.58","3.5875"
"20180708","210000","302.635","302.635","302.635","1032.09","86","0","Rain","light rain","20","4.36","2.5"
"20180709","0","301.809","301.809","301.809","1032.41","74","0","Clear","clear sky","0","3.66","0"
"20180709","30000","298.98","298.98","298.98","1033.8","83","0","Clouds","few clouds","12","2.96","0"
"20180709","60000","298.591","298.591","298.591","1033.22","85","0","Clouds","broken clouds","56","2.11","0"
"20180709","90000","298.377","298.377","298.377","1032.69","86","0","Clouds","scattered clouds","36","2.07","0"
"20180709","120000","300.188","300.188","300.188","1033.54","82","0","Clouds","scattered clouds","36","3.42","0"
"20180709","150000","303.87","303.87","303.87","1034.35","78","0","Clouds","scattered clouds","32","2.96","0"
"20180709","180000","304.98","304.98","304.98","1033.31","71","0","Clouds","scattered clouds","44","3.56","0"
"20180709","210000","300.933","300.933","300.933","1032.26","100","0","Rain","moderate rain","24","2.24","7"
"20180710","0","301.235","301.235","301.235","1031.84","83","0","Rain","light rain","56","2.07","1.35"
"20180710","30000","299.768","299.768","299.768","1032.32","85","0","Clouds","few clouds","20","2.68","0"
"20180710","60000","298.188","298.188","298.188","1031.86","90","0","Clear","clear sky","8","2.23","0"
"20180710","90000","296.945","296.945","296.945","1031.47","91","0","Clear","clear sky","8","1.42","0"
"20180710","120000","299.56","299.56","299.56","1031.63","87","0","Clear","clear sky","8","1.76","0"
"20180710","150000","303.641","303.641","303.641","1032.02","84","0","Clouds","scattered clouds","32","2.22","0"
"20180710","180000","301.778","301.778","301.778","1031.05","92","0","Rain","moderate rain","44","3.16","4.1375"
"20180710","210000","303.69","303.69","303.69","1029.5","72","0","Clouds","broken clouds","76","2.57","0"
"20180711","0","302.105","302.105","302.105","1029.06","72","0","Clouds","broken clouds","56","2.67","0"
"20180711","30000","299.734","299.734","299.734","1030.18","82","0","Clouds","broken clouds","64","3.52","0"
"20180711","60000","298.419","298.419","298.419","1029.36","88","0","Clouds","few clouds","24","2.31","0"
"20180711","90000","296.977","296.977","296.977","1029","91","0","Clear","clear sky","0","1.62","0"
"20180711","120000","299.584","299.584","299.584","1029.86","85","0","Clear","clear sky","8","2.16","0"
"20180711","150000","303.842","303.842","303.842","1030.14","79","0","Clouds","few clouds","24","2.71","0"
