"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180716","180000","304.48","304.257","304.48","997.09","53","0.22","Clouds","few clouds","20","5.7","0"
"20180716","210000","305.13","304.961","305.13","996.33","47","0.17","Clear","clear sky","0","6.85","0"
"20180717","0","301.6","301.483","301.6","996.88","29","0.11","Clear","clear sky","0","7.16","0"
"20180717","30000","296.17","296.115","296.17","998.16","43","0.06","Clear","clear sky","0","3.87","0"
"20180717","60000","294.059","294.059","294.059","998.55","47","0","Clear","clear sky","0","4.76","0"
"20180717","90000","291.604","291.604","291.604","999.47","61","0","Clear","clear sky","0","3.36","0"
"20180717","120000","292.227","292.227","292.227","1001.06","55","0","Clear","clear sky","0","2.95","0"
"20180717","150000","298.654","298.654","298.654","1001.8","43","0","Clear","clear sky","0","3.86","0"
"20180717","180000","300.038","300.038","300.038","1001.51","39","0","Clear","clear sky","0","5.97","0"
"20180717","210000","300.399","300.399","300.399","1001.3","33","0","Clear","clear sky","0","6.36","0"
"20180718","0","298.071","298.071","298.071","1001.69","33","0","Clear","clear sky","0","5.86","0"
"20180718","30000","292.836","292.836","292.836","1003.56","47","0","Clear","clear sky","0","3.9","0"
"20180718","60000","288.848","288.848","288.848","1004.45","64","0","Clear","clear sky","0","3.01","0"
"20180718","90000","286.118","286.118","286.118","1004.95","75","0","Clear","clear sky","0","2.96","0"
"20180718","120000","287.617","287.617","287.617","1005.64","69","0","Clear","clear sky","0","2.33","0"
"20180718","150000","295.35","295.35","295.35","1005.68","45","0","Clear","clear sky","0","2.12","0"
"20180718","180000","299.633","299.633","299.633","1004.59","36","0","Clear","clear sky","0","2.07","0"
"20180718","210000","301.286","301.286","301.286","1003.24","30","0","Clear","clear sky","0","2.57","0"
"20180719","0","299.802","299.802","299.802","1002.71","28","0","Clear","clear sky","0","3.04","0"
"20180719","30000","292.753","292.753","292.753","1003.19","42","0","Clear","clear sky","0","3.33","0"
"20180719","60000","287.968","287.968","287.968","1002.97","75","0","Clear","clear sky","0","0.86","0"
"20180719","90000","285.774","285.774","285.774","1002.96","81","0","Clouds","few clouds","20","0.86","0"
"20180719","120000","289.851","289.851","289.851","1002.88","70","0","Clouds","few clouds","12","1.37","0"
"20180719","150000","300.315","300.315","300.315","1002.45","34","0","Clouds","few clouds","12","3.67","0"
"20180719","180000","302.918","302.918","302.918","1001.66","27","0","Clouds","scattered clouds","44","5.47","0"
"20180719","210000","302.407","302.407","302.407","1000.44","27","0","Clouds","broken clouds","56","5.11","0"
"20180720","0","301.432","301.432","301.432","999.42","28","0","Clouds","scattered clouds","44","4.66","0"
"20180720","30000","295.477","295.477","295.477","1000.41","45","0","Clouds","broken clouds","76","4.05","0"
"20180720","60000","297.022","297.022","297.022","999.55","39","0","Rain","light rain","100","6.83","0.01"
"20180720","90000","290.297","290.297","290.297","999.06","88","0","Rain","light rain","92","6.91","1"
"20180720","120000","290.839","290.839","290.839","997.98","91","0","Rain","light rain","92","5.87","1.03"
"20180720","150000","292.66","292.66","292.66","997.62","98","0","Rain","light rain","92","5.72","0.73"
"20180720","180000","295.609","295.609","295.609","996.58","84","0","Rain","light rain","92","5.16","0.3"
"20180720","210000","298.216","298.216","298.216","994.98","76","0","Rain","light rain","92","4.67","0.07"
"20180721","0","300.984","300.984","300.984","993.01","66","0","Rain","light rain","64","5.27","0.66"
"20180721","30000","292.314","292.314","292.314","994.72","98","0","Rain","heavy intensity rain","76","5.56","15.68"
"20180721","60000","292.911","292.911","292.911","993.57","94","0","Rain","light rain","76","4.06","0.31"
"20180721","90000","292.62","292.62","292.62","992.78","97","0","Rain","light rain","92","3.71","0.58"
"20180721","120000","292.853","292.853","292.853","992.64","100","0","Rain","light rain","92","3.96","0.5"
"20180721","150000","292.994","292.994","292.994","992.37","100","0","Rain","moderate rain","92","3.31","6.87"
