"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180716","180000","302.7","299.007","302.7","1001.38","81","3.69","Rain","light rain","64","3.95","0.0050000000000003"
"20180716","210000","303.73","300.961","303.73","999.81","76","2.77","Clouds","few clouds","24","2.5","0"
"20180717","0","301.68","299.833","301.68","999.55","72","1.84","Clouds","scattered clouds","36","2.26","0"
"20180717","30000","298.69","297.765","298.69","1000.43","80","0.92","Clouds","scattered clouds","48","2.67","0"
"20180717","60000","295.709","295.709","295.709","999.93","92","0","Clouds","few clouds","24","2.21","0"
"20180717","90000","295.004","295.004","295.004","999.14","97","0","Rain","light rain","56","1.96","0.02"
"20180717","120000","296.727","296.727","296.727","999.43","92","0","Rain","light rain","80","2.25","0.095"
"20180717","150000","301.454","301.454","301.454","999.45","83","0","Rain","light rain","24","3.56","0.035"
"20180717","180000","305.488","305.488","305.488","997.7","68","0","Clear","clear sky","8","3.22","0"
"20180717","210000","304.049","304.049","304.049","995.95","70","0","Rain","light rain","48","3.46","2.015"
"20180718","0","297.421","297.421","297.421","996.67","99","0","Rain","moderate rain","36","0.96","9.245"
"20180718","30000","295.086","295.086","295.086","997.32","98","0","Rain","light rain","32","0.7","2.93"
"20180718","60000","294.998","294.998","294.998","997.89","96","0","Rain","light rain","48","1.41","0.065000000000001"
"20180718","90000","295.268","295.268","295.268","998.06","90","0","Clouds","few clouds","20","3.66","0"
"20180718","120000","295.717","295.717","295.717","998.91","83","0","Clouds","broken clouds","64","3.78","0"
"20180718","150000","298.05","298.05","298.05","999.92","75","0","Clouds","broken clouds","76","2.72","0"
"20180718","180000","302.133","302.133","302.133","998.59","70","0","Clear","clear sky","0","1.97","0"
"20180718","210000","303.086","303.086","303.086","996.75","62","0","Clouds","few clouds","24","1.84","0"
"20180719","0","301.152","301.152","301.152","997.2","65","0","Clouds","broken clouds","64","1.27","0"
"20180719","30000","297.253","297.253","297.253","997.68","77","0","Clouds","few clouds","20","1.33","0"
"20180719","60000","295.468","295.468","295.468","997.46","83","0","Clouds","few clouds","24","1.21","0"
"20180719","90000","294.524","294.524","294.524","997.94","80","0","Clouds","broken clouds","64","1.51","0"
"20180719","120000","295.951","295.951","295.951","1000.13","78","0","Rain","light rain","68","4.12","0.024999999999999"
"20180719","150000","298.465","298.465","298.465","1001.15","75","0","Rain","light rain","44","3.62","0.1"
"20180719","180000","301.918","301.918","301.918","1000.44","65","0","Clouds","few clouds","12","2.42","0"
"20180719","210000","303.257","303.257","303.257","999.15","57","0","Clouds","few clouds","20","2.11","0"
"20180720","0","301.282","301.282","301.282","999.5","57","0","Clouds","scattered clouds","48","1.86","0"
"20180720","30000","298.077","298.077","298.077","1000.49","61","0","Clouds","scattered clouds","48","2.05","0"
"20180720","60000","295.872","295.872","295.872","1000.93","66","0","Clouds","broken clouds","56","2.33","0"
"20180720","90000","295.747","295.747","295.747","1001.49","64","0","Clouds","overcast clouds","88","1.61","0"
"20180720","120000","295.939","295.939","295.939","1002.6","70","0","Clouds","scattered clouds","48","1.87","0"
"20180720","150000","300.31","300.31","300.31","1003.29","68","0","Clear","clear sky","8","1.97","0"
"20180720","180000","303.009","303.009","303.009","1002.18","59","0","Clear","clear sky","0","1.96","0"
"20180720","210000","303.916","303.916","303.916","1000.57","52","0","Clouds","scattered clouds","32","1.87","0"
"20180721","0","302.034","302.034","302.034","1000.22","51","0","Clouds","overcast clouds","88","1.32","0"
"20180721","30000","299.364","299.364","299.364","1000.56","54","0","Clouds","scattered clouds","48","2.21","0"
"20180721","60000","297.411","297.411","297.411","1000.38","61","0","Clouds","broken clouds","64","2.21","0"
"20180721","90000","296.67","296.67","296.67","999.91","65","0","Clouds","broken clouds","80","1.86","0"
"20180721","120000","297.353","297.353","297.353","1000.01","67","0","Clouds","broken clouds","64","1.76","0"
"20180721","150000","301.694","301.694","301.694","999.99","60","0","Clouds","scattered clouds","32","2.11","0"
