"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180704","210000","301.21","299.841","301.21","1020.95","69","1.37","Clouds","overcast clouds","88","5.21","0"
"20180705","0","299.94","298.913","299.94","1019.43","80","1.03","Rain","light rain","92","4.59","0.185"
"20180705","30000","300.87","300.183","300.87","1019.27","69","0.68","Rain","light rain","12","6.35","0.03"
"20180705","60000","298.16","297.814","298.16","1020.56","79","0.34","Clouds","broken clouds","64","5.91","0"
"20180705","90000","297.521","297.521","297.521","1021.92","80","0","Clouds","overcast clouds","88","5.72","0"
"20180705","120000","297.308","297.308","297.308","1020.9","81","0","Rain","light rain","68","4.56","0.01"
"20180705","150000","297.356","297.356","297.356","1020.97","81","0","Rain","light rain","64","4.55","0.005"
"20180705","180000","298.766","298.766","298.766","1022.12","75","0","Clouds","scattered clouds","44","4.41","0"
"20180705","210000","301.614","301.614","301.614","1022.44","64","0","Clear","clear sky","0","5.13","0"
"20180706","0","302.62","302.62","302.62","1021.23","58","0","Clear","clear sky","0","6.36","0"
"20180706","30000","300.605","300.605","300.605","1020.85","69","0","Clouds","overcast clouds","92","6.56","0"
"20180706","60000","298.52","298.52","298.52","1022.12","80","0","Clouds","overcast clouds","92","6.27","0"
"20180706","90000","298.002","298.002","298.002","1023.28","82","0","Rain","light rain","92","6.01","0.005"
"20180706","120000","297.592","297.592","297.592","1022.51","84","0","Rain","light rain","92","5.51","0.04"
"20180706","150000","297.551","297.551","297.551","1022.55","81","0","Rain","light rain","88","5.28","0.01"
"20180706","180000","298.638","298.638","298.638","1023.71","74","0","Clouds","overcast clouds","92","5.42","0"
"20180706","210000","300.332","300.332","300.332","1024.35","69","0","Clouds","broken clouds","80","6.01","0"
"20180707","0","301.427","301.427","301.427","1023.34","64","0","Clouds","overcast clouds","92","6.78","0"
"20180707","30000","298.927","298.927","298.927","1023.13","77","0","Rain","light rain","100","7.01","0.04"
"20180707","60000","298.204","298.204","298.204","1024.13","80","0","Rain","light rain","100","6.55","0.01"
"20180707","90000","296.547","296.547","296.547","1025.4","94","0","Rain","light rain","100","5.54","0.47"
"20180707","120000","295.862","295.862","295.862","1024.21","95","0","Rain","light rain","100","4.66","1.16"
"20180707","150000","296.644","296.644","296.644","1023.69","89","0","Rain","light rain","88","4.97","0.18"
"20180707","180000","295.975","295.975","295.975","1024.53","98","0","Rain","light rain","100","5","1.01"
"20180707","210000","298.383","298.383","298.383","1024.59","84","0","Rain","light rain","92","6.16","0.76"
"20180708","0","298.042","298.042","298.042","1023.13","85","0","Rain","light rain","88","6.29","0.75"
"20180708","30000","298.881","298.881","298.881","1022.62","78","0","Clouds","overcast clouds","92","6.36","0"
"20180708","60000","297.573","297.573","297.573","1023.72","83","0","Clouds","overcast clouds","100","5.71","0"
"20180708","90000","297.179","297.179","297.179","1024.77","85","0","Rain","light rain","92","5.11","0.010000000000001"
"20180708","120000","296.737","296.737","296.737","1023.63","88","0","Rain","light rain","100","4.25","0.05"
"20180708","150000","296.829","296.829","296.829","1023.27","86","0","Rain","light rain","88","4.45","0.04"
"20180708","180000","298.05","298.05","298.05","1024.27","80","0","Rain","light rain","100","5.3","0.05"
"20180708","210000","298.84","298.84","298.84","1024.44","77","0","Rain","light rain","68","5.86","0.21"
"20180709","0","300.566","300.566","300.566","1023.16","68","0","Clouds","overcast clouds","92","6.57","0"
"20180709","30000","299.454","299.454","299.454","1022.87","73","0","Clouds","broken clouds","76","6.57","0"
"20180709","60000","297.927","297.927","297.927","1024.04","80","0","Rain","light rain","100","6.02","0.05"
"20180709","90000","297.585","297.585","297.585","1025.03","80","0","Rain","light rain","100","5.36","0.010000000000001"
"20180709","120000","296.412","296.412","296.412","1024.1","89","0","Rain","light rain","92","4.76","0.25"
"20180709","150000","296.51","296.51","296.51","1023.6","87","0","Rain","light rain","64","4.76","0.1"
"20180709","180000","298.395","298.395","298.395","1024.74","77","0","Clouds","scattered clouds","44","5.71","0"
