"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180711","180000","306.1","305.413","306.1","1027.36","70","0.69","Clouds","few clouds","24","1.81","0"
"20180711","210000","307.6","307.086","307.6","1024.99","61","0.52","Clear","clear sky","0","1.77","0"
"20180712","0","305.26","304.914","305.26","1024.03","60","0.35","Clouds","few clouds","20","2.36","0"
"20180712","30000","301.74","301.572","301.74","1024.75","67","0.17","Clear","clear sky","0","2.56","0"
"20180712","60000","299.689","299.689","299.689","1026.04","72","0","Clear","clear sky","0","2.67","0"
"20180712","90000","298.646","298.646","298.646","1026.15","75","0","Clear","clear sky","0","2.57","0"
"20180712","120000","297.621","297.621","297.621","1026.56","85","0","Clear","clear sky","0","1.42","0"
"20180712","150000","303.159","303.159","303.159","1027.54","75","0","Clouds","few clouds","12","2.01","0"
"20180712","180000","306.468","306.468","306.468","1027.24","65","0","Clear","clear sky","0","2.03","0"
"20180712","210000","305.23","305.23","305.23","1025.21","66","0","Rain","light rain","36","1.6","0.06"
"20180713","0","302.103","302.103","302.103","1025.31","79","0","Rain","moderate rain","68","2.5","4.47"
"20180713","30000","300.303","300.303","300.303","1025.8","83","0","Clouds","scattered clouds","36","1.51","0"
"20180713","60000","299.188","299.188","299.188","1026.9","82","0","Clouds","few clouds","12","2.51","0"
"20180713","90000","298.368","298.368","298.368","1027.07","81","0","Clouds","scattered clouds","44","2.9","0"
"20180713","120000","298.475","298.475","298.475","1027.48","85","0","Clouds","scattered clouds","48","2.31","0"
"20180713","150000","302.696","302.696","302.696","1027.87","85","0","Clear","clear sky","0","2.21","0"
"20180713","180000","306.108","306.108","306.108","1027.58","70","0","Clear","clear sky","0","2.21","0"
"20180713","210000","304.82","304.82","304.82","1025.92","69","0","Clouds","scattered clouds","36","3.21","0"
"20180714","0","303.239","303.239","303.239","1025.52","69","0","Rain","light rain","48","3.02","1.24"
"20180714","30000","300.933","300.933","300.933","1026.56","69","0","Clouds","few clouds","24","3.17","0"
"20180714","60000","299.242","299.242","299.242","1027.46","72","0","Clouds","scattered clouds","32","3.06","0"
"20180714","90000","297.921","297.921","297.921","1027.19","79","0","Clear","clear sky","0","2.01","0"
"20180714","120000","297.181","297.181","297.181","1027.65","89","0","Clear","clear sky","0","1.17","0"
"20180714","150000","303.136","303.136","303.136","1028.88","77","0","Clear","clear sky","0","1.86","0"
"20180714","180000","305.894","305.894","305.894","1028.06","67","0","Clear","clear sky","8","2.66","0"
"20180714","210000","302.724","302.724","302.724","1026.67","78","0","Rain","light rain","44","3.91","1.87"
"20180715","0","303.844","303.844","303.844","1025.4","67","0","Clouds","few clouds","12","3.61","0"
"20180715","30000","301.01","301.01","301.01","1025.82","67","0","Clear","clear sky","0","3.22","0"
"20180715","60000","299.335","299.335","299.335","1026.65","75","0","Clear","clear sky","0","3.01","0"
"20180715","90000","298.019","298.019","298.019","1026.48","88","0","Clear","clear sky","0","1.81","0"
"20180715","120000","297.351","297.351","297.351","1026.66","94","0","Clear","clear sky","0","1.21","0"
"20180715","150000","303.262","303.262","303.262","1027.47","78","0","Clear","clear sky","0","2.46","0"
"20180715","180000","305.848","305.848","305.848","1026.84","68","0","Clouds","few clouds","20","3.37","0"
"20180715","210000","305.451","305.451","305.451","1025.33","64","0","Rain","light rain","68","3.63","0.63"
"20180716","0","305.163","305.163","305.163","1024.39","60","0","Clouds","few clouds","12","3.56","0"
"20180716","30000","302.137","302.137","302.137","1025.16","64","0","Clear","clear sky","8","4.16","0"
"20180716","60000","300.022","300.022","300.022","1026.43","73","0","Clear","clear sky","0","3.32","0"
"20180716","90000","298.124","298.124","298.124","1026.56","87","0","Rain","light rain","0","2.36","0.0050000000000008"
"20180716","120000","296.725","296.725","296.725","1026.95","94","0","Clear","clear sky","0","1.32","0"
"20180716","150000","302.887","302.887","302.887","1027.71","75","0","Clear","clear sky","0","2.56","0"
