"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180706","180000","292.78","292.78","295.649","1025.78","98","-2.87","Rain","heavy intensity rain","92","2.61","14.755"
"20180706","210000","295.59","295.59","297.744","1025.72","95","-2.15","Rain","light rain","76","2.13","0.025"
"20180707","0","294.53","294.53","295.963","1027.35","90","-1.43","Clouds","overcast clouds","88","4.21","0"
"20180707","30000","291.76","291.76","292.477","1030.42","95","-0.72","Clouds","broken clouds","56","4.83","0"
"20180707","60000","290.15","290.15","290.15","1032.47","100","0","Clear","clear sky","0","4.97","0"
"20180707","90000","288.62","288.62","288.62","1034.05","100","0","Clear","clear sky","0","4.84","0"
"20180707","120000","289.725","289.725","289.725","1036.4","100","0","Clear","clear sky","0","4.02","0"
"20180707","150000","291.64","291.64","291.64","1037.07","97","0","Clear","clear sky","0","3.62","0"
"20180707","180000","294.088","294.088","294.088","1036.82","87","0","Clear","clear sky","0","2.21","0"
"20180707","210000","295.75","295.75","295.75","1036.02","68","0","Clear","clear sky","0","1.66","0"
"20180708","0","294.683","294.683","294.683","1035.73","67","0","Clear","clear sky","0","1.21","0"
"20180708","30000","290.279","290.279","290.279","1036.58","84","0","Clear","clear sky","0","2.32","0"
"20180708","60000","288.543","288.543","288.543","1037.03","99","0","Clear","clear sky","0","2.57","0"
"20180708","90000","286.882","286.882","286.882","1037.43","100","0","Clear","clear sky","0","0.81","0"
"20180708","120000","292.363","292.363","292.363","1038.18","84","0","Clear","clear sky","0","1.97","0"
"20180708","150000","297.004","297.004","297.004","1038.27","64","0","Clear","clear sky","0","2.06","0"
"20180708","180000","299.279","299.279","299.279","1037.5","51","0","Clear","clear sky","0","2.33","0"
"20180708","210000","299.885","299.885","299.885","1036.3","44","0","Clear","clear sky","0","1.91","0"
"20180709","0","297.559","297.559","297.559","1035.9","47","0","Clear","clear sky","0","1.61","0"
"20180709","30000","291.33","291.33","291.33","1036.47","82","0","Clear","clear sky","0","2.76","0"
"20180709","60000","288.341","288.341","288.341","1035.57","100","0","Clear","clear sky","0","1.81","0"
"20180709","90000","287.127","287.127","287.127","1035.05","100","0","Clear","clear sky","0","1.32","0"
"20180709","120000","292.938","292.938","292.938","1034.67","77","0","Clear","clear sky","0","1.67","0"
"20180709","150000","299.27","299.27","299.27","1033.21","51","0","Clear","clear sky","0","1.86","0"
"20180709","180000","302.03","302.03","302.03","1030.56","45","0","Clear","clear sky","0","1.86","0"
"20180709","210000","302.583","302.583","302.583","1028.21","42","0","Clear","clear sky","0","2.34","0"
"20180710","0","300.885","300.885","300.885","1026.98","50","0","Clear","clear sky","0","2.22","0"
"20180710","30000","296.418","296.418","296.418","1026.4","66","0","Clear","clear sky","0","2.53","0"
"20180710","60000","293.838","293.838","293.838","1025.14","78","0","Clear","clear sky","0","1.33","0"
"20180710","90000","292.795","292.795","292.795","1024.98","82","0","Clear","clear sky","0","1.32","0"
"20180710","120000","299.51","299.51","299.51","1025.47","55","0","Clouds","few clouds","12","1.51","0"
"20180710","150000","303.591","303.591","303.591","1025.29","46","0","Clear","clear sky","0","1.42","0"
"20180710","180000","305.428","305.428","305.428","1024.08","40","0","Clear","clear sky","0","2.46","0"
"20180710","210000","305.59","305.59","305.59","1022.94","37","0","Clear","clear sky","8","3.12","0"
"20180711","0","303.355","303.355","303.355","1023.63","43","0","Clouds","few clouds","12","1.77","0"
"20180711","30000","295.534","295.534","295.534","1026.29","83","0","Rain","light rain","56","3.22","1.38"
"20180711","60000","294.469","294.469","294.469","1026.69","92","0","Clouds","scattered clouds","44","2.56","0"
"20180711","90000","293.777","293.777","293.777","1027.13","97","0","Clear","clear sky","8","2.87","0"
"20180711","120000","296.034","296.034","296.034","1028.32","86","0","Clear","clear sky","0","2.51","0"
"20180711","150000","301.142","301.142","301.142","1028.6","61","0","Clear","clear sky","0","1.86","0"
