"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180711","180000","301.42","301.42","301.463","1004.18","65","-0.04","Clear","clear sky","0","3.71","0"
"20180711","210000","302.05","302.05","302.086","1003.59","60","-0.03","Clear","clear sky","0","4.12","0"
"20180712","0","299.74","299.74","299.764","1003.77","58","-0.02","Clear","clear sky","0","3.96","0"
"20180712","30000","294.81","294.81","294.822","1004.81","61","-0.01","Clear","clear sky","0","3.11","0"
"20180712","60000","292.439","292.439","292.439","1005.29","67","0","Clear","clear sky","0","2.97","0"
"20180712","90000","290.096","290.096","290.096","1005.64","69","0","Clear","clear sky","0","2.22","0"
"20180712","120000","292.371","292.371","292.371","1006.95","78","0","Clear","clear sky","8","1.62","0"
"20180712","150000","298.909","298.909","298.909","1007.52","68","0","Clear","clear sky","8","2.51","0"
"20180712","180000","301.768","301.768","301.768","1006.98","62","0","Clear","clear sky","0","3.13","0"
"20180712","210000","302.48","302.48","302.48","1005.75","55","0","Clear","clear sky","0","3.7","0"
"20180713","0","300.453","300.453","300.453","1005.2","58","0","Clear","clear sky","0","2.65","0"
"20180713","30000","294.503","294.503","294.503","1006.11","59","0","Clear","clear sky","0","2.86","0"
"20180713","60000","291.038","291.038","291.038","1006.39","78","0","Clear","clear sky","0","1.21","0"
"20180713","90000","289.418","289.418","289.418","1005.84","81","0","Clear","clear sky","0","1.2","0"
"20180713","120000","292.825","292.825","292.825","1006.24","78","0","Clear","clear sky","0","1.26","0"
"20180713","150000","300.646","300.646","300.646","1006.48","71","0","Clear","clear sky","0","1.96","0"
"20180713","180000","303.408","303.408","303.408","1005.7","69","0","Clear","clear sky","0","1.96","0"
"20180713","210000","304.77","304.77","304.77","1003.87","59","0","Clear","clear sky","0","2.21","0"
"20180714","0","303.339","303.339","303.339","1003.39","63","0","Clear","clear sky","0","1.62","0"
"20180714","30000","297.283","297.283","297.283","1004.28","64","0","Clear","clear sky","0","2.52","0"
"20180714","60000","294.342","294.342","294.342","1004.03","81","0","Clear","clear sky","0","1.21","0"
"20180714","90000","293.321","293.321","293.321","1004.01","85","0","Clear","clear sky","0","1.16","0"
"20180714","120000","296.631","296.631","296.631","1004.54","82","0","Clear","clear sky","0","1.22","0"
"20180714","150000","303.486","303.486","303.486","1005.06","73","0","Clear","clear sky","0","1.96","0"
"20180714","180000","305.944","305.944","305.944","1003.83","66","0","Clear","clear sky","0","1.96","0"
"20180714","210000","306.924","306.924","306.924","1002.1","57","0","Clear","clear sky","0","2.46","0"
"20180715","0","305.394","305.394","305.394","1001.33","59","0","Clear","clear sky","0","2.06","0"
"20180715","30000","300.36","300.36","300.36","1001.99","62","0","Clear","clear sky","0","3.22","0"
"20180715","60000","298.635","298.635","298.635","1002.09","72","0","Clear","clear sky","0","3.11","0"
"20180715","90000","296.569","296.569","296.569","1001.92","85","0","Clear","clear sky","0","1.46","0"
"20180715","120000","298.851","298.851","298.851","1002.33","84","0","Clouds","few clouds","12","1.56","0"
"20180715","150000","303.712","303.712","303.712","1002.58","73","0","Clouds","few clouds","20","3.01","0"
"20180715","180000","305.798","305.798","305.798","1001.63","68","0","Clouds","few clouds","20","3.17","0"
"20180715","210000","306.851","306.851","306.851","999.96","59","0","Clear","clear sky","0","3.48","0"
"20180716","0","305.663","305.663","305.663","999.67","58","0","Clouds","few clouds","20","2.21","0"
"20180716","30000","302.137","302.137","302.137","1000.11","61","0","Clouds","broken clouds","76","2.61","0"
"20180716","60000","300.822","300.822","300.822","1000.33","65","0","Clear","clear sky","8","3.17","0"
"20180716","90000","298.874","298.874","298.874","999.98","76","0","Clouds","few clouds","20","3.11","0"
"20180716","120000","299.675","299.675","299.675","1000.2","80","0","Clouds","few clouds","12","3.77","0"
"20180716","150000","302.137","302.137","302.137","1001.12","78","0","Rain","light rain","80","3.56","1.05"
