"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180706","180000","311.98","307.549","311.98","963.45","29","4.43","Clear","clear sky","0","1.26","0"
"20180706","210000","315.37","312.044","315.37","961.92","23","3.32","Clear","clear sky","0","1.05","0"
"20180707","0","314.28","312.063","314.28","960.23","21","2.21","Clear","clear sky","0","1.41","0"
"20180707","30000","307.78","306.677","307.78","959.5","26","1.11","Clear","clear sky","0","1.38","0"
"20180707","60000","299.15","299.15","299.15","960.25","40","0","Clear","clear sky","0","1.17","0"
"20180707","90000","295.47","295.47","295.47","959.8","50","0","Clear","clear sky","0","0.94","0"
"20180707","120000","294.125","294.125","294.125","959.56","53","0","Clouds","few clouds","20","0.87","0"
"20180707","150000","300.44","300.44","300.44","960.23","41","0","Clouds","scattered clouds","32","1.22","0"
"20180707","180000","309.288","309.288","309.288","960.38","31","0","Clear","clear sky","0","0.86","0"
"20180707","210000","312.35","312.35","312.35","959.01","27","0","Clear","clear sky","0","1.26","0"
"20180708","0","310.933","310.933","310.933","958.08","26","0","Clear","clear sky","8","1.41","0"
"20180708","30000","305.229","305.229","305.229","958.43","35","0","Clouds","few clouds","24","1.07","0"
"20180708","60000","299.743","299.743","299.743","959.78","51","0","Clouds","few clouds","24","0.87","0"
"20180708","90000","296.382","296.382","296.382","959.29","63","0","Clear","clear sky","0","0.61","0"
"20180708","120000","295.013","295.013","295.013","959.14","68","0","Clear","clear sky","0","0.77","0"
"20180708","150000","301.154","301.154","301.154","959.88","44","0","Clear","clear sky","0","0.76","0"
"20180708","180000","306.729","306.729","306.729","960.33","38","0","Clear","clear sky","0","1.28","0"
"20180708","210000","308.585","308.585","308.585","959.62","36","0","Clear","clear sky","0","1.36","0"
"20180709","0","307.809","307.809","307.809","958.56","33","0","Clouds","few clouds","20","1.41","0"
"20180709","30000","303.28","303.28","303.28","959.23","39","0","Clouds","few clouds","20","1.06","0"
"20180709","60000","297.841","297.841","297.841","960.67","53","0","Clear","clear sky","0","0.96","0"
"20180709","90000","295.127","295.127","295.127","960.06","61","0","Clear","clear sky","8","0.77","0"
"20180709","120000","293.938","293.938","293.938","959.85","66","0","Clear","clear sky","0","0.72","0"
"20180709","150000","298.27","298.27","298.27","960.66","50","0","Clouds","broken clouds","64","0.86","0"
"20180709","180000","301.98","301.98","301.98","961.65","44","0","Clouds","scattered clouds","48","1.26","0"
"20180709","210000","305.233","305.233","305.233","961.42","37","0","Clouds","scattered clouds","44","1.24","0"
"20180710","0","305.485","305.485","305.485","960.27","33","0","Clouds","broken clouds","76","1.27","0"
"20180710","30000","302.518","302.518","302.518","960.02","37","0","Clouds","broken clouds","64","0.88","0"
"20180710","60000","297.288","297.288","297.288","961.01","54","0","Clear","clear sky","8","0.93","0"
"20180710","90000","294.245","294.245","294.245","961.68","67","0","Clouds","few clouds","12","0.67","0"
"20180710","120000","293.41","293.41","293.41","961.27","68","0","Clouds","scattered clouds","48","0.86","0"
"20180710","150000","297.591","297.591","297.591","961.16","50","0","Clouds","overcast clouds","92","0.42","0"
"20180710","180000","300.628","300.628","300.628","962.07","46","0","Rain","light rain","92","1.21","0.0875"
"20180710","210000","302.74","302.74","302.74","961.66","42","0","Rain","light rain","48","1.17","0.1125"
"20180711","0","304.105","304.105","304.105","960.31","40","0","Clouds","few clouds","24","1.22","0"
"20180711","30000","300.784","300.784","300.784","960.55","45","0","Clouds","broken clouds","56","1.02","0"
"20180711","60000","296.769","296.769","296.769","961.67","57","0","Clear","clear sky","8","0.81","0"
"20180711","90000","294.177","294.177","294.177","961.64","67","0","Clear","clear sky","0","0.82","0"
"20180711","120000","292.934","292.934","292.934","961.28","72","0","Clear","clear sky","0","0.81","0"
"20180711","150000","297.691","297.691","297.691","962.13","54","0","Clear","clear sky","0","1.16","0"
