"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180801","0","302.77","297.281","302.77","1025.57","86","5.49","Clear","clear sky","0","2.78","0"
"20180801","30000","299.89","296.226","299.89","1025.31","92","3.66","Clear","clear sky","0","2.06","0"
"20180801","60000","296.89","295.065","296.89","1026.24","98","1.83","Clear","clear sky","0","1.41","0"
"20180801","90000","294.574","294.574","294.574","1025.79","100","0","Clear","clear sky","0","1.36","0"
"20180801","120000","294.275","294.275","294.275","1025.55","100","0","Clear","clear sky","0","1.57","0"
"20180801","150000","294.967","294.967","294.967","1026.39","98","0","Clear","clear sky","0","2.06","0"
"20180801","180000","296.963","296.963","296.963","1026.83","87","0","Clear","clear sky","0","1.41","0"
"20180801","210000","298.142","298.142","298.142","1025.67","82","0","Clear","clear sky","0","2.67","0"
"20180802","0","297.99","297.99","297.99","1024.21","84","0","Clear","clear sky","0","4","0"
"20180802","30000","296.762","296.762","296.762","1024.49","89","0","Clear","clear sky","0","3","0"
"20180802","60000","295.435","295.435","295.435","1025.56","98","0","Clear","clear sky","8","2.07","0"
"20180802","90000","294.709","294.709","294.709","1025.07","100","0","Clear","clear sky","0","1.53","0"
"20180802","120000","294.246","294.246","294.246","1024.42","100","0","Clear","clear sky","0","0.52","0"
"20180802","150000","295.005","295.005","295.005","1025.06","100","0","Clear","clear sky","0","0.76","0"
"20180802","180000","297.038","297.038","297.038","1025.44","89","0","Clear","clear sky","0","1.06","0"
"20180802","210000","297.913","297.913","297.913","1024.68","85","0","Clear","clear sky","0","2.57","0"
"20180803","0","297.679","297.679","297.679","1023.22","87","0","Clear","clear sky","0","3.02","0"
"20180803","30000","296.632","296.632","296.632","1022.83","92","0","Clear","clear sky","0","2.1","0"
"20180803","60000","295.361","295.361","295.361","1023.92","100","0","Clear","clear sky","0","1.61","0"
"20180803","90000","294.774","294.774","294.774","1023.52","100","0","Clear","clear sky","0","0.66","0"
"20180803","120000","294.496","294.496","294.496","1023.35","100","0","Clear","clear sky","0","1.96","0"
"20180803","150000","295.472","295.472","295.472","1023.96","99","0","Clear","clear sky","0","2.51","0"
"20180803","180000","296.847","296.847","296.847","1024.73","91","0","Clear","clear sky","0","2.41","0"
"20180803","210000","297.232","297.232","297.232","1024.09","91","0","Clear","clear sky","0","2.96","0"
"20180804","0","297.228","297.228","297.228","1022.42","91","0","Clear","clear sky","0","2.21","0"
"20180804","30000","296.496","296.496","296.496","1021.7","95","0","Clear","clear sky","0","1.96","0"
"20180804","60000","294.885","294.885","294.885","1022.29","100","0","Clear","clear sky","0","1.81","0"
"20180804","90000","294.19","294.19","294.19","1021.75","100","0","Clear","clear sky","0","0.75","0"
"20180804","120000","293.852","293.852","293.852","1021.44","100","0","Clear","clear sky","0","1.61","0"
"20180804","150000","294.746","294.746","294.746","1021.9","100","0","Clear","clear sky","0","1.57","0"
"20180804","180000","296.414","296.414","296.414","1022.08","94","0","Clear","clear sky","0","1.4","0"
"20180804","210000","297.191","297.191","297.191","1020.97","91","0","Clear","clear sky","0","3.31","0"
"20180805","0","296.969","296.969","296.969","1019.5","93","0","Clear","clear sky","0","3.86","0"
"20180805","30000","295.983","295.983","295.983","1018.62","99","0","Clear","clear sky","0","2.56","0"
"20180805","60000","295.113","295.113","295.113","1018.93","100","0","Clear","clear sky","0","3.11","0"
"20180805","90000","294.789","294.789","294.789","1018.57","100","0","Clear","clear sky","0","4.1","0"
"20180805","120000","294.318","294.318","294.318","1018.47","100","0","Clear","clear sky","8","4.77","0"
"20180805","150000","294.435","294.435","294.435","1019.4","100","0","Clouds","scattered clouds","44","5.06","0"
"20180805","180000","295.599","295.599","295.599","1020.27","98","0","Clouds","few clouds","24","5.2","0"
"20180805","210000","296.071","296.071","296.071","1020.25","96","0","Rain","light rain","0","4.76","0.02"
