"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180729","210000","299.94","298.243","299.94","1009.85","62","1.69","Clear","clear sky","8","1.77","0"
"20180730","0","296.55","295.281","296.55","1010.45","72","1.27","Clouds","scattered clouds","32","1.32","0"
"20180730","30000","294.23","293.382","294.23","1011.27","75","0.85","Clouds","broken clouds","64","1.42","0"
"20180730","60000","292.26","291.841","292.26","1011.19","84","0.42","Clouds","few clouds","24","1.06","0"
"20180730","90000","290.331","290.331","290.331","1011.69","89","0","Clear","clear sky","8","1.18","0"
"20180730","120000","294.016","294.016","294.016","1012.62","75","0","Clear","clear sky","0","1.52","0"
"20180730","150000","298.364","298.364","298.364","1012.79","60","0","Clear","clear sky","0","1.51","0"
"20180730","180000","300.007","300.007","300.007","1012.1","50","0","Clouds","few clouds","20","1.76","0"
"20180730","210000","299.964","299.964","299.964","1011.78","50","0","Clear","clear sky","0","1.87","0"
"20180731","0","296.187","296.187","296.187","1012.03","65","0","Clear","clear sky","8","1.36","0"
"20180731","30000","292.527","292.527","292.527","1012.54","85","0","Clouds","scattered clouds","36","0.97","0"
"20180731","60000","291.095","291.095","291.095","1012.51","86","0","Clouds","scattered clouds","36","0.96","0"
"20180731","90000","291.134","291.134","291.134","1012.61","87","0","Clouds","overcast clouds","88","0.96","0"
"20180731","120000","294.814","294.814","294.814","1013.16","82","0","Clouds","scattered clouds","48","1.15","0"
"20180731","150000","297.67","297.67","297.67","1013.15","70","0","Clouds","broken clouds","80","1.11","0"
"20180731","180000","298.469","298.469","298.469","1012.37","66","0","Rain","light rain","80","0.72","0.030000000000001"
"20180731","210000","298.313","298.313","298.313","1011.47","65","0","Clouds","overcast clouds","88","1.35","0"
"20180801","0","295.91","295.91","295.91","1011.1","72","0","Rain","light rain","100","1.76","0.009999999999998"
"20180801","30000","294.137","294.137","294.137","1011.11","76","0","Rain","light rain","64","1.82","0.010000000000002"
"20180801","60000","292.514","292.514","292.514","1009.88","81","0","Clouds","broken clouds","80","1.4","0"
"20180801","90000","291.909","291.909","291.909","1008.89","93","0","Rain","light rain","92","1.55","0.49"
"20180801","120000","292.517","292.517","292.517","1008.31","96","0","Rain","light rain","92","1.86","0.5"
"20180801","150000","293.773","293.773","293.773","1007.73","98","0","Rain","moderate rain","92","1.37","11.38"
"20180801","180000","296.261","296.261","296.261","1006.12","93","0","Rain","light rain","92","1.5","0.23"
"20180801","210000","297.247","297.247","297.247","1003.89","97","0","Rain","light rain","92","2.51","0.86"
