"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180711","180000","305.21","305.163","305.21","1029.96","86","0.05","Clouds","few clouds","20","1.96","0"
"20180711","210000","303.42","303.386","303.42","1028.8","84","0.04","Rain","light rain","20","2.42","0.405"
"20180712","0","300.59","300.564","300.59","1029.87","83","0.03","Rain","light rain","36","0.41","1.705"
"20180712","30000","298.23","298.221","298.23","1030.59","90","0.01","Rain","light rain","8","1.11","1.3"
"20180712","60000","297.089","297.089","297.089","1030.09","95","0","Rain","light rain","12","1.77","0.05"
"20180712","90000","297.096","297.096","297.096","1030.36","98","0","Clouds","scattered clouds","44","2.07","0"
"20180712","120000","299.821","299.821","299.821","1031.43","88","0","Clouds","broken clouds","64","1.52","0"
"20180712","150000","304.159","304.159","304.159","1032.24","84","0","Clear","clear sky","8","1.46","0"
"20180712","180000","303.968","303.968","303.968","1032.19","91","0","Rain","moderate rain","32","2.26","4.125"
"20180712","210000","303.78","303.78","303.78","1031.61","86","0","Rain","moderate rain","36","3","3.3"
"20180713","0","302.203","302.203","302.203","1031.79","86","0","Rain","light rain","36","2.82","0.43"
"20180713","30000","300.203","300.203","300.203","1033.02","89","0","Rain","light rain","8","2.51","0.315"
"20180713","60000","298.438","298.438","298.438","1032.57","96","0","Clear","clear sky","0","1.71","0"
"20180713","90000","297.068","297.068","297.068","1032.18","99","0","Clear","clear sky","0","1.15","0"
"20180713","120000","299.475","299.475","299.475","1033.07","94","0","Clear","clear sky","0","1.61","0"
"20180713","150000","304.196","304.196","304.196","1033.63","90","0","Clear","clear sky","0","1.86","0"
"20180713","180000","304.458","304.458","304.458","1032.77","100","0","Rain","light rain","12","2.46","1.71"
"20180713","210000","303.57","303.57","303.57","1031.59","85","0","Rain","light rain","20","2.51","1.74"
"20180714","0","301.239","301.239","301.239","1031.76","89","0","Rain","light rain","12","0.52","2.26"
"20180714","30000","298.833","298.833","298.833","1032.72","95","0","Clear","clear sky","0","1.47","0"
"20180714","60000","297.542","297.542","297.542","1032.24","99","0","Clear","clear sky","0","0.46","0"
"20180714","90000","296.671","296.671","296.671","1031.73","100","0","Clouds","few clouds","12","0.91","0"
"20180714","120000","298.481","298.481","298.481","1032.67","99","0","Clear","clear sky","8","1.87","0"
"20180714","150000","303.836","303.836","303.836","1033.42","90","0","Clear","clear sky","0","2.01","0"
"20180714","180000","304.994","304.994","304.994","1032.36","77","0","Rain","light rain","32","2.76","0.09"
"20180714","210000","304.124","304.124","304.124","1030.96","74","0","Rain","light rain","0","3.46","0.86"
"20180715","0","302.294","302.294","302.294","1031.15","73","0","Clear","clear sky","0","2.91","0"
"20180715","30000","299.21","299.21","299.21","1031.98","89","0","Clear","clear sky","0","2.62","0"
"20180715","60000","297.435","297.435","297.435","1031.51","97","0","Clear","clear sky","0","1.71","0"
"20180715","90000","296.319","296.319","296.319","1031.02","99","0","Clear","clear sky","0","1.76","0"
"20180715","120000","299.351","299.351","299.351","1031.6","88","0","Clear","clear sky","0","2.16","0"
"20180715","150000","303.612","303.612","303.612","1032.65","81","0","Clouds","scattered clouds","32","2.46","0"
"20180715","180000","302.898","302.898","302.898","1032.19","88","0","Rain","light rain","12","2.97","2.07"
"20180715","210000","304.901","304.901","304.901","1030.52","70","0","Clear","clear sky","8","3.46","0"
"20180716","0","302.413","302.413","302.413","1030.71","70","0","Clear","clear sky","0","3.11","0"
"20180716","30000","299.186","299.186","299.186","1031.96","89","0","Clear","clear sky","0","2.66","0"
"20180716","60000","297.522","297.522","297.522","1031.86","98","0","Clear","clear sky","0","1.82","0"
"20180716","90000","296.624","296.624","296.624","1031.18","99","0","Clear","clear sky","0","1.66","0"
"20180716","120000","299.825","299.825","299.825","1031.97","87","0","Clear","clear sky","8","1.67","0"
"20180716","150000","304.037","304.037","304.037","1032.82","75","0","Clouds","few clouds","12","2.11","0"
