"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180706","180000","303.75","302.549","303.75","1006.17","68","1.2","Clouds","broken clouds","64","3.36","0"
"20180706","210000","305.74","304.944","305.74","1003.67","66","0.8","Clear","clear sky","0","3.38","0"
"20180707","0","304.41","304.013","304.41","1002.38","54","0.4","Clear","clear sky","0","3.86","0"
"20180707","30000","299.277","299.277","299.277","1002.95","55","0","Clear","clear sky","0","3.68","0"
"20180707","60000","296.65","296.65","296.65","1003.05","61","0","Clear","clear sky","0","3.97","0"
"20180707","90000","294.67","294.67","294.67","1002.76","74","0","Clear","clear sky","0","3.61","0"
"20180707","120000","293.725","293.725","293.725","1003.65","76","0","Clear","clear sky","0","3.67","0"
"20180707","150000","298.34","298.34","298.34","1004","70","0","Clear","clear sky","0","3.92","0"
"20180707","180000","301.538","301.538","301.538","1002.77","67","0","Clear","clear sky","0","3.21","0"
"20180707","210000","303.201","303.201","303.201","1000.92","51","0","Clear","clear sky","0","3.56","0"
"20180708","0","301.733","301.733","301.733","999.74","45","0","Clear","clear sky","0","3.46","0"
"20180708","30000","296.329","296.329","296.329","1000.18","50","0","Clear","clear sky","0","3.87","0"
"20180708","60000","293.443","293.443","293.443","1000.72","56","0","Clear","clear sky","0","3.87","0"
"20180708","90000","290.832","290.832","290.832","1000.46","62","0","Clear","clear sky","0","3.11","0"
"20180708","120000","290.013","290.013","290.013","1000.97","72","0","Clear","clear sky","0","3.17","0"
"20180708","150000","297.654","297.654","297.654","1001.54","65","0","Clear","clear sky","0","2.91","0"
"20180708","180000","302.179","302.179","302.179","1000.62","60","0","Clear","clear sky","0","2.18","0"
"20180708","210000","304.185","304.185","304.185","999.42","50","0","Clear","clear sky","0","2.66","0"
"20180709","0","303.259","303.259","303.259","998.61","43","0","Clear","clear sky","0","2.86","0"
"20180709","30000","297.08","297.08","297.08","999.59","48","0","Clear","clear sky","0","3.41","0"
"20180709","60000","292.641","292.641","292.641","1000.47","77","0","Clear","clear sky","0","1.36","0"
"20180709","90000","292.327","292.327","292.327","1000.02","85","0","Clear","clear sky","0","1.77","0"
"20180709","120000","293.438","293.438","293.438","1000.46","91","0","Clear","clear sky","0","1.22","0"
"20180709","150000","302.17","302.17","302.17","1001.27","66","0","Clear","clear sky","0","2.26","0"
"20180709","180000","305.98","305.98","305.98","1000.8","57","0","Clear","clear sky","0","1.36","0"
"20180709","210000","307.183","307.183","307.183","999.19","48","0","Clear","clear sky","0","1.69","0"
"20180710","0","306.435","306.435","306.435","998.37","43","0","Clear","clear sky","0","1.52","0"
"20180710","30000","299.768","299.768","299.768","998.68","66","0","Clear","clear sky","0","1.28","0"
"20180710","60000","296.888","296.888","296.888","998.95","79","0","Clear","clear sky","0","1.83","0"
"20180710","90000","295.045","295.045","295.045","999.13","90","0","Clear","clear sky","0","1.07","0"
"20180710","120000","295.36","295.36","295.36","999.45","88","0","Clear","clear sky","0","1.16","0"
"20180710","150000","304.541","304.541","304.541","999.59","65","0","Clear","clear sky","0","1.87","0"
"20180710","180000","307.478","307.478","307.478","998.39","54","0","Clear","clear sky","0","0.96","0"
"20180710","210000","308.69","308.69","308.69","996.43","45","0","Clear","clear sky","0","1.82","0"
"20180711","0","307.905","307.905","307.905","995.41","40","0","Clear","clear sky","0","1.67","0"
"20180711","30000","301.684","301.684","301.684","995.41","47","0","Clear","clear sky","0","2.57","0"
"20180711","60000","298.569","298.569","298.569","995.64","50","0","Clear","clear sky","0","2.66","0"
"20180711","90000","295.777","295.777","295.777","995.6","73","0","Clear","clear sky","0","1.17","0"
"20180711","120000","296.484","296.484","296.484","995.65","76","0","Clear","clear sky","0","1.16","0"
"20180711","150000","304.691","304.691","304.691","995.53","61","0","Clear","clear sky","0","1.96","0"
