"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180716","180000","306.49","304.557","306.49","1030.81","84","1.93","Clouds","few clouds","24","2.05","0"
"20180716","210000","306.61","305.161","306.61","1029.16","74","1.45","Clouds","few clouds","20","3.1","0"
"20180717","0","304.45","303.483","304.45","1029.06","76","0.96","Clouds","scattered clouds","44","3.16","0"
"20180717","30000","302.6","302.115","302.6","1029.94","80","0.48","Clouds","scattered clouds","48","2.52","0"
"20180717","60000","301.609","301.609","301.609","1030","81","0","Clouds","scattered clouds","44","3.91","0"
"20180717","90000","301.404","301.404","301.404","1030.03","79","0","Clouds","scattered clouds","44","4.76","0"
"20180717","120000","301.727","301.727","301.727","1031.04","79","0","Clouds","overcast clouds","100","4.7","0"
"20180717","150000","302.304","302.304","302.304","1032.12","80","0","Rain","light rain","88","4.36","1.0825"
"20180717","180000","304.488","304.488","304.488","1031.5","71","0","Clouds","broken clouds","56","4.22","0"
"20180717","210000","306.249","306.249","306.249","1029.67","62","0","Clouds","scattered clouds","36","3.41","0"
"20180718","0","304.971","304.971","304.971","1028.94","63","0","Rain","light rain","44","3.16","0.92"
"20180718","30000","302.636","302.636","302.636","1029.25","73","0","Clouds","scattered clouds","36","2.9","0"
"20180718","60000","301.998","301.998","301.998","1029.58","76","0","Clear","clear sky","0","4.41","0"
"20180718","90000","301.618","301.618","301.618","1029.35","78","0","Clouds","few clouds","20","4.86","0"
"20180718","120000","301.017","301.017","301.017","1030.12","83","0","Clouds","broken clouds","68","4.83","0"
"20180718","150000","303.95","303.95","303.95","1030.08","70","0","Clouds","scattered clouds","48","5.17","0"
"20180718","180000","305.483","305.483","305.483","1029.63","62","0","Clouds","broken clouds","80","3.77","0"
"20180718","210000","305.886","305.886","305.886","1027.72","61","0","Rain","light rain","36","1.89","1.1"
"20180719","0","305.702","305.702","305.702","1027.19","60","0","Clouds","broken clouds","64","1.97","0"
"20180719","30000","303.353","303.353","303.353","1027.52","72","0","Clouds","scattered clouds","48","3.13","0"
"20180719","60000","302.668","302.668","302.668","1027.29","73","0","Clouds","broken clouds","56","4.16","0"
"20180719","90000","302.174","302.174","302.174","1027.04","75","0","Clouds","broken clouds","68","4.16","0"
"20180719","120000","301.901","301.901","301.901","1027.93","80","0","Clouds","overcast clouds","88","3.87","0"
"20180719","150000","303.665","303.665","303.665","1028.79","71","0","Clouds","overcast clouds","92","3.32","0"
"20180719","180000","304.668","304.668","304.668","1028.49","66","0","Clouds","scattered clouds","48","3.87","0"
"20180719","210000","306.357","306.357","306.357","1026.62","61","0","Clouds","scattered clouds","44","3.86","0"
"20180720","0","305.682","305.682","305.682","1025.84","59","0","Clouds","few clouds","12","4.91","0"
"20180720","30000","304.227","304.227","304.227","1026.84","64","0","Clouds","broken clouds","64","4.75","0"
"20180720","60000","302.572","302.572","302.572","1027.19","71","0","Clouds","broken clouds","56","5.03","0"
"20180720","90000","302.247","302.247","302.247","1027.34","76","0","Rain","light rain","44","4.81","0.175"
"20180720","120000","301.989","301.989","301.989","1028.38","78","0","Clear","clear sky","8","4.57","0"
"20180720","150000","304.61","304.61","304.61","1029.39","66","0","Clouds","few clouds","20","4.32","0"
"20180720","180000","306.659","306.659","306.659","1029.01","58","0","Clouds","few clouds","20","3.41","0"
"20180720","210000","305.116","305.116","305.116","1028.05","66","0","Rain","light rain","44","2.47","2.2"
"20180721","0","304.134","304.134","304.134","1027.46","69","0","Rain","light rain","32","3.62","1.87"
"20180721","30000","303.514","303.514","303.514","1027.88","68","0","Clouds","few clouds","24","4.21","0"
"20180721","60000","302.461","302.461","302.461","1028.9","68","0","Clouds","few clouds","20","5.11","0"
"20180721","90000","301.92","301.92","301.92","1028.77","72","0","Clouds","scattered clouds","36","4.56","0"
"20180721","120000","301.553","301.553","301.553","1028.87","76","0","Clear","clear sky","0","5.11","0"
"20180721","150000","304.244","304.244","304.244","1029.5","69","0","Clear","clear sky","0","5.21","0"
