"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180722","210000","299.26","297.447","299.26","1024.76","96","1.81","Rain","light rain","92","3.87","0.095000000000002"
"20180723","0","297","295.791","297","1025.37","98","1.21","Rain","light rain","88","3.91","2.67"
"20180723","30000","295.79","295.187","295.79","1026.17","98","0.6","Rain","light rain","92","2.77","0.039999999999999"
"20180723","60000","295.105","295.105","295.105","1026.28","98","0","Rain","moderate rain","92","3.47","3.735"
"20180723","90000","295.63","295.63","295.63","1026.19","99","0","Rain","light rain","92","3.97","2.57"
"20180723","120000","295.452","295.452","295.452","1027.51","99","0","Rain","light rain","92","4.36","2.03"
"20180723","150000","296.99","296.99","296.99","1028.4","97","0","Rain","light rain","92","3.81","0.83"
"20180723","180000","296.934","296.934","296.934","1028.62","98","0","Rain","light rain","92","4.41","0.81"
"20180723","210000","295.584","295.584","295.584","1028.5","99","0","Rain","moderate rain","100","4.82","10.81"
"20180724","0","295.955","295.955","295.955","1029.24","97","0","Rain","light rain","92","3.87","1.1"
"20180724","30000","295.434","295.434","295.434","1030.65","98","0","Rain","moderate rain","92","4.85","5.36"
"20180724","60000","295.825","295.825","295.825","1030.42","98","0","Rain","moderate rain","92","5.17","9.09"
"20180724","90000","295.621","295.621","295.621","1030.85","98","0","Rain","heavy intensity rain","92","5.51","13.51"
"20180724","120000","296.227","296.227","296.227","1031.72","96","0","Rain","moderate rain","88","5.25","5.55"
"20180724","150000","297.559","297.559","297.559","1032.41","94","0","Clouds","overcast clouds","92","5.26","0"
"20180724","180000","297.675","297.675","297.675","1032.36","93","0","Clouds","overcast clouds","92","5.46","0"
"20180724","210000","297.352","297.352","297.352","1031.76","94","0","Rain","light rain","64","4.91","0.02000000000001"
"20180725","0","296.527","296.527","296.527","1031.25","94","0","Rain","light rain","92","5.46","0.0099999999999909"
"20180725","30000","296.124","296.124","296.124","1031.01","96","0","Rain","light rain","92","5.74","0.22"
"20180725","60000","295.963","295.963","295.963","1029.85","96","0","Rain","moderate rain","92","5.71","5.79"
"20180725","90000","296.273","296.273","296.273","1028.66","96","0","Rain","light rain","100","5.91","2.17"
"20180725","120000","296.155","296.155","296.155","1028.2","97","0","Rain","light rain","88","5.66","2.05"
"20180725","150000","295.531","295.531","295.531","1028.57","99","0","Rain","moderate rain","92","5.11","10.13"
"20180725","180000","297.023","297.023","297.023","1027.52","97","0","Rain","light rain","100","3.77","0.62"
"20180725","210000","295.497","295.497","295.497","1025.89","99","0","Rain","moderate rain","92","5.65","8.17"
"20180726","0","295.622","295.622","295.622","1024.37","97","0","Rain","moderate rain","92","5.35","7.87"
"20180726","30000","295.376","295.376","295.376","1024.61","97","0","Rain","heavy intensity rain","92","5.61","14.14"
"20180726","60000","296.292","296.292","296.292","1023.17","96","0","Rain","moderate rain","92","6.91","7.31"
"20180726","90000","296.648","296.648","296.648","1023.35","95","0","Rain","moderate rain","68","4.9","4.95"
"20180726","120000","296.844","296.844","296.844","1024.52","95","0","Rain","light rain","64","3.56","0.039999999999992"
"20180726","150000","297.67","297.67","297.67","1025.48","96","0","Clouds","broken clouds","76","3.4","0"
"20180726","180000","298.285","298.285","298.285","1026.06","94","0","Clouds","overcast clouds","92","3.56","0"
"20180726","210000","297.546","297.546","297.546","1026.17","96","0","Rain","light rain","92","3.46","0.26000000000002"
"20180727","0","295.201","295.201","295.201","1026.46","100","0","Rain","moderate rain","92","2.97","3.08"
"20180727","30000","294.781","294.781","294.781","1026.88","100","0","Rain","moderate rain","92","2.56","6.83"
"20180727","60000","294.185","294.185","294.185","1025.82","100","0","Rain","moderate rain","92","3.21","11.58"
"20180727","90000","294.132","294.132","294.132","1025.58","100","0","Rain","heavy intensity rain","92","0.86","18.66"
"20180727","120000","294.018","294.018","294.018","1025.77","100","0","Rain","moderate rain","92","2.12","7.19"
"20180727","150000","296.423","296.423","296.423","1025.97","99","0","Rain","light rain","92","1.46","0.039999999999992"
"20180727","180000","297.196","297.196","297.196","1026.23","96","0","Rain","light rain","92","1.71","0.049999999999983"
