"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180729","210000","297.65","294.943","297.65","1019.98","65","2.71","Clear","clear sky","0","2.07","0"
"20180730","0","296.71","294.681","296.71","1019.6","63","2.03","Clear","clear sky","0","2.52","0"
"20180730","30000","293.09","291.732","293.09","1019.46","74","1.36","Clear","clear sky","0","2.02","0"
"20180730","60000","288.72","288.041","288.72","1020.27","94","0.68","Clear","clear sky","0","2.06","0"
"20180730","90000","286.331","286.331","286.331","1019.96","100","0","Clear","clear sky","0","2.03","0"
"20180730","120000","286.266","286.266","286.266","1019.92","100","0","Rain","light rain","64","1.77","0.01"
"20180730","150000","286.964","286.964","286.964","1020.4","100","0","Rain","light rain","68","1.41","0.04"
"20180730","180000","291.157","291.157","291.157","1020.78","78","0","Rain","light rain","0","1.21","0.02"
"20180730","210000","294.214","294.214","294.214","1020.29","67","0","Clear","clear sky","0","2.07","0"
"20180731","0","294.337","294.337","294.337","1019.25","64","0","Clear","clear sky","0","2.51","0"
"20180731","30000","291.577","291.577","291.577","1018.94","73","0","Clear","clear sky","0","2.37","0"
"20180731","60000","287.845","287.845","287.845","1019.24","95","0","Clear","clear sky","0","2.11","0"
"20180731","90000","286.185","286.185","286.185","1018.93","100","0","Clear","clear sky","0","2.01","0"
"20180731","120000","285.364","285.364","285.364","1018.83","100","0","Clear","clear sky","0","1.85","0"
"20180731","150000","287.27","287.27","287.27","1019.47","99","0","Clouds","few clouds","20","1.71","0"
"20180731","180000","291.569","291.569","291.569","1019.99","75","0","Clear","clear sky","0","1.57","0"
"20180731","210000","293.663","293.663","293.663","1019.83","67","0","Clear","clear sky","0","2.5","0"
"20180801","0","293.51","293.51","293.51","1018.88","66","0","Clear","clear sky","0","2.86","0"
"20180801","30000","290.737","290.737","290.737","1018.4","76","0","Clear","clear sky","0","2.72","0"
"20180801","60000","287.064","287.064","287.064","1019.05","96","0","Clear","clear sky","0","2.6","0"
"20180801","90000","285.959","285.959","285.959","1018.54","100","0","Clouds","broken clouds","68","2.25","0"
"20180801","120000","286.217","286.217","286.217","1018.28","100","0","Rain","light rain","92","1.96","0.11"
"20180801","150000","286.423","286.423","286.423","1018.59","99","0","Rain","light rain","80","2.02","0.1"
"20180801","180000","289.461","289.461","289.461","1018.76","83","0","Rain","light rain","12","2.4","0.05"
"20180801","210000","292.147","292.147","292.147","1018.15","73","0","Clear","clear sky","0","2.51","0"
