"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180729","210000","309.34","306.993","309.34","929.92","31","2.34","Clear","clear sky","0","1.17","0"
"20180730","0","308.59","306.831","308.59","928.74","28","1.76","Clouds","scattered clouds","32","1.42","0"
"20180730","30000","303.2","302.032","303.2","928.92","37","1.17","Clouds","broken clouds","64","1.07","0"
"20180730","60000","297.18","296.591","297.18","930.13","59","0.59","Clouds","scattered clouds","48","0.91","0"
"20180730","90000","293.631","293.631","293.631","929.82","70","0","Clear","clear sky","0","0.43","0"
"20180730","120000","291.766","291.766","291.766","929.46","77","0","Clear","clear sky","0","0.07","0"
"20180730","150000","297.214","297.214","297.214","929.86","53","0","Clear","clear sky","0","0.61","0"
"20180730","180000","305.207","305.207","305.207","929.91","40","0","Clear","clear sky","0","1.16","0"
"20180730","210000","307.764","307.764","307.764","929.1","36","0","Clear","clear sky","0","1.32","0"
"20180731","0","306.537","306.537","306.537","928.06","36","0","Clear","clear sky","0","1.46","0"
"20180731","30000","302.027","302.027","302.027","928.32","43","0","Clear","clear sky","0","1.07","0"
"20180731","60000","296.495","296.495","296.495","929.35","62","0","Clear","clear sky","0","0.86","0"
"20180731","90000","294.035","294.035","294.035","928.87","72","0","Clear","clear sky","0","0.16","0"
"20180731","120000","292.964","292.964","292.964","928.53","75","0","Clear","clear sky","0","0.45","0"
"20180731","150000","297.97","297.97","297.97","929.34","55","0","Clear","clear sky","0","0.26","0"
"20180731","180000","305.169","305.169","305.169","929.61","42","0","Clear","clear sky","0","1.32","0"
"20180731","210000","307.813","307.813","307.813","928.79","35","0","Clear","clear sky","0","1.55","0"
"20180801","0","307.01","307.01","307.01","927.69","34","0","Clear","clear sky","0","1.61","0"
"20180801","30000","302.337","302.337","302.337","927.86","39","0","Clear","clear sky","0","0.97","0"
"20180801","60000","296.364","296.364","296.364","928.74","60","0","Clear","clear sky","0","0.85","0"
"20180801","90000","293.709","293.709","293.709","928.32","70","0","Clear","clear sky","0","0.3","0"
"20180801","120000","292.467","292.467","292.467","927.81","75","0","Clear","clear sky","0","0.06","0"
"20180801","150000","297.773","297.773","297.773","928.21","52","0","Clear","clear sky","0","0.72","0"
"20180801","180000","304.761","304.761","304.761","928.38","41","0","Clear","clear sky","0","1.15","0"
"20180801","210000","307.197","307.197","307.197","927.53","36","0","Clear","clear sky","0","1.51","0"
