"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180704","210000","304.14","303.291","304.14","1036.27","72","0.85","Clear","clear sky","0","4.76","0"
"20180705","0","301.8","301.163","301.8","1037.02","74","0.64","Clear","clear sky","0","3.81","0"
"20180705","30000","299.41","298.983","299.41","1037.75","86","0.42","Clear","clear sky","8","3.05","0"
"20180705","60000","298.18","297.964","298.18","1037.82","94","0.21","Clouds","scattered clouds","48","1.96","0"
"20180705","90000","298.121","298.121","298.121","1037.89","95","0","Rain","light rain","68","1.62","0.06"
"20180705","120000","300.058","300.058","300.058","1038.41","88","0","Rain","light rain","56","2.26","0.015"
"20180705","150000","302.456","302.456","302.456","1038.48","78","0","Clouds","broken clouds","56","3.9","0"
"20180705","180000","302.516","302.516","302.516","1037.6","76","0","Clouds","broken clouds","56","4.56","0"
"20180705","210000","302.414","302.414","302.414","1036.63","72","0","Clouds","broken clouds","76","4.88","0"
"20180706","0","301.42","301.42","301.42","1036.39","73","0","Clouds","broken clouds","80","4.11","0"
"20180706","30000","300.105","300.105","300.105","1036.82","78","0","Clouds","few clouds","24","3.91","0"
"20180706","60000","298.57","298.57","298.57","1035.9","88","0","Clouds","scattered clouds","48","3.47","0"
"20180706","90000","298.152","298.152","298.152","1035.2","92","0","Rain","light rain","48","3.36","0.05"
"20180706","120000","299.442","299.442","299.442","1034.75","89","0","Rain","light rain","20","3.16","0.02"
"20180706","150000","302.551","302.551","302.551","1033.33","78","0","Clear","clear sky","8","3.91","0"
"20180706","180000","303.638","303.638","303.638","1030.68","72","0","Clouds","scattered clouds","48","4.64","0"
"20180706","210000","303.732","303.732","303.732","1028.4","67","0","Clouds","broken clouds","56","5.18","0"
"20180707","0","302.527","302.527","302.527","1027.56","69","0","Clouds","scattered clouds","48","4.6","0"
"20180707","30000","301.077","301.077","301.077","1027.26","75","0","Clouds","broken clouds","76","5.06","0"
"20180707","60000","296.754","296.754","296.754","1027.46","100","0","Rain","moderate rain","88","3.35","3.01"
"20180707","90000","295.547","295.547","295.547","1027.43","100","0","Rain","moderate rain","92","3.81","3.02"
"20180707","120000","295.762","295.762","295.762","1028.75","100","0","Rain","moderate rain","92","4.76","10.99"
"20180707","150000","296.644","296.644","296.644","1030.66","98","0","Rain","light rain","92","8.82","0.52"
"20180707","180000","297.875","297.875","297.875","1031.09","87","0","Clouds","broken clouds","68","9.85","0"
"20180707","210000","296.883","296.883","296.883","1031.88","86","0","Clouds","overcast clouds","88","9.51","0"
"20180708","0","294.942","294.942","294.942","1033.26","89","0","Clouds","overcast clouds","92","8.44","0"
"20180708","30000","293.931","293.931","293.931","1034.86","88","0","Clouds","overcast clouds","92","7.56","0"
"20180708","60000","293.423","293.423","293.423","1035.15","86","0","Clouds","overcast clouds","92","6.46","0"
"20180708","90000","293.279","293.279","293.279","1035.88","87","0","Clouds","overcast clouds","92","5.76","0"
"20180708","120000","294.637","294.637","294.637","1037.24","83","0","Clouds","scattered clouds","48","6.3","0"
"20180708","150000","296.779","296.779","296.779","1038.59","75","0","Clouds","scattered clouds","48","6.9","0"
"20180708","180000","298.45","298.45","298.45","1039.11","71","0","Clear","clear sky","0","6.45","0"
"20180708","210000","298.14","298.14","298.14","1038.54","69","0","Clear","clear sky","0","5.11","0"
"20180709","0","295.566","295.566","295.566","1038.89","74","0","Clear","clear sky","0","3.92","0"
"20180709","30000","292.204","292.204","292.204","1039.73","90","0","Clear","clear sky","0","3.12","0"
"20180709","60000","290.077","290.077","290.077","1038.96","100","0","Clear","clear sky","0","2.07","0"
"20180709","90000","288.985","288.985","288.985","1038.65","100","0","Clear","clear sky","0","2.06","0"
"20180709","120000","293.912","293.912","293.912","1039.18","87","0","Clear","clear sky","0","1.96","0"
"20180709","150000","298.06","298.06","298.06","1039","78","0","Clear","clear sky","0","1.86","0"
"20180709","180000","300.595","300.595","300.595","1037.14","67","0","Clear","clear sky","0","1.36","0"
