"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180706","180000","303.89","302.699","303.89","1030.57","86","1.19","Clouds","few clouds","24","1.79","0"
"20180706","210000","300.34","299.444","300.34","1029.29","96","0.89","Rain","moderate rain","32","1.28","5.66"
"20180707","0","298.11","297.513","298.11","1028.89","97","0.59","Rain","moderate rain","44","0.91","3.18"
"20180707","30000","296.27","295.977","296.27","1029.53","99","0.3","Clouds","scattered clouds","36","1.61","0"
"20180707","60000","295","295","295","1028.66","100","0","Clouds","few clouds","20","1.4","0"
"20180707","90000","294.37","294.37","294.37","1028.38","100","0","Clear","clear sky","0","1.16","0"
"20180707","120000","296.125","296.125","296.125","1029.35","99","0","Clear","clear sky","0","1.77","0"
"20180707","150000","300.94","300.94","300.94","1030.1","97","0","Clear","clear sky","8","1.67","0"
"20180707","180000","302.338","302.338","302.338","1029.28","87","0","Clouds","broken clouds","56","1.76","0"
"20180707","210000","300.551","300.551","300.551","1027.91","94","0","Rain","light rain","36","1.66","2.28"
"20180708","0","297.883","297.883","297.883","1028.84","97","0","Rain","moderate rain","76","1.31","6.26"
"20180708","30000","296.379","296.379","296.379","1029.85","99","0","Clouds","scattered clouds","48","1.57","0"
"20180708","60000","295.543","295.543","295.543","1029.65","99","0","Clouds","few clouds","12","1.22","0"
"20180708","90000","294.932","294.932","294.932","1029.89","100","0","Clouds","few clouds","20","1.21","0"
"20180708","120000","296.813","296.813","296.813","1030.96","99","0","Clouds","few clouds","12","1.77","0"
"20180708","150000","301.504","301.504","301.504","1031.94","95","0","Clouds","few clouds","12","1.61","0"
"20180708","180000","303.079","303.079","303.079","1031.17","86","0","Clouds","scattered clouds","44","1.68","0"
"20180708","210000","301.435","301.435","301.435","1030.55","84","0","Rain","light rain","68","1.96","0.52"
"20180709","0","299.309","299.309","299.309","1031.03","91","0","Rain","moderate rain","20","1.56","4.0125"
"20180709","30000","297.43","297.43","297.43","1032.02","96","0","Clouds","few clouds","12","1.21","0"
"20180709","60000","296.641","296.641","296.641","1031.6","96","0","Clouds","scattered clouds","36","1.16","0"
"20180709","90000","296.227","296.227","296.227","1031.4","100","0","Rain","light rain","76","1.57","2.9125"
"20180709","120000","295.688","295.688","295.688","1032.24","100","0","Rain","moderate rain","88","2.22","11.4"
"20180709","150000","298.27","298.27","298.27","1033.21","100","0","Rain","light rain","80","1.66","2.125"
"20180709","180000","299.38","299.38","299.38","1032.18","98","0","Rain","moderate rain","56","2.11","5.325"
"20180709","210000","301.983","301.983","301.983","1030.31","89","0","Clouds","few clouds","12","1.74","0"
"20180710","0","300.635","300.635","300.635","1029.9","86","0","Clouds","overcast clouds","100","1.32","0"
"20180710","30000","296.268","296.268","296.268","1030.86","99","0","Rain","moderate rain","92","2.13","7.775"
"20180710","60000","296.338","296.338","296.338","1030.32","98","0","Rain","light rain","80","0.68","0.037499999999994"
"20180710","90000","295.795","295.795","295.795","1029.52","100","0","Rain","moderate rain","80","1.22","6.85"
"20180710","120000","296.16","296.16","296.16","1029.85","100","0","Rain","light rain","56","1.66","1.5375"
"20180710","150000","298.541","298.541","298.541","1030.31","100","0","Rain","light rain","64","1.77","0.012500000000003"
"20180710","180000","301.028","301.028","301.028","1028.95","94","0","Clouds","scattered clouds","32","1.76","0"
"20180710","210000","302.44","302.44","302.44","1027.23","86","0","Clouds","few clouds","24","1.82","0"
"20180711","0","297.655","297.655","297.655","1027.19","100","0","Rain","moderate rain","44","1.12","4.75"
"20180711","30000","295.684","295.684","295.684","1028.07","99","0","Rain","moderate rain","68","0.92","5.475"
"20180711","60000","295.569","295.569","295.569","1027.33","98","0","Clouds","scattered clouds","44","1.21","0"
"20180711","90000","295.277","295.277","295.277","1026.89","100","0","Clouds","scattered clouds","48","0.82","0"
"20180711","120000","296.934","296.934","296.934","1027.59","99","0","Rain","light rain","36","1.76","0.012500000000003"
"20180711","150000","300.392","300.392","300.392","1028.36","99","0","Clouds","scattered clouds","36","1.81","0"
