"date","time","temp","temp_min","temp_max","pressure","humidity","temp_kf","main","description","clouds","wind_speed","rain_3h"
"20180711","180000","308.49","306.413","308.49","973.94","48","2.08","Clouds","scattered clouds","48","1.86","0"
"20180711","210000","306.12","304.736","306.12","971.9","64","1.39","Rain","light rain","44","2.02","2.505"
"20180712","0","302.21","301.514","302.21","971.1","77","0.69","Rain","light rain","48","1.11","1.885"
"20180712","30000","295.221","295.221","295.221","973.52","99","0","Rain","moderate rain","56","3.81","5.995"
"20180712","60000","294.139","294.139","294.139","975.29","98","0","Rain","moderate rain","76","2.52","4.14"
"20180712","90000","294.196","294.196","294.196","974.83","98","0","Rain","moderate rain","88","1.97","7.21"
"20180712","120000","294.171","294.171","294.171","975.25","96","0","Rain","moderate rain","76","1.62","4.745"
"20180712","150000","295.709","295.709","295.709","976.63","95","0","Rain","light rain","56","2.51","0.59"
"20180712","180000","297.918","297.918","297.918","977.23","93","0","Rain","light rain","64","2.38","1.25"
"20180712","210000","301.53","301.53","301.53","975.44","97","0","Clear","clear sky","0","1.9","0"
"20180713","0","302.703","302.703","302.703","973.67","84","0","Clear","clear sky","8","1.85","0"
"20180713","30000","299.903","299.903","299.903","974.34","82","0","Clear","clear sky","8","1.36","0"
"20180713","60000","296.788","296.788","296.788","975.43","87","0","Clear","clear sky","8","1.16","0"
"20180713","90000","295.868","295.868","295.868","975.03","88","0","Clear","clear sky","0","1.75","0"
"20180713","120000","294.875","294.875","294.875","974.78","90","0","Clear","clear sky","0","1.26","0"
"20180713","150000","299.746","299.746","299.746","975.75","86","0","Clear","clear sky","0","1.86","0"
"20180713","180000","303.858","303.858","303.858","975.62","88","0","Clear","clear sky","0","1.96","0"
"20180713","210000","307.37","307.37","307.37","973.39","74","0","Clouds","few clouds","12","0.46","0"
"20180714","0","307.739","307.739","307.739","971.62","62","0","Rain","light rain","12","1.97","0.45"
"20180714","30000","304.733","304.733","304.733","971.69","55","0","Clouds","scattered clouds","32","1.47","0"
"20180714","60000","300.542","300.542","300.542","972.99","66","0","Clouds","scattered clouds","36","0.76","0"
"20180714","90000","299.771","299.771","299.771","972.48","65","0","Clouds","broken clouds","76","2.46","0"
"20180714","120000","295.931","295.931","295.931","973.25","93","0","Rain","light rain","44","1.97","2.62"
"20180714","150000","295.636","295.636","295.636","974.9","99","0","Rain","moderate rain","56","2.46","5.13"
"20180714","180000","300.394","300.394","300.394","974.97","99","0","Rain","light rain","76","1.76","0.039999999999999"
"20180714","210000","303.224","303.224","303.224","973","88","0","Clouds","broken clouds","68","1.66","0"
"20180715","0","304.094","304.094","304.094","971.09","78","0","Clouds","broken clouds","68","0.51","0"
"20180715","30000","300.76","300.76","300.76","971.11","81","0","Clouds","scattered clouds","44","1.22","0"
"20180715","60000","298.435","298.435","298.435","971.61","84","0","Clouds","scattered clouds","44","1.81","0"
"20180715","90000","297.169","297.169","297.169","971.77","88","0","Rain","light rain","76","1.51","0.37"
"20180715","120000","295.151","295.151","295.151","973.23","91","0","Rain","light rain","100","2.36","0.060000000000002"
"20180715","150000","296.712","296.712","296.712","973.72","88","0","Clouds","overcast clouds","100","3.21","0"
"20180715","180000","299.948","299.948","299.948","974.8","85","0","Rain","light rain","92","2.02","0.039999999999999"
"20180715","210000","301.251","301.251","301.251","973.86","80","0","Rain","light rain","92","2.01","0.72"
"20180716","0","303.063","303.063","303.063","971.94","62","0","Clouds","overcast clouds","88","2.11","0"
"20180716","30000","300.487","300.487","300.487","972.06","63","0","Clouds","broken clouds","68","1.21","0"
"20180716","60000","296.922","296.922","296.922","972.69","77","0","Clouds","scattered clouds","48","1.12","0"
"20180716","90000","296.074","296.074","296.074","972.66","81","0","Clouds","broken clouds","76","2.21","0"
"20180716","120000","295.625","295.625","295.625","973.12","78","0","Clouds","broken clouds","68","1.72","0"
"20180716","150000","299.887","299.887","299.887","974.53","64","0","Clouds","broken clouds","56","1.86","0"
